,winners,winner_personas,winning_hand,pot_size,round_number
0,['Michelle'],['Robbie Random'],"AH, 3S, 9S, 3H, 9C",495,0
1,['Josh'],['Herbie Human'],"QH, JS, 10S, JD, KH",30,1
2,['Michelle'],['Robbie Random'],"8S, JD, QS, 10C, KC",160,2
3,['Michelle'],['Robbie Random'],"3H, 10S, 2D, 4D, AC",214,3
4,['Josh'],['Herbie Human'],"KS, QD, 8H, 8S, KH",5,4
5,['Josh'],['Herbie Human'],"8S, 3H, 8H, 3D, QH",3,5
6,['Michelle'],['Robbie Random'],"9D, 8S, 7S, JH, 9H",460,6
7,['Michelle'],['Robbie Random'],"KS, 10C, 5C, 5D, KH",542,7
8,['Michelle'],['Robbie Random'],"7D, KS, 9D, 7C, 9C",3,8
9,['Bob'],['Floyd Folds'],"8C, QH, 8D, QD, 10S",3,9
10,['Josh'],['Herbie Human'],"QC, AC, 7H, 8H, AH",684,10
11,['Josh'],['Herbie Human'],"KC, 6C, 6S, KD, 10C",224,11
12,['Josh'],['Herbie Human'],"AH, 4S, 4C, JC, QC",6,12
13,['Josh'],['Herbie Human'],"JS, JH, 4D, 4C, 10S",6,13
14,['Josh'],['Herbie Human'],"KH, JS, 10D, 8D, AS",6,14
15,['Bob'],['Floyd Folds'],"3D, 10H, AH, 3H, 10C",6,15
16,['Josh'],['Herbie Human'],"QS, JH, 6D, 6C, 9H",6,16
17,['Josh'],['Herbie Human'],"AH, 2H, 2D, 9D, 9S",6,17
18,['Josh'],['Herbie Human'],"8C, 7D, QC, 6C, 9C",6,18
19,['Josh'],['Herbie Human'],"QC, 3S, 4D, 2H, 5C",6,19
20,['Josh'],['Herbie Human'],"KD, AC, 2D, JS, 2H",6,20
21,['Josh'],['Herbie Human'],"2H, 4H, 8H, 10H, 9H",12,21
22,['Josh'],['Herbie Human'],"6D, 5S, 3S, QD, 4H",12,22
23,['Bob'],['Floyd Folds'],"9H, 9D, 5H, AH, KS",12,23
24,['Josh'],['Herbie Human'],"10C, 10H, 3D, 3H, KS",12,24
25,['Bob'],['Floyd Folds'],"9C, AD, JS, 7D, KS",12,25
26,['Josh'],['Herbie Human'],"KD, AH, JS, AS, 10C",12,26
27,['Bob'],['Floyd Folds'],"QD, QS, KD, 9D, 9H",12,27
28,['Josh'],['Herbie Human'],"JS, 4D, KS, KD, 4C",12,28
29,['Bob'],['Floyd Folds'],"6C, 6D, 4H, QD, 4S",12,29
30,['Josh'],['Herbie Human'],"6C, QS, 9S, QC, KH",12,30
31,['Bob'],['Floyd Folds'],"3H, JH, KS, KD, 3S",24,31
32,['Josh'],['Herbie Human'],"KD, 3C, 2D, 4H, AH",24,32
33,['Bob'],['Floyd Folds'],"10H, 6S, QD, 9C, 7D",24,33
34,['Josh'],['Herbie Human'],"4D, KC, 5S, 3H, 2H",24,34
35,['Bob'],['Floyd Folds'],"KC, 10S, 10D, 9D, KH",24,35
36,['Josh'],['Herbie Human'],"9D, 5D, AS, KC, 5H",24,36
37,['Josh'],['Herbie Human'],"AC, AH, KS, 7D, JS",308,37
38,['Josh'],['Herbie Human'],"4H, QH, AC, 3C, 2S",24,38
39,['Bob'],['Floyd Folds'],"5H, 10H, QH, AH, 8H",24,39
40,['Josh'],['Herbie Human'],"JH, 9D, QC, 8C, 10S",24,40
41,['Josh'],['Herbie Human'],"AH, JH, 10C, 10H, JC",48,41
