,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,416,['Sophia'],['Callie Calls'],"JC, 9C, 8C, KH, 10S","{'Alice': Hand([Card(""4"", ""Spades""), Card(""J"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""4"", ""Hearts"")]), 'Madi': Hand([Card(""K"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""10"", ""Spades"")]), 'Sophia': Hand([Card(""J"", ""Clubs""), Card(""9"", ""Clubs""), Card(""8"", ""Clubs""), Card(""K"", ""Hearts""), Card(""10"", ""Spades"")])}",0
1,80,['Sophia'],['Callie Calls'],"AC, AH, 10H, 7S, KD","{'Beezie': Hand([Card(""J"", ""Hearts""), Card(""3"", ""Spades""), Card(""10"", ""Hearts""), Card(""3"", ""Hearts""), Card(""K"", ""Diamonds"")]), 'Madi': Hand([Card(""8"", ""Diamonds""), Card(""8"", ""Spades""), Card(""10"", ""Hearts""), Card(""7"", ""Spades""), Card(""K"", ""Diamonds"")]), 'Sophia': Hand([Card(""A"", ""Clubs""), Card(""A"", ""Hearts""), Card(""10"", ""Hearts""), Card(""7"", ""Spades""), Card(""K"", ""Diamonds"")])}",1
2,49,['Alice'],['Ricky Raise'],"6S, 5S, QS, 4S, 7S","{'Alice': Hand([Card(""6"", ""Spades""), Card(""5"", ""Spades""), Card(""Q"", ""Spades""), Card(""4"", ""Spades""), Card(""7"", ""Spades"")]), 'Beezie': Hand([Card(""5"", ""Spades""), Card(""Q"", ""Spades""), Card(""4"", ""Spades""), Card(""6"", ""Hearts""), Card(""7"", ""Spades"")]), 'Sophia': Hand([Card(""6"", ""Clubs""), Card(""5"", ""Spades""), Card(""Q"", ""Spades""), Card(""4"", ""Spades""), Card(""7"", ""Spades"")])}",2
3,49,['Alice'],['Ricky Raise'],"7S, 8D, 9S, 6S, KS","{'Alice': Hand([Card(""7"", ""Spades""), Card(""8"", ""Diamonds""), Card(""9"", ""Spades""), Card(""6"", ""Spades""), Card(""K"", ""Spades"")]), 'Sophia': Hand([Card(""9"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""9"", ""Spades""), Card(""K"", ""Spades"")])}",3
4,218,['Sophia'],['Callie Calls'],"AS, 9D, 7H, 10H, 8D","{'Alice': Hand([Card(""J"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""7"", ""Hearts""), Card(""10"", ""Hearts""), Card(""8"", ""Diamonds"")]), 'Sophia': Hand([Card(""A"", ""Spades""), Card(""9"", ""Diamonds""), Card(""7"", ""Hearts""), Card(""10"", ""Hearts""), Card(""8"", ""Diamonds"")])}",4
5,17,"['Alice', 'Sophia']","['Ricky Raise', 'Callie Calls']","5D, 10D, 4C, 3D, 2S","{'Alice': Hand([Card(""5"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""4"", ""Clubs""), Card(""3"", ""Diamonds""), Card(""2"", ""Spades"")]), 'Beezie': Hand([Card(""Q"", ""Spades""), Card(""7"", ""Diamonds""), Card(""6"", ""Spades""), Card(""2"", ""Spades""), Card(""2"", ""Hearts"")]), 'Sophia': Hand([Card(""10"", ""Spades""), Card(""5"", ""Hearts""), Card(""4"", ""Clubs""), Card(""3"", ""Diamonds""), Card(""2"", ""Spades"")])}",5
6,20,['Alice'],['Ricky Raise'],"5H, 5D, JS, 5S, JD","{'Alice': Hand([Card(""5"", ""Hearts""), Card(""5"", ""Diamonds""), Card(""J"", ""Spades""), Card(""5"", ""Spades""), Card(""J"", ""Diamonds"")]), 'Sophia': Hand([Card(""A"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""7"", ""Hearts""), Card(""J"", ""Spades""), Card(""J"", ""Diamonds"")])}",6
7,26,['Sophia'],['Callie Calls'],"QD, KC, JC, QH, JH","{'Alice': Hand([Card(""K"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""6"", ""Spades""), Card(""6"", ""Hearts""), Card(""J"", ""Hearts"")]), 'Sophia': Hand([Card(""Q"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""J"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""J"", ""Hearts"")])}",7
8,14,['Alice'],['Ricky Raise'],"JC, 10S, 8D, 9D, KH","{'Alice': Hand([Card(""J"", ""Clubs""), Card(""10"", ""Spades""), Card(""8"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""K"", ""Hearts"")]), 'Sophia': Hand([Card(""5"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""J"", ""Spades"")])}",8
9,10,['Sophia'],['Callie Calls'],"3D, 5H, 6C, JH, 4H","{'Alice': Hand([Card(""K"", ""Clubs""), Card(""K"", ""Spades""), Card(""6"", ""Clubs""), Card(""J"", ""Hearts""), Card(""10"", ""Clubs"")]), 'Sophia': Hand([Card(""3"", ""Diamonds""), Card(""5"", ""Hearts""), Card(""6"", ""Clubs""), Card(""J"", ""Hearts""), Card(""4"", ""Hearts"")])}",9
10,18,['Alice'],['Ricky Raise'],"6S, 6D, QS, JD, 6C","{'Alice': Hand([Card(""6"", ""Spades""), Card(""6"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""J"", ""Diamonds""), Card(""6"", ""Clubs"")]), 'Sophia': Hand([Card(""7"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""Q"", ""Spades""), Card(""J"", ""Diamonds""), Card(""6"", ""Clubs"")])}",10
11,18,['Sophia'],['Callie Calls'],"7S, AS, 10H, JD, 7H","{'Alice': Hand([Card(""Q"", ""Diamonds""), Card(""A"", ""Spades""), Card(""10"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""7"", ""Hearts"")]), 'Sophia': Hand([Card(""7"", ""Spades""), Card(""A"", ""Spades""), Card(""10"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""7"", ""Hearts"")])}",11
12,10,['Sophia'],['Callie Calls'],"7D, QC, JD, 9S, QH","{'Alice': Hand([Card(""A"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""9"", ""Spades""), Card(""Q"", ""Hearts"")]), 'Sophia': Hand([Card(""7"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""9"", ""Spades""), Card(""Q"", ""Hearts"")])}",12
13,6,['Sophia'],['Callie Calls'],"7D, 9S, 9C, KS, 7C","{'Sophia': Hand([Card(""7"", ""Diamonds""), Card(""9"", ""Spades""), Card(""9"", ""Clubs""), Card(""K"", ""Spades""), Card(""7"", ""Clubs"")])}",13
