,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,564,"['Madi', 'Sophia']","['Callie Calls', 'Callie Calls']","4D, JS, JD, KS, 4S","{'Madi': Hand([Card(""4"", ""Diamonds""), Card(""J"", ""Spades""), Card(""J"", ""Diamonds""), Card(""K"", ""Spades""), Card(""4"", ""Spades"")]), 'Sophia': Hand([Card(""4"", ""Clubs""), Card(""J"", ""Spades""), Card(""J"", ""Diamonds""), Card(""K"", ""Spades""), Card(""4"", ""Spades"")])}",0
1,44,['Sophia'],['Callie Calls'],"AD, KS, 8S, 6H, 8D","{'Madi': Hand([Card(""9"", ""Diamonds""), Card(""A"", ""Spades""), Card(""8"", ""Spades""), Card(""6"", ""Hearts""), Card(""8"", ""Diamonds"")]), 'Sophia': Hand([Card(""A"", ""Diamonds""), Card(""K"", ""Spades""), Card(""8"", ""Spades""), Card(""6"", ""Hearts""), Card(""8"", ""Diamonds"")])}",1
2,166,['Madi'],['Callie Calls'],"8C, AC, 5C, 7C, 2C","{'Madi': Hand([Card(""8"", ""Clubs""), Card(""A"", ""Clubs""), Card(""5"", ""Clubs""), Card(""7"", ""Clubs""), Card(""2"", ""Clubs"")]), 'Sophia': Hand([Card(""7"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""7"", ""Clubs""), Card(""2"", ""Clubs""), Card(""7"", ""Spades"")])}",2
3,6,['Sophia'],['Callie Calls'],"JH, QC, 7C, 6S, JD","{'Madi': Hand([Card(""A"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""7"", ""Clubs""), Card(""6"", ""Spades""), Card(""J"", ""Diamonds"")]), 'Sophia': Hand([Card(""J"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""7"", ""Clubs""), Card(""6"", ""Spades""), Card(""J"", ""Diamonds"")])}",3
4,5,['Madi'],['Callie Calls'],"4H, QH, 7H, JH, KH","{'Madi': Hand([Card(""4"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""7"", ""Hearts""), Card(""J"", ""Hearts""), Card(""K"", ""Hearts"")]), 'Sophia': Hand([Card(""2"", ""Hearts""), Card(""J"", ""Hearts""), Card(""2"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""K"", ""Hearts"")])}",4
5,14,['Sophia'],['Callie Calls'],"5C, 7S, 8H, JD, QD","{'Madi': Hand([Card(""6"", ""Hearts""), Card(""5"", ""Spades""), Card(""8"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""Q"", ""Diamonds"")]), 'Sophia': Hand([Card(""5"", ""Clubs""), Card(""7"", ""Spades""), Card(""8"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""Q"", ""Diamonds"")])}",5
6,57,['Sophia'],['Callie Calls'],"6S, QH, AC, 6H, JH","{'Madi': Hand([Card(""10"", ""Spades""), Card(""A"", ""Clubs""), Card(""J"", ""Hearts""), Card(""7"", ""Clubs""), Card(""8"", ""Diamonds"")]), 'Sophia': Hand([Card(""6"", ""Spades""), Card(""Q"", ""Hearts""), Card(""A"", ""Clubs""), Card(""6"", ""Hearts""), Card(""J"", ""Hearts"")])}",6
7,45,['Madi'],['Callie Calls'],"9H, 9D, AH, 10S, JS","{'Madi': Hand([Card(""9"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""10"", ""Spades""), Card(""J"", ""Spades"")]), 'Sophia': Hand([Card(""10"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""10"", ""Spades""), Card(""J"", ""Spades"")])}",7
8,5,['Madi'],['Callie Calls'],"4H, 9H, AH, 4D, 9C","{'Madi': Hand([Card(""4"", ""Hearts""), Card(""9"", ""Hearts""), Card(""A"", ""Hearts""), Card(""4"", ""Diamonds""), Card(""9"", ""Clubs"")]), 'Sophia': Hand([Card(""A"", ""Clubs""), Card(""A"", ""Hearts""), Card(""K"", ""Hearts""), Card(""J"", ""Clubs""), Card(""9"", ""Clubs"")])}",8
9,11,['Madi'],['Callie Calls'],"AC, QD, QH, KH, QC","{'Madi': Hand([Card(""A"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""K"", ""Hearts""), Card(""Q"", ""Clubs"")]), 'Sophia': Hand([Card(""Q"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""K"", ""Hearts""), Card(""Q"", ""Clubs"")])}",9
