,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,533,['Sophia'],['Callie Calls'],"JS, KC, JD, 3C, 3H","{'Madi': Hand([Card(""Q"", ""Spades""), Card(""K"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""3"", ""Clubs""), Card(""3"", ""Hearts"")]), 'Michelle': Hand([Card(""9"", ""Hearts""), Card(""K"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""3"", ""Clubs""), Card(""3"", ""Hearts"")]), 'Sophia': Hand([Card(""J"", ""Spades""), Card(""K"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""3"", ""Clubs""), Card(""3"", ""Hearts"")])}",0
1,199,['Sophia'],['Callie Calls'],"JH, 7C, 7S, AH, 6D","{'Sophia': Hand([Card(""J"", ""Hearts""), Card(""7"", ""Clubs""), Card(""7"", ""Spades""), Card(""A"", ""Hearts""), Card(""6"", ""Diamonds"")])}",1
2,52,['Sophia'],['Callie Calls'],"7D, 7C, AD, AS, KC","{'Sophia': Hand([Card(""7"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""A"", ""Spades""), Card(""K"", ""Clubs"")])}",2
3,31,['Sophia'],['Callie Calls'],"JH, 9C, 9S, JD, 8S","{'Sophia': Hand([Card(""J"", ""Hearts""), Card(""9"", ""Clubs""), Card(""9"", ""Spades""), Card(""J"", ""Diamonds""), Card(""8"", ""Spades"")])}",3
4,5,['Sophia'],['Callie Calls'],"3D, 8D, 3C, 10D, 9C","{'Sophia': Hand([Card(""3"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""3"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""9"", ""Clubs"")])}",4
5,3,['Sophia'],['Callie Calls'],"8D, 6H, 7H, 2S, 2H","{'Sophia': Hand([Card(""8"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""7"", ""Hearts""), Card(""2"", ""Spades""), Card(""2"", ""Hearts"")])}",5
6,3,['Sophia'],['Callie Calls'],"AC, 7D, 7H, KS, 7C","{'Sophia': Hand([Card(""A"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""7"", ""Hearts""), Card(""K"", ""Spades""), Card(""7"", ""Clubs"")])}",6
7,3,['Sophia'],['Callie Calls'],"9C, 7C, 9H, 2H, 9D","{'Sophia': Hand([Card(""9"", ""Clubs""), Card(""7"", ""Clubs""), Card(""9"", ""Hearts""), Card(""2"", ""Hearts""), Card(""9"", ""Diamonds"")])}",7
8,3,['Sophia'],['Callie Calls'],"2D, 7H, 8H, 2C, KC","{'Sophia': Hand([Card(""2"", ""Diamonds""), Card(""7"", ""Hearts""), Card(""8"", ""Hearts""), Card(""2"", ""Clubs""), Card(""K"", ""Clubs"")])}",8
9,3,['Sophia'],['Callie Calls'],"6S, 10C, 8H, QS, 8C","{'Sophia': Hand([Card(""6"", ""Spades""), Card(""10"", ""Clubs""), Card(""8"", ""Hearts""), Card(""Q"", ""Spades""), Card(""8"", ""Clubs"")])}",9
10,3,['Sophia'],['Callie Calls'],"QC, AS, JC, 9H, 9C","{'Sophia': Hand([Card(""Q"", ""Clubs""), Card(""A"", ""Spades""), Card(""J"", ""Clubs""), Card(""9"", ""Hearts""), Card(""9"", ""Clubs"")])}",10
11,6,['Sophia'],['Callie Calls'],"JC, AS, AD, QS, JH","{'Sophia': Hand([Card(""J"", ""Clubs""), Card(""A"", ""Spades""), Card(""A"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""J"", ""Hearts"")])}",11
12,6,['Sophia'],['Callie Calls'],"10H, AC, 9C, KD, QH","{'Sophia': Hand([Card(""10"", ""Hearts""), Card(""A"", ""Clubs""), Card(""9"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""Q"", ""Hearts"")])}",12
13,6,['Sophia'],['Callie Calls'],"3D, KD, 5D, 7D, 9D","{'Sophia': Hand([Card(""3"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""5"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""9"", ""Diamonds"")])}",13
14,6,['Sophia'],['Callie Calls'],"9C, QS, QC, 5D, 7S","{'Sophia': Hand([Card(""9"", ""Clubs""), Card(""Q"", ""Spades""), Card(""Q"", ""Clubs""), Card(""5"", ""Diamonds""), Card(""7"", ""Spades"")])}",14
15,6,['Sophia'],['Callie Calls'],"QS, 5H, KH, 7C, 10C","{'Sophia': Hand([Card(""Q"", ""Spades""), Card(""5"", ""Hearts""), Card(""K"", ""Hearts""), Card(""7"", ""Clubs""), Card(""10"", ""Clubs"")])}",15
16,6,['Sophia'],['Callie Calls'],"8C, JC, 10S, 9S, 4H","{'Sophia': Hand([Card(""8"", ""Clubs""), Card(""J"", ""Clubs""), Card(""10"", ""Spades""), Card(""9"", ""Spades""), Card(""4"", ""Hearts"")])}",16
17,6,['Sophia'],['Callie Calls'],"10D, 3H, 3S, 10C, 3D","{'Sophia': Hand([Card(""10"", ""Diamonds""), Card(""3"", ""Hearts""), Card(""3"", ""Spades""), Card(""10"", ""Clubs""), Card(""3"", ""Diamonds"")])}",17
18,6,['Sophia'],['Callie Calls'],"AS, 7H, QC, 7S, JC","{'Sophia': Hand([Card(""A"", ""Spades""), Card(""7"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""7"", ""Spades""), Card(""J"", ""Clubs"")])}",18
19,6,['Sophia'],['Callie Calls'],"6C, 3C, 2S, 4S, 5H","{'Sophia': Hand([Card(""6"", ""Clubs""), Card(""3"", ""Clubs""), Card(""2"", ""Spades""), Card(""4"", ""Spades""), Card(""5"", ""Hearts"")])}",19
20,6,['Sophia'],['Callie Calls'],"6H, 6S, 8D, AS, 8S","{'Sophia': Hand([Card(""6"", ""Hearts""), Card(""6"", ""Spades""), Card(""8"", ""Diamonds""), Card(""A"", ""Spades""), Card(""8"", ""Spades"")])}",20
21,12,['Sophia'],['Callie Calls'],"9C, QD, 9S, 6S, AD","{'Sophia': Hand([Card(""9"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""9"", ""Spades""), Card(""6"", ""Spades""), Card(""A"", ""Diamonds"")])}",21
22,12,['Sophia'],['Callie Calls'],"10D, 3S, 3C, AD, AH","{'Sophia': Hand([Card(""10"", ""Diamonds""), Card(""3"", ""Spades""), Card(""3"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""A"", ""Hearts"")])}",22
23,12,['Sophia'],['Callie Calls'],"9H, 5C, 10D, JS, 10S","{'Sophia': Hand([Card(""9"", ""Hearts""), Card(""5"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""J"", ""Spades""), Card(""10"", ""Spades"")])}",23
24,12,['Sophia'],['Callie Calls'],"6C, KS, QH, KC, AC","{'Sophia': Hand([Card(""6"", ""Clubs""), Card(""K"", ""Spades""), Card(""Q"", ""Hearts""), Card(""K"", ""Clubs""), Card(""A"", ""Clubs"")])}",24
25,12,['Sophia'],['Callie Calls'],"3D, JH, 10S, 3C, KS","{'Sophia': Hand([Card(""3"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""10"", ""Spades""), Card(""3"", ""Clubs""), Card(""K"", ""Spades"")])}",25
26,12,['Sophia'],['Callie Calls'],"KD, 3D, JH, AC, 3C","{'Sophia': Hand([Card(""K"", ""Diamonds""), Card(""3"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""A"", ""Clubs""), Card(""3"", ""Clubs"")])}",26
27,12,['Sophia'],['Callie Calls'],"QS, 8S, 4D, 8D, 4S","{'Sophia': Hand([Card(""Q"", ""Spades""), Card(""8"", ""Spades""), Card(""4"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""4"", ""Spades"")])}",27
28,12,['Sophia'],['Callie Calls'],"JD, QC, 6S, 10S, 6H","{'Sophia': Hand([Card(""J"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""6"", ""Spades""), Card(""10"", ""Spades""), Card(""6"", ""Hearts"")])}",28
29,12,['Sophia'],['Callie Calls'],"3H, KH, 3S, 6C, 7C","{'Sophia': Hand([Card(""3"", ""Hearts""), Card(""K"", ""Hearts""), Card(""3"", ""Spades""), Card(""6"", ""Clubs""), Card(""7"", ""Clubs"")])}",29
