,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,582,['Sophia'],['Callie Calls'],"AD, 8S, AH, 5C, 10C","{'Madi': Hand([Card(""5"", ""Spades""), Card(""8"", ""Spades""), Card(""A"", ""Hearts""), Card(""5"", ""Clubs""), Card(""10"", ""Clubs"")]), 'Sophia': Hand([Card(""A"", ""Diamonds""), Card(""8"", ""Spades""), Card(""A"", ""Hearts""), Card(""5"", ""Clubs""), Card(""10"", ""Clubs"")])}",0
1,212,['Sophia'],['Callie Calls'],"6S, 8C, 7C, 7D, 8S","{'Sophia': Hand([Card(""6"", ""Spades""), Card(""8"", ""Clubs""), Card(""7"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""8"", ""Spades"")])}",1
2,3,['Sophia'],['Callie Calls'],"6D, 8S, AS, JH, 7H","{'Sophia': Hand([Card(""6"", ""Diamonds""), Card(""8"", ""Spades""), Card(""A"", ""Spades""), Card(""J"", ""Hearts""), Card(""7"", ""Hearts"")])}",2
3,3,['Sophia'],['Callie Calls'],"4D, QD, AC, 4S, KH","{'Sophia': Hand([Card(""4"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""4"", ""Spades""), Card(""K"", ""Hearts"")])}",3
4,3,['Sophia'],['Callie Calls'],"KH, 7C, 4D, 7D, 4H","{'Sophia': Hand([Card(""K"", ""Hearts""), Card(""7"", ""Clubs""), Card(""4"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""4"", ""Hearts"")])}",4
5,3,['Sophia'],['Callie Calls'],"8D, QH, 10D, AC, 5C","{'Sophia': Hand([Card(""8"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""5"", ""Clubs"")])}",5
6,3,['Sophia'],['Callie Calls'],"AH, AD, 6C, AS, QD","{'Sophia': Hand([Card(""A"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""A"", ""Spades""), Card(""Q"", ""Diamonds"")])}",6
7,3,['Sophia'],['Callie Calls'],"5C, KH, AC, QC, 5H","{'Sophia': Hand([Card(""5"", ""Clubs""), Card(""K"", ""Hearts""), Card(""A"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""5"", ""Hearts"")])}",7
8,3,['Sophia'],['Callie Calls'],"5H, 9S, 7C, 7S, 10C","{'Sophia': Hand([Card(""5"", ""Hearts""), Card(""9"", ""Spades""), Card(""7"", ""Clubs""), Card(""7"", ""Spades""), Card(""10"", ""Clubs"")])}",8
9,3,['Sophia'],['Callie Calls'],"6H, 5H, 4H, 2H, KH","{'Sophia': Hand([Card(""6"", ""Hearts""), Card(""5"", ""Hearts""), Card(""4"", ""Hearts""), Card(""2"", ""Hearts""), Card(""K"", ""Hearts"")])}",9
10,3,['Sophia'],['Callie Calls'],"2H, 9H, 2S, 6H, 10D","{'Sophia': Hand([Card(""2"", ""Hearts""), Card(""9"", ""Hearts""), Card(""2"", ""Spades""), Card(""6"", ""Hearts""), Card(""10"", ""Diamonds"")])}",10
11,6,['Sophia'],['Callie Calls'],"8D, 9C, KC, KS, 9S","{'Sophia': Hand([Card(""8"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""K"", ""Clubs""), Card(""K"", ""Spades""), Card(""9"", ""Spades"")])}",11
12,6,['Sophia'],['Callie Calls'],"JC, 10H, 4C, 6C, JD","{'Sophia': Hand([Card(""J"", ""Clubs""), Card(""10"", ""Hearts""), Card(""4"", ""Clubs""), Card(""6"", ""Clubs""), Card(""J"", ""Diamonds"")])}",12
13,6,['Sophia'],['Callie Calls'],"AH, QS, 4S, 4C, KC","{'Sophia': Hand([Card(""A"", ""Hearts""), Card(""Q"", ""Spades""), Card(""4"", ""Spades""), Card(""4"", ""Clubs""), Card(""K"", ""Clubs"")])}",13
14,6,['Sophia'],['Callie Calls'],"8C, QH, AD, QS, 5D","{'Sophia': Hand([Card(""8"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""5"", ""Diamonds"")])}",14
15,6,['Sophia'],['Callie Calls'],"KS, 8H, JD, JH, AS","{'Sophia': Hand([Card(""K"", ""Spades""), Card(""8"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""A"", ""Spades"")])}",15
16,6,['Sophia'],['Callie Calls'],"AC, 6C, JD, 7H, KC","{'Sophia': Hand([Card(""A"", ""Clubs""), Card(""6"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""7"", ""Hearts""), Card(""K"", ""Clubs"")])}",16
17,6,['Sophia'],['Callie Calls'],"6C, KD, 9C, 9S, 6H","{'Sophia': Hand([Card(""6"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""9"", ""Spades""), Card(""6"", ""Hearts"")])}",17
18,6,['Sophia'],['Callie Calls'],"9C, 10H, 8S, 7D, JS","{'Sophia': Hand([Card(""9"", ""Clubs""), Card(""10"", ""Hearts""), Card(""8"", ""Spades""), Card(""7"", ""Diamonds""), Card(""J"", ""Spades"")])}",18
19,6,['Sophia'],['Callie Calls'],"JH, 10C, AC, AS, 4D","{'Sophia': Hand([Card(""J"", ""Hearts""), Card(""10"", ""Clubs""), Card(""A"", ""Clubs""), Card(""A"", ""Spades""), Card(""4"", ""Diamonds"")])}",19
20,6,['Sophia'],['Callie Calls'],"7S, 8H, 4D, 5H, 6H","{'Sophia': Hand([Card(""7"", ""Spades""), Card(""8"", ""Hearts""), Card(""4"", ""Diamonds""), Card(""5"", ""Hearts""), Card(""6"", ""Hearts"")])}",20
21,12,['Sophia'],['Callie Calls'],"5S, AS, 9H, 7C, QC","{'Sophia': Hand([Card(""5"", ""Spades""), Card(""A"", ""Spades""), Card(""9"", ""Hearts""), Card(""7"", ""Clubs""), Card(""Q"", ""Clubs"")])}",21
22,12,['Sophia'],['Callie Calls'],"KH, QH, 4C, 4D, QS","{'Sophia': Hand([Card(""K"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""4"", ""Clubs""), Card(""4"", ""Diamonds""), Card(""Q"", ""Spades"")])}",22
23,12,['Sophia'],['Callie Calls'],"JC, AD, JH, 2S, 2D","{'Sophia': Hand([Card(""J"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""2"", ""Spades""), Card(""2"", ""Diamonds"")])}",23
24,12,['Sophia'],['Callie Calls'],"10S, 3D, 2H, 3C, 2S","{'Sophia': Hand([Card(""10"", ""Spades""), Card(""3"", ""Diamonds""), Card(""2"", ""Hearts""), Card(""3"", ""Clubs""), Card(""2"", ""Spades"")])}",24
25,12,['Sophia'],['Callie Calls'],"KH, 10H, KS, AC, 10S","{'Sophia': Hand([Card(""K"", ""Hearts""), Card(""10"", ""Hearts""), Card(""K"", ""Spades""), Card(""A"", ""Clubs""), Card(""10"", ""Spades"")])}",25
26,12,['Sophia'],['Callie Calls'],"7D, JH, 7C, 10D, JS","{'Sophia': Hand([Card(""7"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""7"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""J"", ""Spades"")])}",26
27,12,['Sophia'],['Callie Calls'],"10D, 6S, 4D, 9H, AS","{'Sophia': Hand([Card(""10"", ""Diamonds""), Card(""6"", ""Spades""), Card(""4"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""A"", ""Spades"")])}",27
28,12,['Sophia'],['Callie Calls'],"10C, 9D, KS, QH, 9S","{'Sophia': Hand([Card(""10"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""K"", ""Spades""), Card(""Q"", ""Hearts""), Card(""9"", ""Spades"")])}",28
