,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,422,['Steve'],['Robbie Random'],"4D, 2S, 2D, QC, 4H","{'Madi': Hand([Card(""9"", ""Hearts""), Card(""J"", ""Spades""), Card(""J"", ""Diamonds""), Card(""8"", ""Spades""), Card(""Q"", ""Clubs"")]), 'Steve': Hand([Card(""4"", ""Diamonds""), Card(""2"", ""Spades""), Card(""2"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""4"", ""Hearts"")]), 'Sophia': Hand([Card(""4"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""8"", ""Spades""), Card(""Q"", ""Clubs""), Card(""4"", ""Hearts"")])}",0
1,142,['Madi'],['Callie Calls'],"JC, 5H, 6H, 8S, 10H","{'Madi': Hand([Card(""J"", ""Clubs""), Card(""5"", ""Hearts""), Card(""6"", ""Hearts""), Card(""8"", ""Spades""), Card(""10"", ""Hearts"")]), 'Sophia': Hand([Card(""Q"", ""Clubs""), Card(""6"", ""Hearts""), Card(""8"", ""Spades""), Card(""4"", ""Spades""), Card(""10"", ""Hearts"")])}",1
2,246,['Madi'],['Callie Calls'],"AC, 5S, 5H, AS, 6D","{'Cody': Hand([Card(""8"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""5"", ""Spades""), Card(""5"", ""Hearts""), Card(""A"", ""Spades"")]), 'Madi': Hand([Card(""A"", ""Clubs""), Card(""5"", ""Spades""), Card(""5"", ""Hearts""), Card(""A"", ""Spades""), Card(""6"", ""Diamonds"")])}",2
3,648,['Madi'],['Callie Calls'],"QH, 6C, AH, KH, QD","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""6"", ""Clubs""), Card(""A"", ""Hearts""), Card(""K"", ""Hearts""), Card(""Q"", ""Diamonds"")])}",3
4,50,['Madi'],['Callie Calls'],"5H, 5C, QH, JH, KH","{'Madi': Hand([Card(""5"", ""Hearts""), Card(""5"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""J"", ""Hearts""), Card(""K"", ""Hearts"")])}",4
5,33,['Steve'],['Robbie Random'],"2S, AD, 2D, 2C, AH","{'Madi': Hand([Card(""6"", ""Clubs""), Card(""K"", ""Hearts""), Card(""6"", ""Spades""), Card(""A"", ""Diamonds""), Card(""A"", ""Hearts"")]), 'Steve': Hand([Card(""2"", ""Spades""), Card(""A"", ""Diamonds""), Card(""2"", ""Diamonds""), Card(""2"", ""Clubs""), Card(""A"", ""Hearts"")])}",5
6,43,['Madi'],['Callie Calls'],"7S, JH, 6C, 10S, 6D","{'Madi': Hand([Card(""7"", ""Spades""), Card(""J"", ""Hearts""), Card(""6"", ""Clubs""), Card(""10"", ""Spades""), Card(""6"", ""Diamonds"")])}",6
7,29,['Madi'],['Callie Calls'],"7D, JD, 9S, 10H, 8S","{'Madi': Hand([Card(""7"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""9"", ""Spades""), Card(""10"", ""Hearts""), Card(""8"", ""Spades"")]), 'Steve': Hand([Card(""K"", ""Hearts""), Card(""7"", ""Hearts""), Card(""9"", ""Spades""), Card(""10"", ""Hearts""), Card(""7"", ""Spades"")])}",7
8,3,['Madi'],['Callie Calls'],"QD, JD, KH, 3S, 3C","{'Madi': Hand([Card(""Q"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""3"", ""Spades""), Card(""3"", ""Clubs"")])}",8
9,3,['Madi'],['Callie Calls'],"7H, 10S, 10H, KH, 8H","{'Madi': Hand([Card(""7"", ""Hearts""), Card(""10"", ""Spades""), Card(""10"", ""Hearts""), Card(""K"", ""Hearts""), Card(""8"", ""Hearts"")])}",9
10,3,['Madi'],['Callie Calls'],"8C, KC, KD, JS, 9S","{'Madi': Hand([Card(""8"", ""Clubs""), Card(""K"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""J"", ""Spades""), Card(""9"", ""Spades"")])}",10
11,6,['Madi'],['Callie Calls'],"KH, QC, JH, 6D, 6S","{'Madi': Hand([Card(""K"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""J"", ""Hearts""), Card(""6"", ""Diamonds""), Card(""6"", ""Spades"")])}",11
12,6,['Madi'],['Callie Calls'],"4C, 4S, 6C, 6H, 6S","{'Madi': Hand([Card(""4"", ""Clubs""), Card(""4"", ""Spades""), Card(""6"", ""Clubs""), Card(""6"", ""Hearts""), Card(""6"", ""Spades"")])}",12
