,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,588,['Sophia'],['Callie Calls'],"4S, 4H, AC, KC, AS","{'Madi': Hand([Card(""7"", ""Hearts""), Card(""6"", ""Spades""), Card(""A"", ""Clubs""), Card(""K"", ""Clubs""), Card(""A"", ""Spades"")]), 'Sophia': Hand([Card(""4"", ""Spades""), Card(""4"", ""Hearts""), Card(""A"", ""Clubs""), Card(""K"", ""Clubs""), Card(""A"", ""Spades"")])}",0
1,102,['Sophia'],['Callie Calls'],"AD, 5C, 2S, 3D, 4C","{'Michelle': Hand([Card(""3"", ""Spades""), Card(""8"", ""Clubs""), Card(""2"", ""Spades""), Card(""3"", ""Diamonds""), Card(""2"", ""Hearts"")]), 'Sophia': Hand([Card(""A"", ""Diamonds""), Card(""5"", ""Clubs""), Card(""2"", ""Spades""), Card(""3"", ""Diamonds""), Card(""4"", ""Clubs"")])}",1
2,47,['Sophia'],['Callie Calls'],"KS, AC, 7H, JS, 10C","{'Sophia': Hand([Card(""K"", ""Spades""), Card(""A"", ""Clubs""), Card(""7"", ""Hearts""), Card(""J"", ""Spades""), Card(""10"", ""Clubs"")])}",2
3,24,['Steve'],['Robbie Random'],"KH, 7S, 9H, 7H, 9D","{'Steve': Hand([Card(""K"", ""Hearts""), Card(""7"", ""Spades""), Card(""9"", ""Hearts""), Card(""7"", ""Hearts""), Card(""9"", ""Diamonds"")]), 'Sophia': Hand([Card(""8"", ""Spades""), Card(""7"", ""Spades""), Card(""9"", ""Hearts""), Card(""7"", ""Hearts""), Card(""9"", ""Diamonds"")])}",3
4,15,['Sophia'],['Callie Calls'],"2D, 2H, JC, 8H, 6H","{'Sophia': Hand([Card(""2"", ""Diamonds""), Card(""2"", ""Hearts""), Card(""J"", ""Clubs""), Card(""8"", ""Hearts""), Card(""6"", ""Hearts"")])}",4
5,36,"['Steve', 'Sophia']","['Robbie Random', 'Callie Calls']","QC, JD, KD, 10D, AH","{'Steve': Hand([Card(""Q"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""A"", ""Hearts"")]), 'Sophia': Hand([Card(""Q"", ""Spades""), Card(""J"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""A"", ""Hearts"")])}",5
6,34,['Sophia'],['Callie Calls'],"QD, 4C, 2D, 4S, 2H","{'Sophia': Hand([Card(""Q"", ""Diamonds""), Card(""4"", ""Clubs""), Card(""2"", ""Diamonds""), Card(""4"", ""Spades""), Card(""2"", ""Hearts"")])}",6
7,5,['Sophia'],['Callie Calls'],"QS, 9H, QH, AC, 9D","{'Sophia': Hand([Card(""Q"", ""Spades""), Card(""9"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""A"", ""Clubs""), Card(""9"", ""Diamonds"")])}",7
8,3,['Sophia'],['Callie Calls'],"8H, 7D, 2C, JS, 2S","{'Sophia': Hand([Card(""8"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""2"", ""Clubs""), Card(""J"", ""Spades""), Card(""2"", ""Spades"")])}",8
9,3,['Sophia'],['Callie Calls'],"6D, KH, 7C, 6C, QS","{'Sophia': Hand([Card(""6"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""7"", ""Clubs""), Card(""6"", ""Clubs""), Card(""Q"", ""Spades"")])}",9
10,3,['Sophia'],['Callie Calls'],"AD, 7H, JS, QD, 9D","{'Sophia': Hand([Card(""A"", ""Diamonds""), Card(""7"", ""Hearts""), Card(""J"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""9"", ""Diamonds"")])}",10
11,6,['Sophia'],['Callie Calls'],"JS, JC, 7C, JD, QD","{'Sophia': Hand([Card(""J"", ""Spades""), Card(""J"", ""Clubs""), Card(""7"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""Q"", ""Diamonds"")])}",11
