,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,579,['Cody'],['Robbie Random'],"6C, 6S, 6D, 10S, 10D","{'Cody': Hand([Card(""6"", ""Clubs""), Card(""6"", ""Spades""), Card(""6"", ""Diamonds""), Card(""10"", ""Spades""), Card(""10"", ""Diamonds"")]), 'Madi': Hand([Card(""J"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""A"", ""Hearts""), Card(""10"", ""Spades""), Card(""10"", ""Diamonds"")]), 'Sophia': Hand([Card(""A"", ""Spades""), Card(""Q"", ""Clubs""), Card(""A"", ""Hearts""), Card(""10"", ""Spades""), Card(""10"", ""Diamonds"")])}",0
1,527,['Cody'],['Robbie Random'],"AS, 8D, 8H, 10D, AD","{'Cody': Hand([Card(""A"", ""Spades""), Card(""8"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""A"", ""Diamonds"")])}",1
2,8,['Beezie'],['Ricky Raise'],"5H, KH, AS, 9D, 10H","{'Beezie': Hand([Card(""5"", ""Hearts""), Card(""K"", ""Hearts""), Card(""A"", ""Spades""), Card(""9"", ""Diamonds""), Card(""10"", ""Hearts"")])}",2
3,11,['Steve'],['Robbie Random'],"2C, 2D, AH, AD, QD","{'Steve': Hand([Card(""2"", ""Clubs""), Card(""2"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""Q"", ""Diamonds"")])}",3
4,5,['Cody'],['Robbie Random'],"JC, JS, AD, 9D, 6D","{'Cody': Hand([Card(""J"", ""Clubs""), Card(""J"", ""Spades""), Card(""A"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""6"", ""Diamonds"")])}",4
5,499,['Steve'],['Robbie Random'],"KH, KD, 9S, 10S, 4D","{'Steve': Hand([Card(""K"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""9"", ""Spades""), Card(""10"", ""Spades""), Card(""4"", ""Diamonds"")])}",5
6,5,['Steve'],['Robbie Random'],"JD, 10H, 7H, 6H, 9D","{'Steve': Hand([Card(""J"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""7"", ""Hearts""), Card(""6"", ""Hearts""), Card(""9"", ""Diamonds"")])}",6
7,4,['Cody'],['Robbie Random'],"9D, QS, 4S, QH, 4D","{'Cody': Hand([Card(""9"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""4"", ""Spades""), Card(""Q"", ""Hearts""), Card(""4"", ""Diamonds"")])}",7
8,660,['Steve'],['Robbie Random'],"7H, 8H, 5S, 6H, 4S","{'Steve': Hand([Card(""7"", ""Hearts""), Card(""8"", ""Hearts""), Card(""5"", ""Spades""), Card(""6"", ""Hearts""), Card(""4"", ""Spades"")])}",8
9,3,['Bob'],['Floyd Folds'],"9H, JH, JS, 6S, JD","{'Bob': Hand([Card(""9"", ""Hearts""), Card(""J"", ""Hearts""), Card(""J"", ""Spades""), Card(""6"", ""Spades""), Card(""J"", ""Diamonds"")])}",9
