,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,417,['Sophia'],['Callie Calls'],"6C, 6H, KH, QD, 5C","{'Madi': Hand([Card(""5"", ""Spades""), Card(""9"", ""Hearts""), Card(""K"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""5"", ""Clubs"")]), 'Michelle': Hand([Card(""A"", ""Hearts""), Card(""7"", ""Clubs""), Card(""6"", ""Hearts""), Card(""K"", ""Hearts""), Card(""Q"", ""Diamonds"")]), 'Sophia': Hand([Card(""6"", ""Clubs""), Card(""6"", ""Hearts""), Card(""K"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""5"", ""Clubs"")])}",0
1,143,['Madi'],['Callie Calls'],"JD, QS, QH, 7C, AD","{'Alice': Hand([Card(""8"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""Q"", ""Hearts""), Card(""7"", ""Clubs""), Card(""A"", ""Diamonds"")]), 'Madi': Hand([Card(""J"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""Q"", ""Hearts""), Card(""7"", ""Clubs""), Card(""A"", ""Diamonds"")]), 'Sophia': Hand([Card(""10"", ""Hearts""), Card(""Q"", ""Spades""), Card(""Q"", ""Hearts""), Card(""7"", ""Clubs""), Card(""A"", ""Diamonds"")])}",1
2,120,['Sophia'],['Callie Calls'],"JD, 5H, 5S, KH, 9D","{'Madi': Hand([Card(""J"", ""Spades""), Card(""6"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""8"", ""Diamonds"")]), 'Sophia': Hand([Card(""J"", ""Diamonds""), Card(""5"", ""Hearts""), Card(""5"", ""Spades""), Card(""K"", ""Hearts""), Card(""9"", ""Diamonds"")])}",2
3,40,['Sophia'],['Callie Calls'],"7D, 7C, 4H, 4S, 4C","{'Madi': Hand([Card(""K"", ""Hearts""), Card(""4"", ""Hearts""), Card(""J"", ""Clubs""), Card(""4"", ""Spades""), Card(""4"", ""Clubs"")]), 'Sophia': Hand([Card(""7"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""4"", ""Hearts""), Card(""4"", ""Spades""), Card(""4"", ""Clubs"")])}",3
4,181,['Madi'],['Callie Calls'],"6H, JC, 6S, 5S, AC","{'Madi': Hand([Card(""6"", ""Hearts""), Card(""J"", ""Clubs""), Card(""6"", ""Spades""), Card(""5"", ""Spades""), Card(""A"", ""Clubs"")]), 'Sophia': Hand([Card(""7"", ""Hearts""), Card(""K"", ""Hearts""), Card(""6"", ""Spades""), Card(""5"", ""Spades""), Card(""A"", ""Clubs"")])}",4
5,6,['Sophia'],['Callie Calls'],"6H, QC, JC, AS, JS","{'Madi': Hand([Card(""5"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""J"", ""Clubs""), Card(""A"", ""Spades""), Card(""J"", ""Spades"")]), 'Sophia': Hand([Card(""6"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""J"", ""Clubs""), Card(""A"", ""Spades""), Card(""J"", ""Spades"")])}",5
6,54,['Steve'],['Robbie Random'],"7S, 7D, QH, 7H, 2S","{'Cody': Hand([Card(""6"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""6"", ""Spades""), Card(""2"", ""Spades"")]), 'Madi': Hand([Card(""8"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""6"", ""Spades""), Card(""5"", ""Spades""), Card(""7"", ""Hearts"")]), 'Steve': Hand([Card(""7"", ""Spades""), Card(""7"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""7"", ""Hearts""), Card(""2"", ""Spades"")]), 'Sophia': Hand([Card(""8"", ""Spades""), Card(""2"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""7"", ""Hearts""), Card(""2"", ""Spades"")])}",6
7,210,['Madi'],['Callie Calls'],"AS, 4C, 5C, 5S, 4H","{'Madi': Hand([Card(""A"", ""Spades""), Card(""4"", ""Clubs""), Card(""5"", ""Clubs""), Card(""5"", ""Spades""), Card(""4"", ""Hearts"")]), 'Sophia': Hand([Card(""10"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""5"", ""Clubs""), Card(""10"", ""Hearts""), Card(""5"", ""Spades"")])}",7
8,72,['Madi'],['Callie Calls'],"QH, 8H, KC, 8S, AD","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""8"", ""Hearts""), Card(""K"", ""Clubs""), Card(""8"", ""Spades""), Card(""A"", ""Diamonds"")]), 'Sophia': Hand([Card(""5"", ""Spades""), Card(""9"", ""Hearts""), Card(""K"", ""Clubs""), Card(""5"", ""Diamonds""), Card(""A"", ""Diamonds"")])}",8
9,11,['Madi'],['Callie Calls'],"8D, 10C, KD, 8H, JH","{'Madi': Hand([Card(""8"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""J"", ""Hearts"")]), 'Sophia': Hand([Card(""7"", ""Spades""), Card(""10"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""J"", ""Hearts"")])}",9
10,5,['Sophia'],['Callie Calls'],"7S, QD, 2C, 7C, 2D","{'Madi': Hand([Card(""A"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""2"", ""Clubs""), Card(""J"", ""Hearts""), Card(""2"", ""Diamonds"")]), 'Sophia': Hand([Card(""7"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""2"", ""Clubs""), Card(""7"", ""Clubs""), Card(""2"", ""Diamonds"")])}",10
11,8,['Sophia'],['Callie Calls'],"6C, 7H, 3S, 5D, 4H","{'Madi': Hand([Card(""K"", ""Hearts""), Card(""7"", ""Hearts""), Card(""10"", ""Spades""), Card(""5"", ""Diamonds""), Card(""4"", ""Hearts"")]), 'Sophia': Hand([Card(""6"", ""Clubs""), Card(""7"", ""Hearts""), Card(""3"", ""Spades""), Card(""5"", ""Diamonds""), Card(""4"", ""Hearts"")])}",11
12,12,['Sophia'],['Callie Calls'],"QH, AS, QC, 10H, KC","{'Madi': Hand([Card(""8"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""A"", ""Spades""), Card(""Q"", ""Clubs""), Card(""K"", ""Clubs"")]), 'Sophia': Hand([Card(""Q"", ""Hearts""), Card(""A"", ""Spades""), Card(""Q"", ""Clubs""), Card(""10"", ""Hearts""), Card(""K"", ""Clubs"")])}",12
13,10,['Sophia'],['Callie Calls'],"9S, KS, AD, KC, 10H","{'Madi': Hand([Card(""8"", ""Hearts""), Card(""K"", ""Spades""), Card(""A"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""10"", ""Hearts"")]), 'Sophia': Hand([Card(""9"", ""Spades""), Card(""K"", ""Spades""), Card(""A"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""10"", ""Hearts"")])}",13
14,8,['Sophia'],['Callie Calls'],"AS, 7C, 7S, 6C, 7H","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""K"", ""Spades""), Card(""7"", ""Spades""), Card(""Q"", ""Clubs""), Card(""7"", ""Hearts"")]), 'Sophia': Hand([Card(""A"", ""Spades""), Card(""7"", ""Clubs""), Card(""7"", ""Spades""), Card(""6"", ""Clubs""), Card(""7"", ""Hearts"")])}",14
15,12,['Madi'],['Callie Calls'],"KS, 9H, KH, 9D, QS","{'Madi': Hand([Card(""K"", ""Spades""), Card(""9"", ""Hearts""), Card(""K"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""Q"", ""Spades"")]), 'Sophia': Hand([Card(""Q"", ""Clubs""), Card(""K"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""5"", ""Diamonds""), Card(""Q"", ""Spades"")])}",15
16,10,['Sophia'],['Callie Calls'],"7C, 7S, 7D, JC, 4H","{'Madi': Hand([Card(""8"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""J"", ""Clubs"")]), 'Sophia': Hand([Card(""7"", ""Clubs""), Card(""7"", ""Spades""), Card(""7"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""4"", ""Hearts"")])}",16
17,8,['Sophia'],['Callie Calls'],"6C, 10S, 10H, QC, 6D","{'Madi': Hand([Card(""9"", ""Spades""), Card(""10"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""7"", ""Hearts""), Card(""6"", ""Diamonds"")]), 'Sophia': Hand([Card(""6"", ""Clubs""), Card(""10"", ""Spades""), Card(""10"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""6"", ""Diamonds"")])}",17
18,12,['Madi'],['Callie Calls'],"10H, 8H, 7H, 4H, 3H","{'Madi': Hand([Card(""10"", ""Hearts""), Card(""8"", ""Hearts""), Card(""7"", ""Hearts""), Card(""4"", ""Hearts""), Card(""3"", ""Hearts"")]), 'Sophia': Hand([Card(""Q"", ""Clubs""), Card(""5"", ""Spades""), Card(""7"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""J"", ""Diamonds"")])}",18
19,10,['Madi'],['Callie Calls'],"JS, 9S, QS, 5S, 3S","{'Madi': Hand([Card(""J"", ""Spades""), Card(""9"", ""Spades""), Card(""Q"", ""Spades""), Card(""5"", ""Spades""), Card(""3"", ""Spades"")]), 'Sophia': Hand([Card(""8"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""7"", ""Hearts""), Card(""9"", ""Spades""), Card(""Q"", ""Spades"")])}",19
20,8,['Sophia'],['Callie Calls'],"QD, AD, AH, JC, KC","{'Madi': Hand([Card(""8"", ""Spades""), Card(""A"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""J"", ""Clubs""), Card(""K"", ""Clubs"")]), 'Sophia': Hand([Card(""Q"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""J"", ""Clubs""), Card(""K"", ""Clubs"")])}",20
21,24,['Sophia'],['Callie Calls'],"9S, AC, 9C, QC, 7S","{'Madi': Hand([Card(""K"", ""Spades""), Card(""J"", ""Hearts""), Card(""A"", ""Clubs""), Card(""9"", ""Clubs""), Card(""Q"", ""Clubs"")]), 'Sophia': Hand([Card(""9"", ""Spades""), Card(""A"", ""Clubs""), Card(""9"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""7"", ""Spades"")])}",21
22,20,['Sophia'],['Callie Calls'],"AD, 10S, KC, 10C, 9D","{'Madi': Hand([Card(""10"", ""Spades""), Card(""8"", ""Clubs""), Card(""K"", ""Clubs""), Card(""10"", ""Clubs""), Card(""9"", ""Diamonds"")]), 'Sophia': Hand([Card(""A"", ""Diamonds""), Card(""10"", ""Spades""), Card(""K"", ""Clubs""), Card(""10"", ""Clubs""), Card(""9"", ""Diamonds"")])}",22
23,16,['Madi'],['Callie Calls'],"AH, 7H, 3H, 4H, 2H","{'Madi': Hand([Card(""A"", ""Hearts""), Card(""7"", ""Hearts""), Card(""3"", ""Hearts""), Card(""4"", ""Hearts""), Card(""2"", ""Hearts"")]), 'Sophia': Hand([Card(""8"", ""Clubs""), Card(""J"", ""Clubs""), Card(""Q"", ""Spades""), Card(""4"", ""Hearts""), Card(""J"", ""Spades"")])}",23
24,24,['Madi'],['Callie Calls'],"KC, 8H, AC, AH, 8D","{'Madi': Hand([Card(""K"", ""Clubs""), Card(""8"", ""Hearts""), Card(""A"", ""Clubs""), Card(""A"", ""Hearts""), Card(""8"", ""Diamonds"")]), 'Sophia': Hand([Card(""6"", ""Clubs""), Card(""A"", ""Clubs""), Card(""A"", ""Hearts""), Card(""6"", ""Spades""), Card(""8"", ""Diamonds"")])}",24
