,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,475,['Sophia'],['Callie Calls'],"9D, KD, AC, 10S, KH","{'Cody': Hand([Card(""J"", ""Hearts""), Card(""6"", ""Hearts""), Card(""6"", ""Spades""), Card(""A"", ""Clubs""), Card(""K"", ""Hearts"")]), 'Madi': Hand([Card(""K"", ""Clubs""), Card(""6"", ""Spades""), Card(""A"", ""Clubs""), Card(""10"", ""Spades""), Card(""K"", ""Hearts"")]), 'Sophia': Hand([Card(""9"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""10"", ""Spades""), Card(""K"", ""Hearts"")])}",0
1,204,['Sophia'],['Callie Calls'],"JS, 7S, 7D, AC, 10S","{'Sophia': Hand([Card(""J"", ""Spades""), Card(""7"", ""Spades""), Card(""7"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""10"", ""Spades"")])}",1
2,69,['Steve'],['Robbie Random'],"5C, 5H, AS, JH, QS","{'Steve': Hand([Card(""5"", ""Clubs""), Card(""5"", ""Hearts""), Card(""A"", ""Spades""), Card(""J"", ""Hearts""), Card(""Q"", ""Spades"")]), 'Sophia': Hand([Card(""6"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""A"", ""Spades""), Card(""J"", ""Hearts""), Card(""Q"", ""Spades"")])}",2
3,55,['Sophia'],['Callie Calls'],"8D, 8S, JD, 10H, 10C","{'Sophia': Hand([Card(""8"", ""Diamonds""), Card(""8"", ""Spades""), Card(""J"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""10"", ""Clubs"")])}",3
4,144,['Sophia'],['Callie Calls'],"10D, QS, 8D, QC, JS","{'Sophia': Hand([Card(""10"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""8"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""J"", ""Spades"")])}",4
5,19,['Sophia'],['Callie Calls'],"QH, 4S, QC, 4C, JS","{'Sophia': Hand([Card(""Q"", ""Hearts""), Card(""4"", ""Spades""), Card(""Q"", ""Clubs""), Card(""4"", ""Clubs""), Card(""J"", ""Spades"")])}",5
6,9,['Sophia'],['Callie Calls'],"7C, QC, 7H, JH, KS","{'Sophia': Hand([Card(""7"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""7"", ""Hearts""), Card(""J"", ""Hearts""), Card(""K"", ""Spades"")])}",6
7,3,['Sophia'],['Callie Calls'],"5H, JC, 7S, 9S, QC","{'Sophia': Hand([Card(""5"", ""Hearts""), Card(""J"", ""Clubs""), Card(""7"", ""Spades""), Card(""9"", ""Spades""), Card(""Q"", ""Clubs"")])}",7
8,3,['Sophia'],['Callie Calls'],"9C, 9S, QH, 8D, KS","{'Sophia': Hand([Card(""9"", ""Clubs""), Card(""9"", ""Spades""), Card(""Q"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""K"", ""Spades"")])}",8
9,3,['Sophia'],['Callie Calls'],"AH, QH, 4S, 4H, 8C","{'Sophia': Hand([Card(""A"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""4"", ""Spades""), Card(""4"", ""Hearts""), Card(""8"", ""Clubs"")])}",9
10,3,['Sophia'],['Callie Calls'],"JC, 6H, QS, AC, 8S","{'Sophia': Hand([Card(""J"", ""Clubs""), Card(""6"", ""Hearts""), Card(""Q"", ""Spades""), Card(""A"", ""Clubs""), Card(""8"", ""Spades"")])}",10
11,6,['Sophia'],['Callie Calls'],"7D, 4S, 6S, 8D, 5C","{'Sophia': Hand([Card(""7"", ""Diamonds""), Card(""4"", ""Spades""), Card(""6"", ""Spades""), Card(""8"", ""Diamonds""), Card(""5"", ""Clubs"")])}",11
12,6,['Sophia'],['Callie Calls'],"AD, 3H, AS, 3D, AH","{'Sophia': Hand([Card(""A"", ""Diamonds""), Card(""3"", ""Hearts""), Card(""A"", ""Spades""), Card(""3"", ""Diamonds""), Card(""A"", ""Hearts"")])}",12
13,6,['Sophia'],['Callie Calls'],"QD, AC, QS, AS, 7D","{'Sophia': Hand([Card(""Q"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""Q"", ""Spades""), Card(""A"", ""Spades""), Card(""7"", ""Diamonds"")])}",13
14,6,['Sophia'],['Callie Calls'],"JD, 7D, 9S, 4D, QS","{'Sophia': Hand([Card(""J"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""9"", ""Spades""), Card(""4"", ""Diamonds""), Card(""Q"", ""Spades"")])}",14
15,6,['Sophia'],['Callie Calls'],"10H, KC, 10C, 10D, KD","{'Sophia': Hand([Card(""10"", ""Hearts""), Card(""K"", ""Clubs""), Card(""10"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""K"", ""Diamonds"")])}",15
