,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,603,['Michelle'],['Robbie Random'],"QS, QD, 7D, 7C, AD","{'Madi': Hand([Card(""K"", ""Spades""), Card(""A"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""A"", ""Diamonds"")]), 'Michelle': Hand([Card(""Q"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""A"", ""Diamonds"")]), 'Sophia': Hand([Card(""K"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""A"", ""Diamonds"")])}",0
1,390,['Michelle'],['Robbie Random'],"QH, JH, 8C, JC, KS","{'Michelle': Hand([Card(""Q"", ""Hearts""), Card(""J"", ""Hearts""), Card(""8"", ""Clubs""), Card(""J"", ""Clubs""), Card(""K"", ""Spades"")])}",1
2,30,['Michelle'],['Robbie Random'],"7S, 6S, 8D, 10D, JC","{'Michelle': Hand([Card(""7"", ""Spades""), Card(""6"", ""Spades""), Card(""8"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""J"", ""Clubs"")])}",2
3,15,['Michelle'],['Robbie Random'],"KH, JH, 3S, 3H, AD","{'Michelle': Hand([Card(""K"", ""Hearts""), Card(""J"", ""Hearts""), Card(""3"", ""Spades""), Card(""3"", ""Hearts""), Card(""A"", ""Diamonds"")])}",3
4,7,['Beezie'],['Ricky Raise'],"6S, 6D, KC, 6H, 8H","{'Beezie': Hand([Card(""6"", ""Spades""), Card(""6"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""6"", ""Hearts""), Card(""8"", ""Hearts"")])}",4
5,3,['Beezie'],['Ricky Raise'],"2D, KH, JC, 2S, 8S","{'Beezie': Hand([Card(""2"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""J"", ""Clubs""), Card(""2"", ""Spades""), Card(""8"", ""Spades"")])}",5
6,389,['Michelle'],['Robbie Random'],"KH, 10H, AD, JD, 10D","{'Michelle': Hand([Card(""K"", ""Hearts""), Card(""10"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""10"", ""Diamonds"")])}",6
7,89,['Michelle'],['Robbie Random'],"6D, AH, QH, 8D, 6C","{'Michelle': Hand([Card(""6"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""6"", ""Clubs"")])}",7
8,9,['Michelle'],['Robbie Random'],"7H, JS, 5C, JH, KD","{'Michelle': Hand([Card(""7"", ""Hearts""), Card(""J"", ""Spades""), Card(""5"", ""Clubs""), Card(""J"", ""Hearts""), Card(""K"", ""Diamonds"")])}",8
9,3,['Michelle'],['Robbie Random'],"4C, 4H, 10S, 6H, QC","{'Michelle': Hand([Card(""4"", ""Clubs""), Card(""4"", ""Hearts""), Card(""10"", ""Spades""), Card(""6"", ""Hearts""), Card(""Q"", ""Clubs"")])}",9
10,3,['Michelle'],['Robbie Random'],"5C, 6D, QH, QC, 5D","{'Michelle': Hand([Card(""5"", ""Clubs""), Card(""6"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""5"", ""Diamonds"")])}",10
11,6,['Michelle'],['Robbie Random'],"9C, 5D, 7S, QD, 9D","{'Michelle': Hand([Card(""9"", ""Clubs""), Card(""5"", ""Diamonds""), Card(""7"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""9"", ""Diamonds"")])}",11
12,6,['Bob'],['Floyd Folds'],"JH, 10D, 8C, 9D, 7S","{'Bob': Hand([Card(""J"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""7"", ""Spades"")])}",12
13,6,['Michelle'],['Robbie Random'],"7D, 10S, 5C, 7H, 10C","{'Michelle': Hand([Card(""7"", ""Diamonds""), Card(""10"", ""Spades""), Card(""5"", ""Clubs""), Card(""7"", ""Hearts""), Card(""10"", ""Clubs"")])}",13
14,317,['Michelle'],['Robbie Random'],"5S, 7H, AH, 6S, JH","{'Michelle': Hand([Card(""5"", ""Spades""), Card(""7"", ""Hearts""), Card(""A"", ""Hearts""), Card(""6"", ""Spades""), Card(""J"", ""Hearts"")])}",14
15,6,['Michelle'],['Robbie Random'],"KD, 4C, KH, QD, KC","{'Michelle': Hand([Card(""K"", ""Diamonds""), Card(""4"", ""Clubs""), Card(""K"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""K"", ""Clubs"")])}",15
