,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,510,['Madi'],['Callie Calls'],"5C, QC, 5S, KD, 10C","{'Madi': Hand([Card(""5"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""5"", ""Spades""), Card(""K"", ""Diamonds""), Card(""10"", ""Clubs"")]), 'Steve': Hand([Card(""6"", ""Diamonds""), Card(""5"", ""Spades""), Card(""K"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""10"", ""Clubs"")]), 'Sophia': Hand([Card(""9"", ""Clubs""), Card(""5"", ""Spades""), Card(""K"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""10"", ""Clubs"")])}",0
1,131,['Madi'],['Callie Calls'],"10C, 10H, 9D, 8H, QC","{'Madi': Hand([Card(""10"", ""Clubs""), Card(""10"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""Q"", ""Clubs"")])}",1
2,39,['Madi'],['Callie Calls'],"8H, AC, 10C, 9C, 10H","{'Madi': Hand([Card(""8"", ""Hearts""), Card(""A"", ""Clubs""), Card(""10"", ""Clubs""), Card(""9"", ""Clubs""), Card(""10"", ""Hearts"")])}",2
3,16,['Madi'],['Callie Calls'],"KS, 8H, 6C, JH, 10H","{'Madi': Hand([Card(""K"", ""Spades""), Card(""8"", ""Hearts""), Card(""6"", ""Clubs""), Card(""J"", ""Hearts""), Card(""10"", ""Hearts"")])}",3
4,29,['Madi'],['Callie Calls'],"KD, 7H, 10S, 4C, 5H","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""7"", ""Hearts""), Card(""10"", ""Spades""), Card(""4"", ""Clubs""), Card(""5"", ""Hearts"")])}",4
5,4,['Madi'],['Callie Calls'],"3D, 4D, 6D, 7D, 5S","{'Madi': Hand([Card(""3"", ""Diamonds""), Card(""4"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""5"", ""Spades"")])}",5
6,4,['Madi'],['Callie Calls'],"KH, 9H, 3S, KS, 3C","{'Madi': Hand([Card(""K"", ""Hearts""), Card(""9"", ""Hearts""), Card(""3"", ""Spades""), Card(""K"", ""Spades""), Card(""3"", ""Clubs"")])}",6
7,5,['Madi'],['Callie Calls'],"5C, JS, 5D, 10H, 10S","{'Madi': Hand([Card(""5"", ""Clubs""), Card(""J"", ""Spades""), Card(""5"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""10"", ""Spades"")])}",7
8,130,['Madi'],['Callie Calls'],"5S, 10S, KD, JH, 5H","{'Cody': Hand([Card(""6"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""7"", ""Clubs""), Card(""8"", ""Diamonds"")]), 'Madi': Hand([Card(""5"", ""Spades""), Card(""10"", ""Spades""), Card(""K"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""5"", ""Hearts"")])}",8
9,10,['Madi'],['Callie Calls'],"9S, JD, 10C, KH, KS","{'Madi': Hand([Card(""9"", ""Spades""), Card(""J"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""K"", ""Hearts""), Card(""K"", ""Spades"")])}",9
10,21,['Madi'],['Callie Calls'],"AS, QS, 9S, 7H, 5D","{'Cody': Hand([Card(""K"", ""Diamonds""), Card(""10"", ""Spades""), Card(""9"", ""Spades""), Card(""7"", ""Hearts""), Card(""5"", ""Diamonds"")]), 'Madi': Hand([Card(""A"", ""Spades""), Card(""Q"", ""Spades""), Card(""9"", ""Spades""), Card(""7"", ""Hearts""), Card(""5"", ""Diamonds"")])}",10
11,6,['Madi'],['Callie Calls'],"3S, 3D, 8C, 8S, AS","{'Madi': Hand([Card(""3"", ""Spades""), Card(""3"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""8"", ""Spades""), Card(""A"", ""Spades"")])}",11
