,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,402,['Sophia'],['Callie Calls'],"JH, 3D, 3S, 8S, KD","{'Madi': Hand([Card(""A"", ""Spades""), Card(""5"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""8"", ""Spades""), Card(""K"", ""Diamonds"")]), 'Sophia': Hand([Card(""J"", ""Hearts""), Card(""3"", ""Diamonds""), Card(""3"", ""Spades""), Card(""8"", ""Spades""), Card(""K"", ""Diamonds"")])}",0
1,244,['Sophia'],['Callie Calls'],"9S, 6C, 8H, 6D, 9D","{'Sophia': Hand([Card(""9"", ""Spades""), Card(""6"", ""Clubs""), Card(""8"", ""Hearts""), Card(""6"", ""Diamonds""), Card(""9"", ""Diamonds"")])}",1
2,64,['Sophia'],['Callie Calls'],"JH, 8D, JS, KH, AS","{'Sophia': Hand([Card(""J"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""J"", ""Spades""), Card(""K"", ""Hearts""), Card(""A"", ""Spades"")])}",2
3,13,['Sophia'],['Callie Calls'],"KH, 3H, 3D, JS, JH","{'Sophia': Hand([Card(""K"", ""Hearts""), Card(""3"", ""Hearts""), Card(""3"", ""Diamonds""), Card(""J"", ""Spades""), Card(""J"", ""Hearts"")])}",3
4,4,['Sophia'],['Callie Calls'],"KH, 10S, 10D, AS, QH","{'Sophia': Hand([Card(""K"", ""Hearts""), Card(""10"", ""Spades""), Card(""10"", ""Diamonds""), Card(""A"", ""Spades""), Card(""Q"", ""Hearts"")])}",4
5,193,['Sophia'],['Callie Calls'],"AD, QH, 5S, 6H, AH","{'Sophia': Hand([Card(""A"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""5"", ""Spades""), Card(""6"", ""Hearts""), Card(""A"", ""Hearts"")])}",5
6,3,['Sophia'],['Callie Calls'],"4S, 10H, QD, 4D, 9S","{'Sophia': Hand([Card(""4"", ""Spades""), Card(""10"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""4"", ""Diamonds""), Card(""9"", ""Spades"")])}",6
7,3,['Sophia'],['Callie Calls'],"7D, 10D, KH, 8S, 7H","{'Sophia': Hand([Card(""7"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""8"", ""Spades""), Card(""7"", ""Hearts"")])}",7
8,3,['Sophia'],['Callie Calls'],"KH, 3C, 3H, 5H, 3D","{'Sophia': Hand([Card(""K"", ""Hearts""), Card(""3"", ""Clubs""), Card(""3"", ""Hearts""), Card(""5"", ""Hearts""), Card(""3"", ""Diamonds"")])}",8
9,3,['Sophia'],['Callie Calls'],"6S, KC, 7H, AH, KH","{'Sophia': Hand([Card(""6"", ""Spades""), Card(""K"", ""Clubs""), Card(""7"", ""Hearts""), Card(""A"", ""Hearts""), Card(""K"", ""Hearts"")])}",9
