,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,488,['Cody'],['Robbie Random'],"JS, AS, QC, JC, 9D","{'Cody': Hand([Card(""J"", ""Spades""), Card(""A"", ""Spades""), Card(""Q"", ""Clubs""), Card(""J"", ""Clubs""), Card(""9"", ""Diamonds"")]), 'Madi': Hand([Card(""5"", ""Diamonds""), Card(""5"", ""Clubs""), Card(""A"", ""Spades""), Card(""Q"", ""Clubs""), Card(""J"", ""Clubs"")]), 'Sophia': Hand([Card(""8"", ""Diamonds""), Card(""A"", ""Spades""), Card(""Q"", ""Clubs""), Card(""J"", ""Clubs""), Card(""9"", ""Diamonds"")])}",0
1,226,['Cody'],['Robbie Random'],"5D, KC, 5S, 5H, 10C","{'Cody': Hand([Card(""5"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""5"", ""Spades""), Card(""5"", ""Hearts""), Card(""10"", ""Clubs"")])}",1
2,673,['Steve'],['Robbie Random'],"7H, QD, 5C, 9H, 10C","{'Steve': Hand([Card(""7"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""5"", ""Clubs""), Card(""9"", ""Hearts""), Card(""10"", ""Clubs"")])}",2
3,190,['Steve'],['Robbie Random'],"8H, 5C, 8D, KH, 5H","{'Steve': Hand([Card(""8"", ""Hearts""), Card(""5"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""5"", ""Hearts"")])}",3
4,3,['Steve'],['Robbie Random'],"QC, 6H, 6S, AS, AD","{'Steve': Hand([Card(""Q"", ""Clubs""), Card(""6"", ""Hearts""), Card(""6"", ""Spades""), Card(""A"", ""Spades""), Card(""A"", ""Diamonds"")])}",4
5,4,['Steve'],['Robbie Random'],"AS, JS, JC, 6S, AC","{'Steve': Hand([Card(""A"", ""Spades""), Card(""J"", ""Spades""), Card(""J"", ""Clubs""), Card(""6"", ""Spades""), Card(""A"", ""Clubs"")])}",5
6,3,['Cody'],['Robbie Random'],"10D, 3H, 9H, 3C, 10H","{'Cody': Hand([Card(""10"", ""Diamonds""), Card(""3"", ""Hearts""), Card(""9"", ""Hearts""), Card(""3"", ""Clubs""), Card(""10"", ""Hearts"")])}",6
7,3,['Cody'],['Robbie Random'],"5S, 6H, 10S, 7C, 8H","{'Cody': Hand([Card(""5"", ""Spades""), Card(""6"", ""Hearts""), Card(""10"", ""Spades""), Card(""7"", ""Clubs""), Card(""8"", ""Hearts"")])}",7
8,10,['Cody'],['Robbie Random'],"4S, JD, KS, 4C, QH","{'Cody': Hand([Card(""4"", ""Spades""), Card(""J"", ""Diamonds""), Card(""K"", ""Spades""), Card(""4"", ""Clubs""), Card(""Q"", ""Hearts"")])}",8
9,3,['Cody'],['Robbie Random'],"JS, 9S, 7H, 10H, AH","{'Cody': Hand([Card(""J"", ""Spades""), Card(""9"", ""Spades""), Card(""7"", ""Hearts""), Card(""10"", ""Hearts""), Card(""A"", ""Hearts"")])}",9
10,26,['Cody'],['Robbie Random'],"9C, 7C, 10S, QC, 6C","{'Cody': Hand([Card(""9"", ""Clubs""), Card(""7"", ""Clubs""), Card(""10"", ""Spades""), Card(""Q"", ""Clubs""), Card(""6"", ""Clubs"")])}",10
11,6,['Bob'],['Floyd Folds'],"JS, KC, JD, 8H, 8S","{'Bob': Hand([Card(""J"", ""Spades""), Card(""K"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""8"", ""Spades"")])}",11
12,368,['Cody'],['Robbie Random'],"2H, 2C, 8S, 9S, QH","{'Cody': Hand([Card(""2"", ""Hearts""), Card(""2"", ""Clubs""), Card(""8"", ""Spades""), Card(""9"", ""Spades""), Card(""Q"", ""Hearts"")])}",12
13,6,['Steve'],['Robbie Random'],"JS, JC, AD, QC, 8H","{'Steve': Hand([Card(""J"", ""Spades""), Card(""J"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""8"", ""Hearts"")])}",13
14,238,['Steve'],['Robbie Random'],"4H, KC, AC, 4S, AH","{'Steve': Hand([Card(""4"", ""Hearts""), Card(""K"", ""Clubs""), Card(""A"", ""Clubs""), Card(""4"", ""Spades""), Card(""A"", ""Hearts"")])}",14
15,492,['Cody'],['Robbie Random'],"9H, 4H, 4C, 9D, AS","{'Cody': Hand([Card(""9"", ""Hearts""), Card(""4"", ""Hearts""), Card(""4"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""A"", ""Spades"")])}",15
16,10,['Steve'],['Robbie Random'],"9S, 9C, AD, KC, KH","{'Steve': Hand([Card(""9"", ""Spades""), Card(""9"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""K"", ""Hearts"")])}",16
17,190,['Steve'],['Robbie Random'],"7S, JD, 7H, KH, KD","{'Steve': Hand([Card(""7"", ""Spades""), Card(""J"", ""Diamonds""), Card(""7"", ""Hearts""), Card(""K"", ""Hearts""), Card(""K"", ""Diamonds"")])}",17
18,13,['Cody'],['Robbie Random'],"KS, 8H, JC, KC, 8C","{'Cody': Hand([Card(""K"", ""Spades""), Card(""8"", ""Hearts""), Card(""J"", ""Clubs""), Card(""K"", ""Clubs""), Card(""8"", ""Clubs"")])}",18
19,6,['Steve'],['Robbie Random'],"KH, AH, 5S, 5C, 10H","{'Steve': Hand([Card(""K"", ""Hearts""), Card(""A"", ""Hearts""), Card(""5"", ""Spades""), Card(""5"", ""Clubs""), Card(""10"", ""Hearts"")])}",19
20,6,['Bob'],['Floyd Folds'],"KS, AD, 7D, 5C, 5S","{'Bob': Hand([Card(""K"", ""Spades""), Card(""A"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""5"", ""Clubs""), Card(""5"", ""Spades"")])}",20
21,12,['Cody'],['Robbie Random'],"3D, 10H, AD, 3H, JD","{'Cody': Hand([Card(""3"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""3"", ""Hearts""), Card(""J"", ""Diamonds"")])}",21
22,20,['Steve'],['Robbie Random'],"KS, AD, 7S, 7C, QH","{'Steve': Hand([Card(""K"", ""Spades""), Card(""A"", ""Diamonds""), Card(""7"", ""Spades""), Card(""7"", ""Clubs""), Card(""Q"", ""Hearts"")])}",22
23,12,['Steve'],['Robbie Random'],"10C, QS, 10D, AH, 9C","{'Steve': Hand([Card(""10"", ""Clubs""), Card(""Q"", ""Spades""), Card(""10"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""9"", ""Clubs"")])}",23
24,12,['Cody'],['Robbie Random'],"4D, 7D, 6D, 2D, QD","{'Cody': Hand([Card(""4"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""2"", ""Diamonds""), Card(""Q"", ""Diamonds"")])}",24
25,735,['Cody'],['Robbie Random'],"JS, 9C, 9D, QC, JH","{'Cody': Hand([Card(""J"", ""Spades""), Card(""9"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""J"", ""Hearts"")])}",25
26,12,['Cody'],['Robbie Random'],"6S, 4D, 5D, 7D, 3H","{'Cody': Hand([Card(""6"", ""Spades""), Card(""4"", ""Diamonds""), Card(""5"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""3"", ""Hearts"")])}",26
27,40,['Cody'],['Robbie Random'],"AH, 7D, 9H, KS, 7C","{'Cody': Hand([Card(""A"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""K"", ""Spades""), Card(""7"", ""Clubs"")])}",27
28,12,['Cody'],['Robbie Random'],"8H, KC, 9H, 10D, QD","{'Cody': Hand([Card(""8"", ""Hearts""), Card(""K"", ""Clubs""), Card(""9"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""Q"", ""Diamonds"")])}",28
29,349,['Cody'],['Robbie Random'],"7S, 8D, AC, JD, KC","{'Cody': Hand([Card(""7"", ""Spades""), Card(""8"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""K"", ""Clubs"")])}",29
30,12,['Cody'],['Robbie Random'],"3S, 6H, 8H, QC, 3H","{'Cody': Hand([Card(""3"", ""Spades""), Card(""6"", ""Hearts""), Card(""8"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""3"", ""Hearts"")])}",30
31,24,['Cody'],['Robbie Random'],"7D, QD, QC, 7C, 6H","{'Cody': Hand([Card(""7"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""7"", ""Clubs""), Card(""6"", ""Hearts"")])}",31
32,24,['Cody'],['Robbie Random'],"KS, 10H, KD, QS, 8C","{'Cody': Hand([Card(""K"", ""Spades""), Card(""10"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""8"", ""Clubs"")])}",32
