,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,577,['Sophia'],['Callie Calls'],"5S, 5D, 3H, 10H, 3D","{'Madi': Hand([Card(""J"", ""Hearts""), Card(""4"", ""Diamonds""), Card(""4"", ""Clubs""), Card(""3"", ""Hearts""), Card(""3"", ""Diamonds"")]), 'Michelle': Hand([Card(""J"", ""Spades""), Card(""8"", ""Hearts""), Card(""3"", ""Hearts""), Card(""10"", ""Hearts""), Card(""3"", ""Diamonds"")]), 'Sophia': Hand([Card(""5"", ""Spades""), Card(""5"", ""Diamonds""), Card(""3"", ""Hearts""), Card(""10"", ""Hearts""), Card(""3"", ""Diamonds"")])}",0
1,157,['Sophia'],['Callie Calls'],"10H, JC, 9H, QD, 5D","{'Sophia': Hand([Card(""10"", ""Hearts""), Card(""J"", ""Clubs""), Card(""9"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""5"", ""Diamonds"")])}",1
2,67,['Sophia'],['Callie Calls'],"KS, 3S, 2S, 5S, 10S","{'Sophia': Hand([Card(""K"", ""Spades""), Card(""3"", ""Spades""), Card(""2"", ""Spades""), Card(""5"", ""Spades""), Card(""10"", ""Spades"")])}",2
3,4,['Sophia'],['Callie Calls'],"QC, AH, JD, QD, JH","{'Sophia': Hand([Card(""Q"", ""Clubs""), Card(""A"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""J"", ""Hearts"")])}",3
4,3,['Sophia'],['Callie Calls'],"6D, 5D, JH, 10C, 6S","{'Sophia': Hand([Card(""6"", ""Diamonds""), Card(""5"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""10"", ""Clubs""), Card(""6"", ""Spades"")])}",4
5,3,['Sophia'],['Callie Calls'],"3S, QD, QS, QH, 3D","{'Sophia': Hand([Card(""3"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""Q"", ""Hearts""), Card(""3"", ""Diamonds"")])}",5
6,3,['Sophia'],['Callie Calls'],"QH, AH, 8H, JH, 10C","{'Sophia': Hand([Card(""Q"", ""Hearts""), Card(""A"", ""Hearts""), Card(""8"", ""Hearts""), Card(""J"", ""Hearts""), Card(""10"", ""Clubs"")])}",6
7,3,['Sophia'],['Callie Calls'],"8S, 9D, QC, KS, 9S","{'Sophia': Hand([Card(""8"", ""Spades""), Card(""9"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""K"", ""Spades""), Card(""9"", ""Spades"")])}",7
8,3,['Sophia'],['Callie Calls'],"4C, 4H, 4S, AH, 9S","{'Sophia': Hand([Card(""4"", ""Clubs""), Card(""4"", ""Hearts""), Card(""4"", ""Spades""), Card(""A"", ""Hearts""), Card(""9"", ""Spades"")])}",8
9,3,['Sophia'],['Callie Calls'],"9H, 8H, KH, 8S, 10C","{'Sophia': Hand([Card(""9"", ""Hearts""), Card(""8"", ""Hearts""), Card(""K"", ""Hearts""), Card(""8"", ""Spades""), Card(""10"", ""Clubs"")])}",9
10,3,['Sophia'],['Callie Calls'],"KH, 9D, JH, 7S, 6D","{'Sophia': Hand([Card(""K"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""7"", ""Spades""), Card(""6"", ""Diamonds"")])}",10
11,6,['Sophia'],['Callie Calls'],"AS, JS, 9H, 9C, KD","{'Sophia': Hand([Card(""A"", ""Spades""), Card(""J"", ""Spades""), Card(""9"", ""Hearts""), Card(""9"", ""Clubs""), Card(""K"", ""Diamonds"")])}",11
12,6,['Sophia'],['Callie Calls'],"KD, QD, QC, 8D, 9S","{'Sophia': Hand([Card(""K"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""9"", ""Spades"")])}",12
13,6,['Sophia'],['Callie Calls'],"9C, KD, 7D, 4C, 8D","{'Sophia': Hand([Card(""9"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""4"", ""Clubs""), Card(""8"", ""Diamonds"")])}",13
14,6,['Sophia'],['Callie Calls'],"5S, 5C, 6S, 5H, QD","{'Sophia': Hand([Card(""5"", ""Spades""), Card(""5"", ""Clubs""), Card(""6"", ""Spades""), Card(""5"", ""Hearts""), Card(""Q"", ""Diamonds"")])}",14
15,6,['Sophia'],['Callie Calls'],"AS, 8D, QC, AC, QD","{'Sophia': Hand([Card(""A"", ""Spades""), Card(""8"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""A"", ""Clubs""), Card(""Q"", ""Diamonds"")])}",15
16,6,['Sophia'],['Callie Calls'],"7S, QS, 7C, QD, QC","{'Sophia': Hand([Card(""7"", ""Spades""), Card(""Q"", ""Spades""), Card(""7"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""Q"", ""Clubs"")])}",16
17,6,['Sophia'],['Callie Calls'],"QH, AC, 9S, AD, 9D","{'Sophia': Hand([Card(""Q"", ""Hearts""), Card(""A"", ""Clubs""), Card(""9"", ""Spades""), Card(""A"", ""Diamonds""), Card(""9"", ""Diamonds"")])}",17
18,6,['Sophia'],['Callie Calls'],"7C, 10C, 5C, KC, QC","{'Sophia': Hand([Card(""7"", ""Clubs""), Card(""10"", ""Clubs""), Card(""5"", ""Clubs""), Card(""K"", ""Clubs""), Card(""Q"", ""Clubs"")])}",18
19,6,['Sophia'],['Callie Calls'],"JC, 8C, 10C, KH, JH","{'Sophia': Hand([Card(""J"", ""Clubs""), Card(""8"", ""Clubs""), Card(""10"", ""Clubs""), Card(""K"", ""Hearts""), Card(""J"", ""Hearts"")])}",19
20,6,['Sophia'],['Callie Calls'],"KS, 10S, 9S, 7C, 8C","{'Sophia': Hand([Card(""K"", ""Spades""), Card(""10"", ""Spades""), Card(""9"", ""Spades""), Card(""7"", ""Clubs""), Card(""8"", ""Clubs"")])}",20
21,12,['Sophia'],['Callie Calls'],"10S, 4S, JS, KD, 4C","{'Sophia': Hand([Card(""10"", ""Spades""), Card(""4"", ""Spades""), Card(""J"", ""Spades""), Card(""K"", ""Diamonds""), Card(""4"", ""Clubs"")])}",21
22,12,['Sophia'],['Callie Calls'],"3D, 7D, 5C, 6S, 4S","{'Sophia': Hand([Card(""3"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""5"", ""Clubs""), Card(""6"", ""Spades""), Card(""4"", ""Spades"")])}",22
23,12,['Sophia'],['Callie Calls'],"3C, 4D, 3S, AH, 4H","{'Sophia': Hand([Card(""3"", ""Clubs""), Card(""4"", ""Diamonds""), Card(""3"", ""Spades""), Card(""A"", ""Hearts""), Card(""4"", ""Hearts"")])}",23
24,12,['Sophia'],['Callie Calls'],"8S, 7D, 10S, KS, QC","{'Sophia': Hand([Card(""8"", ""Spades""), Card(""7"", ""Diamonds""), Card(""10"", ""Spades""), Card(""K"", ""Spades""), Card(""Q"", ""Clubs"")])}",24
25,12,['Sophia'],['Callie Calls'],"8D, JS, 7H, QC, 9C","{'Sophia': Hand([Card(""8"", ""Diamonds""), Card(""J"", ""Spades""), Card(""7"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""9"", ""Clubs"")])}",25
26,12,['Sophia'],['Callie Calls'],"6H, AD, 6D, JS, QH","{'Sophia': Hand([Card(""6"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""J"", ""Spades""), Card(""Q"", ""Hearts"")])}",26
27,12,['Sophia'],['Callie Calls'],"AS, 7H, 9S, 8C, KD","{'Sophia': Hand([Card(""A"", ""Spades""), Card(""7"", ""Hearts""), Card(""9"", ""Spades""), Card(""8"", ""Clubs""), Card(""K"", ""Diamonds"")])}",27
28,12,['Sophia'],['Callie Calls'],"JS, AD, 7H, 9C, 8H","{'Sophia': Hand([Card(""J"", ""Spades""), Card(""A"", ""Diamonds""), Card(""7"", ""Hearts""), Card(""9"", ""Clubs""), Card(""8"", ""Hearts"")])}",28
