,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,565,['Madi'],['Callie Calls'],"KC, 8D, 9C, 8S, 9H","{'Madi': Hand([Card(""K"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""8"", ""Spades""), Card(""9"", ""Hearts"")]), 'Sophia': Hand([Card(""J"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""8"", ""Spades""), Card(""9"", ""Hearts"")])}",0
1,33,['Madi'],['Callie Calls'],"QH, 10S, 3D, 3S, 10C","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""10"", ""Spades""), Card(""3"", ""Diamonds""), Card(""3"", ""Spades""), Card(""10"", ""Clubs"")])}",1
2,15,['Madi'],['Callie Calls'],"10H, 5C, 7D, JD, AS","{'Madi': Hand([Card(""10"", ""Hearts""), Card(""5"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""A"", ""Spades"")])}",2
3,5,['Madi'],['Callie Calls'],"JS, 4S, KS, 4H, AH","{'Madi': Hand([Card(""J"", ""Spades""), Card(""4"", ""Spades""), Card(""K"", ""Spades""), Card(""4"", ""Hearts""), Card(""A"", ""Hearts"")])}",3
4,8,['Madi'],['Callie Calls'],"8S, JC, 7D, 10H, 7C","{'Madi': Hand([Card(""8"", ""Spades""), Card(""J"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""7"", ""Clubs"")])}",4
5,161,['Madi'],['Callie Calls'],"6C, KH, 4H, 9S, JD","{'Madi': Hand([Card(""6"", ""Clubs""), Card(""K"", ""Hearts""), Card(""4"", ""Hearts""), Card(""9"", ""Spades""), Card(""J"", ""Diamonds"")])}",5
6,8,['Madi'],['Callie Calls'],"JH, AH, JC, 6C, 6H","{'Madi': Hand([Card(""J"", ""Hearts""), Card(""A"", ""Hearts""), Card(""J"", ""Clubs""), Card(""6"", ""Clubs""), Card(""6"", ""Hearts"")])}",6
7,5,['Madi'],['Callie Calls'],"8H, 8S, JS, 6H, 7D","{'Madi': Hand([Card(""8"", ""Hearts""), Card(""8"", ""Spades""), Card(""J"", ""Spades""), Card(""6"", ""Hearts""), Card(""7"", ""Diamonds"")])}",7
8,24,['Madi'],['Callie Calls'],"JS, 4H, AD, JC, 4D","{'Madi': Hand([Card(""J"", ""Spades""), Card(""4"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""4"", ""Diamonds"")])}",8
9,5,['Madi'],['Callie Calls'],"10H, 10D, 10S, KH, 6C","{'Madi': Hand([Card(""10"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""10"", ""Spades""), Card(""K"", ""Hearts""), Card(""6"", ""Clubs"")])}",9
10,3,['Madi'],['Callie Calls'],"JH, 9D, 9S, KS, 6C","{'Madi': Hand([Card(""J"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""9"", ""Spades""), Card(""K"", ""Spades""), Card(""6"", ""Clubs"")])}",10
11,6,['Madi'],['Callie Calls'],"10C, 3C, JC, AC, 9C","{'Madi': Hand([Card(""10"", ""Clubs""), Card(""3"", ""Clubs""), Card(""J"", ""Clubs""), Card(""A"", ""Clubs""), Card(""9"", ""Clubs"")])}",11
12,6,['Madi'],['Callie Calls'],"2H, 10H, 2S, 2D, 10D","{'Madi': Hand([Card(""2"", ""Hearts""), Card(""10"", ""Hearts""), Card(""2"", ""Spades""), Card(""2"", ""Diamonds""), Card(""10"", ""Diamonds"")])}",12
13,6,['Madi'],['Callie Calls'],"QH, QC, 2C, 9D, 2H","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""2"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""2"", ""Hearts"")])}",13
14,6,['Madi'],['Callie Calls'],"4H, 4C, JS, JC, JH","{'Madi': Hand([Card(""4"", ""Hearts""), Card(""4"", ""Clubs""), Card(""J"", ""Spades""), Card(""J"", ""Clubs""), Card(""J"", ""Hearts"")])}",14
15,6,['Madi'],['Callie Calls'],"AH, JH, KC, 10S, QD","{'Madi': Hand([Card(""A"", ""Hearts""), Card(""J"", ""Hearts""), Card(""K"", ""Clubs""), Card(""10"", ""Spades""), Card(""Q"", ""Diamonds"")])}",15
16,6,['Madi'],['Callie Calls'],"8D, 10H, JC, 8C, QD","{'Madi': Hand([Card(""8"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""J"", ""Clubs""), Card(""8"", ""Clubs""), Card(""Q"", ""Diamonds"")])}",16
17,6,['Madi'],['Callie Calls'],"QD, 7D, KD, JH, 8C","{'Madi': Hand([Card(""Q"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""8"", ""Clubs"")])}",17
18,6,['Madi'],['Callie Calls'],"7H, AC, QH, 6D, JH","{'Madi': Hand([Card(""7"", ""Hearts""), Card(""A"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""6"", ""Diamonds""), Card(""J"", ""Hearts"")])}",18
19,6,['Madi'],['Callie Calls'],"5H, KH, KC, 10H, 8S","{'Madi': Hand([Card(""5"", ""Hearts""), Card(""K"", ""Hearts""), Card(""K"", ""Clubs""), Card(""10"", ""Hearts""), Card(""8"", ""Spades"")])}",19
20,6,['Madi'],['Callie Calls'],"8H, 9S, QH, AS, 9C","{'Madi': Hand([Card(""8"", ""Hearts""), Card(""9"", ""Spades""), Card(""Q"", ""Hearts""), Card(""A"", ""Spades""), Card(""9"", ""Clubs"")])}",20
21,12,['Madi'],['Callie Calls'],"8C, 9S, AH, 8D, KH","{'Madi': Hand([Card(""8"", ""Clubs""), Card(""9"", ""Spades""), Card(""A"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""K"", ""Hearts"")])}",21
22,12,['Madi'],['Callie Calls'],"4S, KC, AH, AS, 6C","{'Madi': Hand([Card(""4"", ""Spades""), Card(""K"", ""Clubs""), Card(""A"", ""Hearts""), Card(""A"", ""Spades""), Card(""6"", ""Clubs"")])}",22
23,12,['Madi'],['Callie Calls'],"AC, 7S, KS, 10H, 8S","{'Madi': Hand([Card(""A"", ""Clubs""), Card(""7"", ""Spades""), Card(""K"", ""Spades""), Card(""10"", ""Hearts""), Card(""8"", ""Spades"")])}",23
24,12,['Madi'],['Callie Calls'],"4C, 7S, 5C, JH, QD","{'Madi': Hand([Card(""4"", ""Clubs""), Card(""7"", ""Spades""), Card(""5"", ""Clubs""), Card(""J"", ""Hearts""), Card(""Q"", ""Diamonds"")])}",24
25,12,['Madi'],['Callie Calls'],"6H, QC, QS, 7H, JD","{'Madi': Hand([Card(""6"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""Q"", ""Spades""), Card(""7"", ""Hearts""), Card(""J"", ""Diamonds"")])}",25
26,12,['Madi'],['Callie Calls'],"AC, 8S, 2H, 2C, KH","{'Madi': Hand([Card(""A"", ""Clubs""), Card(""8"", ""Spades""), Card(""2"", ""Hearts""), Card(""2"", ""Clubs""), Card(""K"", ""Hearts"")])}",26
27,12,['Madi'],['Callie Calls'],"8D, 8S, 2S, AH, 2H","{'Madi': Hand([Card(""8"", ""Diamonds""), Card(""8"", ""Spades""), Card(""2"", ""Spades""), Card(""A"", ""Hearts""), Card(""2"", ""Hearts"")])}",27
28,12,['Madi'],['Callie Calls'],"8C, 6C, AS, 10D, QD","{'Madi': Hand([Card(""8"", ""Clubs""), Card(""6"", ""Clubs""), Card(""A"", ""Spades""), Card(""10"", ""Diamonds""), Card(""Q"", ""Diamonds"")])}",28
29,12,['Madi'],['Callie Calls'],"QC, 2C, 4C, 6C, 5C","{'Madi': Hand([Card(""Q"", ""Clubs""), Card(""2"", ""Clubs""), Card(""4"", ""Clubs""), Card(""6"", ""Clubs""), Card(""5"", ""Clubs"")])}",29
