,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,413,['Sophia'],['Callie Calls'],"KD, KS, JD, 9H, 9D","{'Madi': Hand([Card(""2"", ""Spades""), Card(""2"", ""Hearts""), Card(""K"", ""Spades""), Card(""9"", ""Hearts""), Card(""9"", ""Diamonds"")]), 'Sophia': Hand([Card(""K"", ""Diamonds""), Card(""K"", ""Spades""), Card(""J"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""9"", ""Diamonds"")])}",0
1,126,['Steve'],['Robbie Random'],"10D, 5H, 5C, 4D, 4C","{'Madi': Hand([Card(""A"", ""Diamonds""), Card(""10"", ""Spades""), Card(""4"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""4"", ""Clubs"")]), 'Steve': Hand([Card(""10"", ""Diamonds""), Card(""5"", ""Hearts""), Card(""5"", ""Clubs""), Card(""4"", ""Diamonds""), Card(""4"", ""Clubs"")]), 'Sophia': Hand([Card(""J"", ""Spades""), Card(""10"", ""Spades""), Card(""4"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""4"", ""Clubs"")])}",1
2,72,['Sophia'],['Callie Calls'],"8H, QC, KS, 8C, QD","{'Sophia': Hand([Card(""8"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""K"", ""Spades""), Card(""8"", ""Clubs""), Card(""Q"", ""Diamonds"")])}",2
3,266,['Michelle'],['Robbie Random'],"6S, 6D, 6C, 10H, 10S","{'Michelle': Hand([Card(""6"", ""Spades""), Card(""6"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""10"", ""Hearts""), Card(""10"", ""Spades"")]), 'Steve': Hand([Card(""Q"", ""Hearts""), Card(""6"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""10"", ""Hearts""), Card(""10"", ""Spades"")]), 'Sophia': Hand([Card(""Q"", ""Clubs""), Card(""6"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""10"", ""Hearts""), Card(""10"", ""Spades"")])}",3
4,3,['Sophia'],['Callie Calls'],"5C, 5S, 9D, 8D, KD","{'Sophia': Hand([Card(""5"", ""Clubs""), Card(""5"", ""Spades""), Card(""9"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""K"", ""Diamonds"")])}",4
5,364,['Steve'],['Robbie Random'],"7H, 5D, 6S, 8H, 9C","{'Steve': Hand([Card(""7"", ""Hearts""), Card(""5"", ""Diamonds""), Card(""6"", ""Spades""), Card(""8"", ""Hearts""), Card(""9"", ""Clubs"")]), 'Sophia': Hand([Card(""9"", ""Diamonds""), Card(""4"", ""Clubs""), Card(""8"", ""Hearts""), Card(""9"", ""Clubs""), Card(""4"", ""Spades"")])}",5
6,12,['Cody'],['Robbie Random'],"JH, JC, 3S, 3H, JS","{'Cody': Hand([Card(""J"", ""Hearts""), Card(""J"", ""Clubs""), Card(""3"", ""Spades""), Card(""3"", ""Hearts""), Card(""J"", ""Spades"")]), 'Sophia': Hand([Card(""8"", ""Diamonds""), Card(""3"", ""Spades""), Card(""3"", ""Hearts""), Card(""8"", ""Clubs""), Card(""J"", ""Spades"")])}",6
7,243,['Michelle'],['Robbie Random'],"6D, 4C, 6H, 6C, 4H","{'Michelle': Hand([Card(""6"", ""Diamonds""), Card(""4"", ""Clubs""), Card(""6"", ""Hearts""), Card(""6"", ""Clubs""), Card(""4"", ""Hearts"")]), 'Sophia': Hand([Card(""7"", ""Hearts""), Card(""6"", ""Hearts""), Card(""6"", ""Clubs""), Card(""2"", ""Diamonds""), Card(""2"", ""Hearts"")])}",7
8,525,['Sophia'],['Callie Calls'],"10C, JD, 9C, AS, QS","{'Sophia': Hand([Card(""10"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""A"", ""Spades""), Card(""Q"", ""Spades"")])}",8
9,92,['Sophia'],['Callie Calls'],"4H, 2H, 5D, 6H, 3D","{'Sophia': Hand([Card(""4"", ""Hearts""), Card(""2"", ""Hearts""), Card(""5"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""3"", ""Diamonds"")])}",9
10,202,['Sophia'],['Callie Calls'],"JD, 9H, 9S, KS, 8C","{'Steve': Hand([Card(""5"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""9"", ""Spades""), Card(""K"", ""Spades""), Card(""8"", ""Clubs"")]), 'Sophia': Hand([Card(""J"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""9"", ""Spades""), Card(""K"", ""Spades""), Card(""8"", ""Clubs"")])}",10
11,53,['Sophia'],['Callie Calls'],"10D, JD, QH, AH, KD","{'Sophia': Hand([Card(""10"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""A"", ""Hearts""), Card(""K"", ""Diamonds"")])}",11
12,8,['Sophia'],['Callie Calls'],"10D, KD, QS, QH, KC","{'Sophia': Hand([Card(""10"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""Q"", ""Hearts""), Card(""K"", ""Clubs"")])}",12
13,6,['Sophia'],['Callie Calls'],"9C, 5S, QC, QS, JD","{'Sophia': Hand([Card(""9"", ""Clubs""), Card(""5"", ""Spades""), Card(""Q"", ""Clubs""), Card(""Q"", ""Spades""), Card(""J"", ""Diamonds"")])}",13
14,6,['Sophia'],['Callie Calls'],"10H, 8H, QD, AS, 6C","{'Sophia': Hand([Card(""10"", ""Hearts""), Card(""8"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""A"", ""Spades""), Card(""6"", ""Clubs"")])}",14
15,6,['Sophia'],['Callie Calls'],"10S, QC, AS, JC, JD","{'Sophia': Hand([Card(""10"", ""Spades""), Card(""Q"", ""Clubs""), Card(""A"", ""Spades""), Card(""J"", ""Clubs""), Card(""J"", ""Diamonds"")])}",15
16,6,['Sophia'],['Callie Calls'],"9C, KD, 9D, KH, JS","{'Sophia': Hand([Card(""9"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""J"", ""Spades"")])}",16
17,6,['Sophia'],['Callie Calls'],"7S, KH, AH, 6D, 8C","{'Sophia': Hand([Card(""7"", ""Spades""), Card(""K"", ""Hearts""), Card(""A"", ""Hearts""), Card(""6"", ""Diamonds""), Card(""8"", ""Clubs"")])}",17
18,6,['Sophia'],['Callie Calls'],"KC, 7C, QC, 6D, KS","{'Sophia': Hand([Card(""K"", ""Clubs""), Card(""7"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""6"", ""Diamonds""), Card(""K"", ""Spades"")])}",18
19,6,['Sophia'],['Callie Calls'],"10H, 8D, AS, 8S, 10D","{'Sophia': Hand([Card(""10"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""A"", ""Spades""), Card(""8"", ""Spades""), Card(""10"", ""Diamonds"")])}",19
20,6,['Sophia'],['Callie Calls'],"KS, JH, 4C, 10D, 4D","{'Sophia': Hand([Card(""K"", ""Spades""), Card(""J"", ""Hearts""), Card(""4"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""4"", ""Diamonds"")])}",20
21,12,['Sophia'],['Callie Calls'],"AH, 6C, 4D, 4C, 6S","{'Sophia': Hand([Card(""A"", ""Hearts""), Card(""6"", ""Clubs""), Card(""4"", ""Diamonds""), Card(""4"", ""Clubs""), Card(""6"", ""Spades"")])}",21
22,12,['Sophia'],['Callie Calls'],"JS, 10D, JD, 10C, AH","{'Sophia': Hand([Card(""J"", ""Spades""), Card(""10"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""A"", ""Hearts"")])}",22
23,12,['Sophia'],['Callie Calls'],"3D, JH, 3C, 9C, 9S","{'Sophia': Hand([Card(""3"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""3"", ""Clubs""), Card(""9"", ""Clubs""), Card(""9"", ""Spades"")])}",23
24,12,['Sophia'],['Callie Calls'],"JH, AS, AD, QH, 8C","{'Sophia': Hand([Card(""J"", ""Hearts""), Card(""A"", ""Spades""), Card(""A"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""8"", ""Clubs"")])}",24
25,12,['Sophia'],['Callie Calls'],"7H, 2H, 7D, 2S, 2C","{'Sophia': Hand([Card(""7"", ""Hearts""), Card(""2"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""2"", ""Spades""), Card(""2"", ""Clubs"")])}",25
26,12,['Sophia'],['Callie Calls'],"6D, 10C, 6H, 5S, QS","{'Sophia': Hand([Card(""6"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""6"", ""Hearts""), Card(""5"", ""Spades""), Card(""Q"", ""Spades"")])}",26
27,12,['Sophia'],['Callie Calls'],"KH, 5C, 10S, 8D, 10D","{'Sophia': Hand([Card(""K"", ""Hearts""), Card(""5"", ""Clubs""), Card(""10"", ""Spades""), Card(""8"", ""Diamonds""), Card(""10"", ""Diamonds"")])}",27
28,12,['Sophia'],['Callie Calls'],"8C, 7H, AD, 9S, KC","{'Sophia': Hand([Card(""8"", ""Clubs""), Card(""7"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""9"", ""Spades""), Card(""K"", ""Clubs"")])}",28
29,12,['Sophia'],['Callie Calls'],"7C, 9C, 10S, KC, QC","{'Sophia': Hand([Card(""7"", ""Clubs""), Card(""9"", ""Clubs""), Card(""10"", ""Spades""), Card(""K"", ""Clubs""), Card(""Q"", ""Clubs"")])}",29
30,12,['Sophia'],['Callie Calls'],"KD, 8D, 8C, 6S, 6H","{'Sophia': Hand([Card(""K"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""6"", ""Spades""), Card(""6"", ""Hearts"")])}",30
