,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,587,['Madi'],['Callie Calls'],"2C, 2H, AD, AH, 6C","{'Madi': Hand([Card(""2"", ""Clubs""), Card(""2"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""6"", ""Clubs"")]), 'Sophia': Hand([Card(""9"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""5"", ""Clubs""), Card(""A"", ""Hearts""), Card(""6"", ""Clubs"")])}",0
1,25,['Madi'],['Callie Calls'],"10D, AH, AS, 8S, AD","{'Madi': Hand([Card(""10"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""A"", ""Spades""), Card(""8"", ""Spades""), Card(""A"", ""Diamonds"")])}",1
2,5,['Madi'],['Callie Calls'],"JC, AC, QD, 4S, 4H","{'Madi': Hand([Card(""J"", ""Clubs""), Card(""A"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""4"", ""Spades""), Card(""4"", ""Hearts"")])}",2
3,4,['Madi'],['Callie Calls'],"2D, 8C, AC, 2H, 8H","{'Madi': Hand([Card(""2"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""A"", ""Clubs""), Card(""2"", ""Hearts""), Card(""8"", ""Hearts"")])}",3
4,5,['Madi'],['Callie Calls'],"AD, JS, 10S, 8C, JD","{'Madi': Hand([Card(""A"", ""Diamonds""), Card(""J"", ""Spades""), Card(""10"", ""Spades""), Card(""8"", ""Clubs""), Card(""J"", ""Diamonds"")])}",4
5,7,['Madi'],['Callie Calls'],"QD, JD, 8S, AH, AS","{'Madi': Hand([Card(""Q"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""8"", ""Spades""), Card(""A"", ""Hearts""), Card(""A"", ""Spades"")])}",5
6,4,['Madi'],['Callie Calls'],"QH, 2H, AD, 10C, 2S","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""2"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""2"", ""Spades"")])}",6
7,3,['Madi'],['Callie Calls'],"KS, JC, 5H, KH, 8H","{'Madi': Hand([Card(""K"", ""Spades""), Card(""J"", ""Clubs""), Card(""5"", ""Hearts""), Card(""K"", ""Hearts""), Card(""8"", ""Hearts"")])}",7
8,3,['Madi'],['Callie Calls'],"JC, QH, JH, 10H, 8D","{'Madi': Hand([Card(""J"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""J"", ""Hearts""), Card(""10"", ""Hearts""), Card(""8"", ""Diamonds"")])}",8
9,4,['Madi'],['Callie Calls'],"QD, 7H, 9D, 10S, AS","{'Madi': Hand([Card(""Q"", ""Diamonds""), Card(""7"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""10"", ""Spades""), Card(""A"", ""Spades"")])}",9
10,6,['Madi'],['Callie Calls'],"JS, 7H, 7D, AD, KH","{'Madi': Hand([Card(""J"", ""Spades""), Card(""7"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""K"", ""Hearts"")])}",10
11,34,['Steve'],['Robbie Random'],"QD, KD, 10D, 5D, 9D","{'Madi': Hand([Card(""6"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""5"", ""Diamonds""), Card(""9"", ""Diamonds"")]), 'Steve': Hand([Card(""Q"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""5"", ""Diamonds""), Card(""9"", ""Diamonds"")])}",11
12,88,['Madi'],['Callie Calls'],"8D, 5C, 4H, JS, 7D","{'Madi': Hand([Card(""8"", ""Diamonds""), Card(""5"", ""Clubs""), Card(""4"", ""Hearts""), Card(""J"", ""Spades""), Card(""7"", ""Diamonds"")])}",12
13,114,['Steve'],['Robbie Random'],"7S, 7D, 9D, QD, JS","{'Madi': Hand([Card(""5"", ""Clubs""), Card(""K"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""J"", ""Spades""), Card(""5"", ""Spades"")]), 'Steve': Hand([Card(""7"", ""Spades""), Card(""7"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""J"", ""Spades"")])}",13
14,146,['Madi'],['Callie Calls'],"9D, 6D, KD, JD, 2D","{'Madi': Hand([Card(""9"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""2"", ""Diamonds"")]), 'Steve': Hand([Card(""5"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""2"", ""Diamonds"")])}",14
15,74,['Madi'],['Callie Calls'],"QS, JH, 9C, KC, 8D","{'Madi': Hand([Card(""Q"", ""Spades""), Card(""J"", ""Hearts""), Card(""9"", ""Clubs""), Card(""K"", ""Clubs""), Card(""8"", ""Diamonds"")])}",15
16,24,['Madi'],['Callie Calls'],"KC, JS, QH, 10H, 9S","{'Madi': Hand([Card(""K"", ""Clubs""), Card(""J"", ""Spades""), Card(""Q"", ""Hearts""), Card(""10"", ""Hearts""), Card(""9"", ""Spades"")])}",16
17,6,['Madi'],['Callie Calls'],"KH, 9S, 10S, 7H, JH","{'Madi': Hand([Card(""K"", ""Hearts""), Card(""9"", ""Spades""), Card(""10"", ""Spades""), Card(""7"", ""Hearts""), Card(""J"", ""Hearts"")])}",17
18,6,['Madi'],['Callie Calls'],"KD, 2D, AC, 2C, KC","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""2"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""2"", ""Clubs""), Card(""K"", ""Clubs"")])}",18
19,6,['Madi'],['Callie Calls'],"7H, 5C, 8S, 6S, 4S","{'Madi': Hand([Card(""7"", ""Hearts""), Card(""5"", ""Clubs""), Card(""8"", ""Spades""), Card(""6"", ""Spades""), Card(""4"", ""Spades"")])}",19
20,6,['Madi'],['Callie Calls'],"JS, QC, 4S, QS, 4H","{'Madi': Hand([Card(""J"", ""Spades""), Card(""Q"", ""Clubs""), Card(""4"", ""Spades""), Card(""Q"", ""Spades""), Card(""4"", ""Hearts"")])}",20
21,12,['Madi'],['Callie Calls'],"QC, KC, 5C, 3C, 8C","{'Madi': Hand([Card(""Q"", ""Clubs""), Card(""K"", ""Clubs""), Card(""5"", ""Clubs""), Card(""3"", ""Clubs""), Card(""8"", ""Clubs"")])}",21
22,12,['Madi'],['Callie Calls'],"3C, 8D, JD, 3H, 9S","{'Madi': Hand([Card(""3"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""3"", ""Hearts""), Card(""9"", ""Spades"")])}",22
23,12,['Madi'],['Callie Calls'],"3D, JD, 3S, 9C, AD","{'Madi': Hand([Card(""3"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""3"", ""Spades""), Card(""9"", ""Clubs""), Card(""A"", ""Diamonds"")])}",23
