,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,451,['Madi'],['Callie Calls'],"4H, JD, JC, 4S, 4C","{'Madi': Hand([Card(""4"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""4"", ""Spades""), Card(""4"", ""Clubs"")]), 'Steve': Hand([Card(""10"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""4"", ""Spades""), Card(""4"", ""Clubs"")]), 'Sophia': Hand([Card(""10"", ""Spades""), Card(""J"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""4"", ""Spades""), Card(""4"", ""Clubs"")])}",0
1,299,['Madi'],['Callie Calls'],"7C, 5H, 7S, 5S, 10H","{'Cody': Hand([Card(""A"", ""Clubs""), Card(""8"", ""Spades""), Card(""5"", ""Hearts""), Card(""5"", ""Spades""), Card(""10"", ""Hearts"")]), 'Madi': Hand([Card(""7"", ""Clubs""), Card(""5"", ""Hearts""), Card(""7"", ""Spades""), Card(""5"", ""Spades""), Card(""10"", ""Hearts"")])}",1
2,62,['Michelle'],['Robbie Random'],"8D, 7S, 7D, 6S, AH","{'Madi': Hand([Card(""6"", ""Hearts""), Card(""8"", ""Spades""), Card(""7"", ""Diamonds""), Card(""6"", ""Spades""), Card(""A"", ""Hearts"")]), 'Michelle': Hand([Card(""8"", ""Diamonds""), Card(""7"", ""Spades""), Card(""7"", ""Diamonds""), Card(""6"", ""Spades""), Card(""A"", ""Hearts"")])}",2
3,106,['Madi'],['Callie Calls'],"AC, 9D, 7D, QD, JC","{'Madi': Hand([Card(""A"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""J"", ""Clubs"")])}",3
4,19,['Madi'],['Callie Calls'],"KD, 5S, 10C, AD, KC","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""5"", ""Spades""), Card(""10"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""K"", ""Clubs"")])}",4
5,4,['Madi'],['Callie Calls'],"AC, JS, QD, 8S, 10D","{'Madi': Hand([Card(""A"", ""Clubs""), Card(""J"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""8"", ""Spades""), Card(""10"", ""Diamonds"")])}",5
6,6,['Madi'],['Callie Calls'],"3D, 4S, 5C, 6C, 7C","{'Madi': Hand([Card(""3"", ""Diamonds""), Card(""4"", ""Spades""), Card(""5"", ""Clubs""), Card(""6"", ""Clubs""), Card(""7"", ""Clubs"")])}",6
7,5,['Madi'],['Callie Calls'],"9S, JS, KH, AH, QD","{'Madi': Hand([Card(""9"", ""Spades""), Card(""J"", ""Spades""), Card(""K"", ""Hearts""), Card(""A"", ""Hearts""), Card(""Q"", ""Diamonds"")])}",7
8,4,['Madi'],['Callie Calls'],"6D, 9S, JS, KS, AC","{'Madi': Hand([Card(""6"", ""Diamonds""), Card(""9"", ""Spades""), Card(""J"", ""Spades""), Card(""K"", ""Spades""), Card(""A"", ""Clubs"")])}",8
9,6,['Madi'],['Callie Calls'],"JS, QS, 6H, 6C, QD","{'Madi': Hand([Card(""J"", ""Spades""), Card(""Q"", ""Spades""), Card(""6"", ""Hearts""), Card(""6"", ""Clubs""), Card(""Q"", ""Diamonds"")])}",9
10,17,['Madi'],['Callie Calls'],"8D, KC, 6D, 9S, 6S","{'Madi': Hand([Card(""8"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""6"", ""Diamonds""), Card(""9"", ""Spades""), Card(""6"", ""Spades"")])}",10
11,6,['Madi'],['Callie Calls'],"3C, 3S, KD, AH, JH","{'Madi': Hand([Card(""3"", ""Clubs""), Card(""3"", ""Spades""), Card(""K"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""J"", ""Hearts"")])}",11
12,6,['Madi'],['Callie Calls'],"5D, 6D, 8S, 10C, JC","{'Madi': Hand([Card(""5"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""8"", ""Spades""), Card(""10"", ""Clubs""), Card(""J"", ""Clubs"")])}",12
13,6,['Madi'],['Callie Calls'],"7S, 10C, 4H, 8H, 4C","{'Madi': Hand([Card(""7"", ""Spades""), Card(""10"", ""Clubs""), Card(""4"", ""Hearts""), Card(""8"", ""Hearts""), Card(""4"", ""Clubs"")])}",13
14,6,['Madi'],['Callie Calls'],"2H, 10D, 2C, JD, 10C","{'Madi': Hand([Card(""2"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""2"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""10"", ""Clubs"")])}",14
15,6,['Madi'],['Callie Calls'],"2D, JD, 8D, 9D, 5D","{'Madi': Hand([Card(""2"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""5"", ""Diamonds"")])}",15
16,6,['Madi'],['Callie Calls'],"8D, JC, 9C, KD, KC","{'Madi': Hand([Card(""8"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""9"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""K"", ""Clubs"")])}",16
17,6,['Madi'],['Callie Calls'],"JS, JD, 9H, 10D, 9S","{'Madi': Hand([Card(""J"", ""Spades""), Card(""J"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""9"", ""Spades"")])}",17
18,6,['Madi'],['Callie Calls'],"9D, 10H, 6D, 10D, QS","{'Madi': Hand([Card(""9"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""6"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""Q"", ""Spades"")])}",18
19,6,['Madi'],['Callie Calls'],"10H, 4H, 4D, JD, KC","{'Madi': Hand([Card(""10"", ""Hearts""), Card(""4"", ""Hearts""), Card(""4"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""K"", ""Clubs"")])}",19
20,6,['Madi'],['Callie Calls'],"10H, QD, 8S, 7S, 8D","{'Madi': Hand([Card(""10"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""8"", ""Spades""), Card(""7"", ""Spades""), Card(""8"", ""Diamonds"")])}",20
21,12,['Madi'],['Callie Calls'],"4S, AH, 4H, JC, JD","{'Madi': Hand([Card(""4"", ""Spades""), Card(""A"", ""Hearts""), Card(""4"", ""Hearts""), Card(""J"", ""Clubs""), Card(""J"", ""Diamonds"")])}",21
22,12,['Madi'],['Callie Calls'],"QS, JC, JS, AS, 10D","{'Madi': Hand([Card(""Q"", ""Spades""), Card(""J"", ""Clubs""), Card(""J"", ""Spades""), Card(""A"", ""Spades""), Card(""10"", ""Diamonds"")])}",22
23,12,['Madi'],['Callie Calls'],"8H, 9C, 5D, JC, 10H","{'Madi': Hand([Card(""8"", ""Hearts""), Card(""9"", ""Clubs""), Card(""5"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""10"", ""Hearts"")])}",23
24,12,['Madi'],['Callie Calls'],"10C, 9H, 8D, QH, 9D","{'Madi': Hand([Card(""10"", ""Clubs""), Card(""9"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""9"", ""Diamonds"")])}",24
25,12,['Madi'],['Callie Calls'],"7S, KS, 8C, 8D, 7H","{'Madi': Hand([Card(""7"", ""Spades""), Card(""K"", ""Spades""), Card(""8"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""7"", ""Hearts"")])}",25
26,12,['Madi'],['Callie Calls'],"10D, 5H, 8D, 9D, 5S","{'Madi': Hand([Card(""10"", ""Diamonds""), Card(""5"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""5"", ""Spades"")])}",26
27,12,['Madi'],['Callie Calls'],"QH, 7H, 2D, JC, 2H","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""7"", ""Hearts""), Card(""2"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""2"", ""Hearts"")])}",27
28,12,['Madi'],['Callie Calls'],"5H, 9C, 8C, 10D, 6S","{'Madi': Hand([Card(""5"", ""Hearts""), Card(""9"", ""Clubs""), Card(""8"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""6"", ""Spades"")])}",28
29,12,['Madi'],['Callie Calls'],"10H, QH, 9D, JS, KD","{'Madi': Hand([Card(""10"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""J"", ""Spades""), Card(""K"", ""Diamonds"")])}",29
