,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,464,"['Madi', 'Sophia']","['Callie Calls', 'Callie Calls']","JC, KH, AH, QD, QS","{'Madi': Hand([Card(""J"", ""Clubs""), Card(""K"", ""Hearts""), Card(""A"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""Q"", ""Spades"")]), 'Michelle': Hand([Card(""6"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""A"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""Q"", ""Spades"")]), 'Sophia': Hand([Card(""J"", ""Hearts""), Card(""K"", ""Hearts""), Card(""A"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""Q"", ""Spades"")])}",0
1,213,['Sophia'],['Callie Calls'],"9D, 9S, 4S, KC, 6D","{'Madi': Hand([Card(""A"", ""Diamonds""), Card(""J"", ""Spades""), Card(""9"", ""Spades""), Card(""K"", ""Clubs""), Card(""6"", ""Diamonds"")]), 'Sophia': Hand([Card(""9"", ""Diamonds""), Card(""9"", ""Spades""), Card(""4"", ""Spades""), Card(""K"", ""Clubs""), Card(""6"", ""Diamonds"")])}",1
2,213,['Madi'],['Callie Calls'],"JD, 10D, QH, KS, AH","{'Madi': Hand([Card(""J"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""K"", ""Spades""), Card(""A"", ""Hearts"")]), 'Sophia': Hand([Card(""A"", ""Clubs""), Card(""2"", ""Diamonds""), Card(""2"", ""Hearts""), Card(""K"", ""Spades""), Card(""A"", ""Hearts"")])}",2
3,52,['Sophia'],['Callie Calls'],"AH, 9C, KD, AD, 9H","{'Madi': Hand([Card(""9"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""8"", ""Diamonds"")]), 'Sophia': Hand([Card(""A"", ""Hearts""), Card(""9"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""9"", ""Hearts"")])}",3
4,62,['Madi'],['Callie Calls'],"3D, 5D, 4H, 6H, 2D","{'Madi': Hand([Card(""3"", ""Diamonds""), Card(""5"", ""Diamonds""), Card(""4"", ""Hearts""), Card(""6"", ""Hearts""), Card(""2"", ""Diamonds"")]), 'Sophia': Hand([Card(""A"", ""Diamonds""), Card(""2"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""2"", ""Diamonds"")])}",4
5,7,['Madi'],['Callie Calls'],"10C, JC, 10H, JD, 9H","{'Madi': Hand([Card(""10"", ""Clubs""), Card(""J"", ""Clubs""), Card(""10"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""9"", ""Hearts"")]), 'Sophia': Hand([Card(""2"", ""Hearts""), Card(""2"", ""Clubs""), Card(""10"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""9"", ""Hearts"")])}",5
6,5,['Sophia'],['Callie Calls'],"KD, JD, KH, AS, 10S","{'Madi': Hand([Card(""7"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""A"", ""Spades"")]), 'Sophia': Hand([Card(""K"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""A"", ""Spades""), Card(""10"", ""Spades"")])}",6
7,45,['Cody'],['Robbie Random'],"2C, KH, 6D, 2D, 2H","{'Cody': Hand([Card(""2"", ""Clubs""), Card(""K"", ""Hearts""), Card(""6"", ""Diamonds""), Card(""2"", ""Diamonds""), Card(""2"", ""Hearts"")]), 'Madi': Hand([Card(""6"", ""Clubs""), Card(""K"", ""Hearts""), Card(""6"", ""Diamonds""), Card(""2"", ""Diamonds""), Card(""2"", ""Hearts"")]), 'Sophia': Hand([Card(""8"", ""Hearts""), Card(""J"", ""Spades""), Card(""K"", ""Hearts""), Card(""2"", ""Diamonds""), Card(""2"", ""Hearts"")])}",7
8,104,['Sophia'],['Callie Calls'],"7C, 6D, QH, 7H, 4C","{'Cody': Hand([Card(""J"", ""Spades""), Card(""4"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""7"", ""Hearts""), Card(""4"", ""Clubs"")]), 'Madi': Hand([Card(""A"", ""Spades""), Card(""3"", ""Spades""), Card(""3"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""7"", ""Hearts"")]), 'Sophia': Hand([Card(""7"", ""Clubs""), Card(""6"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""7"", ""Hearts""), Card(""4"", ""Clubs"")])}",8
9,24,['Sophia'],['Callie Calls'],"4S, KC, JH, 4D, QH","{'Cody': Hand([Card(""J"", ""Hearts""), Card(""4"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""5"", ""Spades"")]), 'Madi': Hand([Card(""4"", ""Clubs""), Card(""J"", ""Hearts""), Card(""4"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""Q"", ""Hearts"")]), 'Sophia': Hand([Card(""4"", ""Spades""), Card(""K"", ""Clubs""), Card(""J"", ""Hearts""), Card(""4"", ""Diamonds""), Card(""Q"", ""Hearts"")])}",9
