,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,566,['Sophia'],['Callie Calls'],"9C, 8H, KD, 10S, 10H","{'Madi': Hand([Card(""7"", ""Hearts""), Card(""8"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""10"", ""Spades""), Card(""10"", ""Hearts"")]), 'Sophia': Hand([Card(""9"", ""Clubs""), Card(""8"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""10"", ""Spades""), Card(""10"", ""Hearts"")])}",0
1,219,['Sophia'],['Callie Calls'],"8H, KH, 8C, 9D, 9C","{'Cody': Hand([Card(""8"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""10"", ""Hearts""), Card(""Q"", ""Diamonds"")]), 'Sophia': Hand([Card(""8"", ""Hearts""), Card(""K"", ""Hearts""), Card(""8"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""9"", ""Clubs"")])}",1
2,19,['Sophia'],['Callie Calls'],"4S, 8S, 5D, 7D, 6D","{'Sophia': Hand([Card(""4"", ""Spades""), Card(""8"", ""Spades""), Card(""5"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""6"", ""Diamonds"")])}",2
3,4,['Sophia'],['Callie Calls'],"KH, 7C, QS, 10D, 7H","{'Sophia': Hand([Card(""K"", ""Hearts""), Card(""7"", ""Clubs""), Card(""Q"", ""Spades""), Card(""10"", ""Diamonds""), Card(""7"", ""Hearts"")])}",3
4,5,['Sophia'],['Callie Calls'],"10S, 9S, 7H, 10D, AH","{'Sophia': Hand([Card(""10"", ""Spades""), Card(""9"", ""Spades""), Card(""7"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""A"", ""Hearts"")])}",4
5,3,['Sophia'],['Callie Calls'],"6C, 7C, QD, AC, 7H","{'Sophia': Hand([Card(""6"", ""Clubs""), Card(""7"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""7"", ""Hearts"")])}",5
6,3,['Sophia'],['Callie Calls'],"8H, JD, QD, JH, 9D","{'Sophia': Hand([Card(""8"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""9"", ""Diamonds"")])}",6
7,3,['Sophia'],['Callie Calls'],"JS, 5S, QD, AH, 5H","{'Sophia': Hand([Card(""J"", ""Spades""), Card(""5"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""5"", ""Hearts"")])}",7
8,3,['Sophia'],['Callie Calls'],"2H, AH, KH, JS, 2S","{'Sophia': Hand([Card(""2"", ""Hearts""), Card(""A"", ""Hearts""), Card(""K"", ""Hearts""), Card(""J"", ""Spades""), Card(""2"", ""Spades"")])}",8
9,3,['Sophia'],['Callie Calls'],"9D, 10D, KC, KH, QH","{'Sophia': Hand([Card(""9"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""K"", ""Hearts""), Card(""Q"", ""Hearts"")])}",9
10,3,['Sophia'],['Callie Calls'],"QD, 10H, 4D, 7S, 7D","{'Sophia': Hand([Card(""Q"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""4"", ""Diamonds""), Card(""7"", ""Spades""), Card(""7"", ""Diamonds"")])}",10
11,6,['Sophia'],['Callie Calls'],"6C, KS, 8C, KD, 7S","{'Sophia': Hand([Card(""6"", ""Clubs""), Card(""K"", ""Spades""), Card(""8"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""7"", ""Spades"")])}",11
12,6,['Sophia'],['Callie Calls'],"KC, QS, 9C, 8H, 9H","{'Sophia': Hand([Card(""K"", ""Clubs""), Card(""Q"", ""Spades""), Card(""9"", ""Clubs""), Card(""8"", ""Hearts""), Card(""9"", ""Hearts"")])}",12
13,6,['Sophia'],['Callie Calls'],"AD, 9D, 8C, KC, 10H","{'Sophia': Hand([Card(""A"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""K"", ""Clubs""), Card(""10"", ""Hearts"")])}",13
14,6,['Sophia'],['Callie Calls'],"7D, KS, 10H, QH, AS","{'Sophia': Hand([Card(""7"", ""Diamonds""), Card(""K"", ""Spades""), Card(""10"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""A"", ""Spades"")])}",14
15,6,['Sophia'],['Callie Calls'],"AS, 9S, 7S, AH, QC","{'Sophia': Hand([Card(""A"", ""Spades""), Card(""9"", ""Spades""), Card(""7"", ""Spades""), Card(""A"", ""Hearts""), Card(""Q"", ""Clubs"")])}",15
16,6,['Sophia'],['Callie Calls'],"9D, QD, 9S, KH, 7S","{'Sophia': Hand([Card(""9"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""9"", ""Spades""), Card(""K"", ""Hearts""), Card(""7"", ""Spades"")])}",16
17,6,['Sophia'],['Callie Calls'],"3C, 3H, 10C, 9C, KS","{'Sophia': Hand([Card(""3"", ""Clubs""), Card(""3"", ""Hearts""), Card(""10"", ""Clubs""), Card(""9"", ""Clubs""), Card(""K"", ""Spades"")])}",17
18,6,['Sophia'],['Callie Calls'],"8S, 6H, 6C, JD, 8H","{'Sophia': Hand([Card(""8"", ""Spades""), Card(""6"", ""Hearts""), Card(""6"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""8"", ""Hearts"")])}",18
19,6,['Sophia'],['Callie Calls'],"7C, 10D, 2H, AD, 2C","{'Sophia': Hand([Card(""7"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""2"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""2"", ""Clubs"")])}",19
20,6,['Sophia'],['Callie Calls'],"8S, JS, KC, 9H, 9C","{'Sophia': Hand([Card(""8"", ""Spades""), Card(""J"", ""Spades""), Card(""K"", ""Clubs""), Card(""9"", ""Hearts""), Card(""9"", ""Clubs"")])}",20
21,12,['Sophia'],['Callie Calls'],"KC, QD, 10D, QC, 10H","{'Sophia': Hand([Card(""K"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""10"", ""Hearts"")])}",21
22,12,['Sophia'],['Callie Calls'],"JS, AC, JD, JH, 6S","{'Sophia': Hand([Card(""J"", ""Spades""), Card(""A"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""6"", ""Spades"")])}",22
23,12,['Sophia'],['Callie Calls'],"9H, AD, JH, 9D, KS","{'Sophia': Hand([Card(""9"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""K"", ""Spades"")])}",23
24,12,['Sophia'],['Callie Calls'],"JC, QC, 4D, 4H, QD","{'Sophia': Hand([Card(""J"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""4"", ""Diamonds""), Card(""4"", ""Hearts""), Card(""Q"", ""Diamonds"")])}",24
25,12,['Sophia'],['Callie Calls'],"AS, 7S, 9H, 8H, 8C","{'Sophia': Hand([Card(""A"", ""Spades""), Card(""7"", ""Spades""), Card(""9"", ""Hearts""), Card(""8"", ""Hearts""), Card(""8"", ""Clubs"")])}",25
26,12,['Sophia'],['Callie Calls'],"7D, QD, 10H, 9H, QH","{'Sophia': Hand([Card(""7"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""9"", ""Hearts""), Card(""Q"", ""Hearts"")])}",26
27,12,['Sophia'],['Callie Calls'],"KC, 6S, 10D, QS, 7S","{'Sophia': Hand([Card(""K"", ""Clubs""), Card(""6"", ""Spades""), Card(""10"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""7"", ""Spades"")])}",27
28,12,['Sophia'],['Callie Calls'],"3S, 4C, 6H, 2S, 5S","{'Sophia': Hand([Card(""3"", ""Spades""), Card(""4"", ""Clubs""), Card(""6"", ""Hearts""), Card(""2"", ""Spades""), Card(""5"", ""Spades"")])}",28
