,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,510,['Cody'],['Robbie Random'],"KC, 7C, 9D, 10C, KS","{'Cody': Hand([Card(""K"", ""Clubs""), Card(""7"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""K"", ""Spades"")]), 'Madi': Hand([Card(""9"", ""Spades""), Card(""7"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""K"", ""Spades"")]), 'Sophia': Hand([Card(""Q"", ""Hearts""), Card(""7"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""K"", ""Spades"")])}",0
1,58,['Cody'],['Robbie Random'],"JC, 2S, 5S, 2D, 5D","{'Cody': Hand([Card(""J"", ""Clubs""), Card(""2"", ""Spades""), Card(""5"", ""Spades""), Card(""2"", ""Diamonds""), Card(""5"", ""Diamonds"")])}",1
2,27,['Steve'],['Robbie Random'],"KS, 7H, 10D, 10S, AD","{'Steve': Hand([Card(""K"", ""Spades""), Card(""7"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""10"", ""Spades""), Card(""A"", ""Diamonds"")])}",2
3,42,['Cody'],['Robbie Random'],"QS, 9H, 9D, KH, 8C","{'Cody': Hand([Card(""Q"", ""Spades""), Card(""9"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""8"", ""Clubs"")])}",3
4,332,['Steve'],['Robbie Random'],"9S, 9C, 8C, AS, 6H","{'Steve': Hand([Card(""9"", ""Spades""), Card(""9"", ""Clubs""), Card(""8"", ""Clubs""), Card(""A"", ""Spades""), Card(""6"", ""Hearts"")])}",4
5,351,['Cody'],['Robbie Random'],"10H, KD, JH, KS, 10D","{'Cody': Hand([Card(""10"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""K"", ""Spades""), Card(""10"", ""Diamonds"")])}",5
6,3,['Steve'],['Robbie Random'],"5D, 9C, AD, 5S, 10H","{'Steve': Hand([Card(""5"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""5"", ""Spades""), Card(""10"", ""Hearts"")])}",6
7,664,['Steve'],['Robbie Random'],"6D, 7C, 8D, KH, QC","{'Steve': Hand([Card(""6"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""Q"", ""Clubs"")])}",7
8,704,['Steve'],['Robbie Random'],"2D, 3S, QH, 2H, 3C","{'Cody': Hand([Card(""8"", ""Hearts""), Card(""5"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""6"", ""Diamonds"")]), 'Steve': Hand([Card(""2"", ""Diamonds""), Card(""3"", ""Spades""), Card(""Q"", ""Hearts""), Card(""2"", ""Hearts""), Card(""3"", ""Clubs"")])}",8
9,3,['Steve'],['Robbie Random'],"QD, 4C, 9H, 10D, 8H","{'Steve': Hand([Card(""Q"", ""Diamonds""), Card(""4"", ""Clubs""), Card(""9"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""8"", ""Hearts"")])}",9
10,3,['Steve'],['Robbie Random'],"9H, 5H, 2H, 3H, 10H","{'Steve': Hand([Card(""9"", ""Hearts""), Card(""5"", ""Hearts""), Card(""2"", ""Hearts""), Card(""3"", ""Hearts""), Card(""10"", ""Hearts"")])}",10
11,6,['Steve'],['Robbie Random'],"AH, 4C, QC, QS, AD","{'Steve': Hand([Card(""A"", ""Hearts""), Card(""4"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""Q"", ""Spades""), Card(""A"", ""Diamonds"")])}",11
12,6,['Bob'],['Floyd Folds'],"8H, KD, QC, AS, 8D","{'Bob': Hand([Card(""8"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""A"", ""Spades""), Card(""8"", ""Diamonds"")])}",12
13,6,['Steve'],['Robbie Random'],"10C, KC, 8S, AD, 8D","{'Steve': Hand([Card(""10"", ""Clubs""), Card(""K"", ""Clubs""), Card(""8"", ""Spades""), Card(""A"", ""Diamonds""), Card(""8"", ""Diamonds"")])}",13
14,6,['Bob'],['Floyd Folds'],"8C, AD, JD, 6D, 6H","{'Bob': Hand([Card(""8"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""6"", ""Hearts"")])}",14
15,6,['Steve'],['Robbie Random'],"KC, JH, 10S, JS, 6C","{'Steve': Hand([Card(""K"", ""Clubs""), Card(""J"", ""Hearts""), Card(""10"", ""Spades""), Card(""J"", ""Spades""), Card(""6"", ""Clubs"")])}",15
16,6,['Bob'],['Floyd Folds'],"8D, JS, 8H, KH, 10H","{'Bob': Hand([Card(""8"", ""Diamonds""), Card(""J"", ""Spades""), Card(""8"", ""Hearts""), Card(""K"", ""Hearts""), Card(""10"", ""Hearts"")])}",16
17,6,['Steve'],['Robbie Random'],"9D, JH, JS, 10H, AS","{'Steve': Hand([Card(""9"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""J"", ""Spades""), Card(""10"", ""Hearts""), Card(""A"", ""Spades"")])}",17
18,212,['Steve'],['Robbie Random'],"7C, AD, 9S, 10H, KD","{'Steve': Hand([Card(""7"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""9"", ""Spades""), Card(""10"", ""Hearts""), Card(""K"", ""Diamonds"")])}",18
19,6,['Steve'],['Robbie Random'],"KC, 10C, 9D, 2D, 2S","{'Steve': Hand([Card(""K"", ""Clubs""), Card(""10"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""2"", ""Diamonds""), Card(""2"", ""Spades"")])}",19
20,6,['Bob'],['Floyd Folds'],"KC, 8H, 5H, JH, 5C","{'Bob': Hand([Card(""K"", ""Clubs""), Card(""8"", ""Hearts""), Card(""5"", ""Hearts""), Card(""J"", ""Hearts""), Card(""5"", ""Clubs"")])}",20
21,12,['Steve'],['Robbie Random'],"KD, 4C, 4H, 6H, AS","{'Steve': Hand([Card(""K"", ""Diamonds""), Card(""4"", ""Clubs""), Card(""4"", ""Hearts""), Card(""6"", ""Hearts""), Card(""A"", ""Spades"")])}",21
22,12,['Bob'],['Floyd Folds'],"AS, KS, 5H, 5D, 10S","{'Bob': Hand([Card(""A"", ""Spades""), Card(""K"", ""Spades""), Card(""5"", ""Hearts""), Card(""5"", ""Diamonds""), Card(""10"", ""Spades"")])}",22
23,12,['Steve'],['Robbie Random'],"7H, AC, 6D, 10S, 10D","{'Steve': Hand([Card(""7"", ""Hearts""), Card(""A"", ""Clubs""), Card(""6"", ""Diamonds""), Card(""10"", ""Spades""), Card(""10"", ""Diamonds"")])}",23
24,136,['Steve'],['Robbie Random'],"JC, 3S, 3H, AS, 10S","{'Steve': Hand([Card(""J"", ""Clubs""), Card(""3"", ""Spades""), Card(""3"", ""Hearts""), Card(""A"", ""Spades""), Card(""10"", ""Spades"")])}",24
25,12,['Steve'],['Robbie Random'],"KD, 10D, 4C, QH, 4S","{'Steve': Hand([Card(""K"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""4"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""4"", ""Spades"")])}",25
26,258,['Steve'],['Robbie Random'],"JC, 5S, JD, QC, 5H","{'Steve': Hand([Card(""J"", ""Clubs""), Card(""5"", ""Spades""), Card(""J"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""5"", ""Hearts"")])}",26
27,12,['Steve'],['Robbie Random'],"3D, AC, 10C, KD, 3S","{'Steve': Hand([Card(""3"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""10"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""3"", ""Spades"")])}",27
28,12,['Bob'],['Floyd Folds'],"AH, QH, 2D, KS, 2S","{'Bob': Hand([Card(""A"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""2"", ""Diamonds""), Card(""K"", ""Spades""), Card(""2"", ""Spades"")])}",28
