,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,421,['Madi'],['Callie Calls'],"9C, 8H, 8S, 9S, 8D","{'Madi': Hand([Card(""9"", ""Clubs""), Card(""8"", ""Hearts""), Card(""8"", ""Spades""), Card(""9"", ""Spades""), Card(""8"", ""Diamonds"")]), 'Steve': Hand([Card(""J"", ""Clubs""), Card(""8"", ""Hearts""), Card(""8"", ""Spades""), Card(""9"", ""Spades""), Card(""8"", ""Diamonds"")]), 'Sophia': Hand([Card(""10"", ""Clubs""), Card(""8"", ""Hearts""), Card(""8"", ""Spades""), Card(""9"", ""Spades""), Card(""8"", ""Diamonds"")])}",0
1,141,['Madi'],['Callie Calls'],"KC, AC, 4H, KS, QD","{'Madi': Hand([Card(""K"", ""Clubs""), Card(""A"", ""Clubs""), Card(""4"", ""Hearts""), Card(""K"", ""Spades""), Card(""Q"", ""Diamonds"")])}",1
2,208,['Madi'],['Callie Calls'],"3D, AD, 3S, KC, AH","{'Cody': Hand([Card(""Q"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""K"", ""Clubs""), Card(""A"", ""Hearts"")]), 'Madi': Hand([Card(""3"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""3"", ""Spades""), Card(""K"", ""Clubs""), Card(""A"", ""Hearts"")])}",2
3,44,['Madi'],['Callie Calls'],"KD, 9D, 10S, QC, AD","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""10"", ""Spades""), Card(""Q"", ""Clubs""), Card(""A"", ""Diamonds"")])}",3
4,18,['Madi'],['Callie Calls'],"8H, 6C, 8C, 7C, 10H","{'Madi': Hand([Card(""8"", ""Hearts""), Card(""6"", ""Clubs""), Card(""8"", ""Clubs""), Card(""7"", ""Clubs""), Card(""10"", ""Hearts"")])}",4
5,39,['Madi'],['Callie Calls'],"6S, 7S, 9D, JD, AC","{'Cody': Hand([Card(""10"", ""Hearts""), Card(""5"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""A"", ""Clubs"")]), 'Madi': Hand([Card(""6"", ""Spades""), Card(""7"", ""Spades""), Card(""9"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""A"", ""Clubs"")])}",5
6,3,['Madi'],['Callie Calls'],"8H, KH, 9H, QH, 8C","{'Madi': Hand([Card(""8"", ""Hearts""), Card(""K"", ""Hearts""), Card(""9"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""8"", ""Clubs"")])}",6
7,21,['Madi'],['Callie Calls'],"7C, JH, JD, AH, QS","{'Madi': Hand([Card(""7"", ""Clubs""), Card(""J"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""Q"", ""Spades"")]), 'Michelle': Hand([Card(""9"", ""Clubs""), Card(""10"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""Q"", ""Spades"")])}",7
8,3,['Madi'],['Callie Calls'],"QC, 6H, KD, 9S, AH","{'Madi': Hand([Card(""Q"", ""Clubs""), Card(""6"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""9"", ""Spades""), Card(""A"", ""Hearts"")])}",8
9,3,['Madi'],['Callie Calls'],"AH, QS, JC, 10H, KH","{'Madi': Hand([Card(""A"", ""Hearts""), Card(""Q"", ""Spades""), Card(""J"", ""Clubs""), Card(""10"", ""Hearts""), Card(""K"", ""Hearts"")])}",9
10,3,['Madi'],['Callie Calls'],"AC, 5D, 7S, 7D, 6D","{'Madi': Hand([Card(""A"", ""Clubs""), Card(""5"", ""Diamonds""), Card(""7"", ""Spades""), Card(""7"", ""Diamonds""), Card(""6"", ""Diamonds"")])}",10
11,6,['Madi'],['Callie Calls'],"5D, 3C, 7H, 6D, 4H","{'Madi': Hand([Card(""5"", ""Diamonds""), Card(""3"", ""Clubs""), Card(""7"", ""Hearts""), Card(""6"", ""Diamonds""), Card(""4"", ""Hearts"")])}",11
