,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,540,['Madi'],['Callie Calls'],"QC, 9D, KS, QS, 5C","{'Madi': Hand([Card(""Q"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""K"", ""Spades""), Card(""Q"", ""Spades""), Card(""5"", ""Clubs"")]), 'Steve': Hand([Card(""7"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""K"", ""Spades""), Card(""Q"", ""Spades""), Card(""5"", ""Clubs"")]), 'Sophia': Hand([Card(""7"", ""Hearts""), Card(""8"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""K"", ""Spades""), Card(""Q"", ""Spades"")])}",0
1,146,['Madi'],['Callie Calls'],"4D, 10C, 10D, 4S, 4C","{'Madi': Hand([Card(""4"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""4"", ""Spades""), Card(""4"", ""Clubs"")])}",1
2,114,['Madi'],['Callie Calls'],"3C, AS, 8D, 3H, QH","{'Madi': Hand([Card(""3"", ""Clubs""), Card(""A"", ""Spades""), Card(""8"", ""Diamonds""), Card(""3"", ""Hearts""), Card(""Q"", ""Hearts"")])}",2
3,3,['Madi'],['Callie Calls'],"6H, 6C, KD, QD, 6S","{'Madi': Hand([Card(""6"", ""Hearts""), Card(""6"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""6"", ""Spades"")])}",3
4,3,['Madi'],['Callie Calls'],"9C, JS, AC, 2D, 2H","{'Madi': Hand([Card(""9"", ""Clubs""), Card(""J"", ""Spades""), Card(""A"", ""Clubs""), Card(""2"", ""Diamonds""), Card(""2"", ""Hearts"")])}",4
5,3,['Madi'],['Callie Calls'],"KC, 8S, AC, 8H, QH","{'Madi': Hand([Card(""K"", ""Clubs""), Card(""8"", ""Spades""), Card(""A"", ""Clubs""), Card(""8"", ""Hearts""), Card(""Q"", ""Hearts"")])}",5
6,3,['Madi'],['Callie Calls'],"7H, JC, KH, 8D, JD","{'Madi': Hand([Card(""7"", ""Hearts""), Card(""J"", ""Clubs""), Card(""K"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""J"", ""Diamonds"")])}",6
7,3,['Madi'],['Callie Calls'],"8C, QS, 5H, 5D, 7C","{'Madi': Hand([Card(""8"", ""Clubs""), Card(""Q"", ""Spades""), Card(""5"", ""Hearts""), Card(""5"", ""Diamonds""), Card(""7"", ""Clubs"")])}",7
8,3,['Madi'],['Callie Calls'],"5D, 6C, 6H, 8S, 8D","{'Madi': Hand([Card(""5"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""6"", ""Hearts""), Card(""8"", ""Spades""), Card(""8"", ""Diamonds"")])}",8
9,3,['Madi'],['Callie Calls'],"2H, QD, AS, 7S, 2S","{'Madi': Hand([Card(""2"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""A"", ""Spades""), Card(""7"", ""Spades""), Card(""2"", ""Spades"")])}",9
