,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,616,['Sophia'],['Callie Calls'],"10H, AC, 9D, AS, JH","{'Madi': Hand([Card(""3"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""A"", ""Spades""), Card(""3"", ""Spades""), Card(""J"", ""Hearts"")]), 'Steve': Hand([Card(""A"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""A"", ""Spades""), Card(""4"", ""Hearts""), Card(""J"", ""Hearts"")]), 'Sophia': Hand([Card(""10"", ""Hearts""), Card(""A"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""A"", ""Spades""), Card(""J"", ""Hearts"")])}",0
1,91,['Sophia'],['Callie Calls'],"7S, 6C, 8H, 5D, AS","{'Sophia': Hand([Card(""7"", ""Spades""), Card(""6"", ""Clubs""), Card(""8"", ""Hearts""), Card(""5"", ""Diamonds""), Card(""A"", ""Spades"")])}",1
2,52,['Sophia'],['Callie Calls'],"2S, 4H, 2H, JH, 4S","{'Sophia': Hand([Card(""2"", ""Spades""), Card(""4"", ""Hearts""), Card(""2"", ""Hearts""), Card(""J"", ""Hearts""), Card(""4"", ""Spades"")])}",2
3,22,['Sophia'],['Callie Calls'],"10H, JS, QC, KS, AD","{'Sophia': Hand([Card(""10"", ""Hearts""), Card(""J"", ""Spades""), Card(""Q"", ""Clubs""), Card(""K"", ""Spades""), Card(""A"", ""Diamonds"")])}",3
4,3,['Sophia'],['Callie Calls'],"4H, 4S, 4D, 8H, JH","{'Sophia': Hand([Card(""4"", ""Hearts""), Card(""4"", ""Spades""), Card(""4"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""J"", ""Hearts"")])}",4
5,3,['Sophia'],['Callie Calls'],"KD, 10H, 10S, 6C, 10D","{'Sophia': Hand([Card(""K"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""10"", ""Spades""), Card(""6"", ""Clubs""), Card(""10"", ""Diamonds"")])}",5
6,3,['Sophia'],['Callie Calls'],"AC, AS, JS, 9S, AD","{'Sophia': Hand([Card(""A"", ""Clubs""), Card(""A"", ""Spades""), Card(""J"", ""Spades""), Card(""9"", ""Spades""), Card(""A"", ""Diamonds"")])}",6
7,3,['Sophia'],['Callie Calls'],"5C, 4C, QC, KC, 8C","{'Sophia': Hand([Card(""5"", ""Clubs""), Card(""4"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""K"", ""Clubs""), Card(""8"", ""Clubs"")])}",7
8,3,['Sophia'],['Callie Calls'],"4H, 4S, 10C, KD, 10H","{'Sophia': Hand([Card(""4"", ""Hearts""), Card(""4"", ""Spades""), Card(""10"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""10"", ""Hearts"")])}",8
9,3,['Sophia'],['Callie Calls'],"9C, 2H, 2C, 9D, 9S","{'Sophia': Hand([Card(""9"", ""Clubs""), Card(""2"", ""Hearts""), Card(""2"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""9"", ""Spades"")])}",9
10,3,['Sophia'],['Callie Calls'],"10H, 2C, 2H, AC, AD","{'Sophia': Hand([Card(""10"", ""Hearts""), Card(""2"", ""Clubs""), Card(""2"", ""Hearts""), Card(""A"", ""Clubs""), Card(""A"", ""Diamonds"")])}",10
11,6,['Sophia'],['Callie Calls'],"KH, 6C, KD, 9S, 10C","{'Sophia': Hand([Card(""K"", ""Hearts""), Card(""6"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""9"", ""Spades""), Card(""10"", ""Clubs"")])}",11
12,6,['Sophia'],['Callie Calls'],"10D, AS, 4D, 4S, 9C","{'Sophia': Hand([Card(""10"", ""Diamonds""), Card(""A"", ""Spades""), Card(""4"", ""Diamonds""), Card(""4"", ""Spades""), Card(""9"", ""Clubs"")])}",12
