,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,565,['Madi'],['Callie Calls'],"AS, KC, QH, 6D, QD","{'Madi': Hand([Card(""A"", ""Spades""), Card(""K"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""6"", ""Diamonds""), Card(""Q"", ""Diamonds"")]), 'Sophia': Hand([Card(""J"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""6"", ""Diamonds""), Card(""Q"", ""Diamonds"")])}",0
1,47,['Madi'],['Callie Calls'],"3D, QH, JC, 3C, 8H","{'Madi': Hand([Card(""3"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""J"", ""Clubs""), Card(""3"", ""Clubs""), Card(""8"", ""Hearts"")])}",1
2,20,['Madi'],['Callie Calls'],"8D, 6S, 8H, 6H, 8S","{'Madi': Hand([Card(""8"", ""Diamonds""), Card(""6"", ""Spades""), Card(""8"", ""Hearts""), Card(""6"", ""Hearts""), Card(""8"", ""Spades"")])}",2
3,3,['Madi'],['Callie Calls'],"10S, 9C, KD, QH, 8C","{'Madi': Hand([Card(""10"", ""Spades""), Card(""9"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""8"", ""Clubs"")])}",3
4,5,['Madi'],['Callie Calls'],"6H, JH, KH, 9H, 10H","{'Madi': Hand([Card(""6"", ""Hearts""), Card(""J"", ""Hearts""), Card(""K"", ""Hearts""), Card(""9"", ""Hearts""), Card(""10"", ""Hearts"")])}",4
5,4,['Madi'],['Callie Calls'],"AH, 10H, 10S, KC, 9C","{'Madi': Hand([Card(""A"", ""Hearts""), Card(""10"", ""Hearts""), Card(""10"", ""Spades""), Card(""K"", ""Clubs""), Card(""9"", ""Clubs"")])}",5
6,56,['Madi'],['Callie Calls'],"5D, 10C, 7D, 5H, AD","{'Madi': Hand([Card(""5"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""5"", ""Hearts""), Card(""A"", ""Diamonds"")])}",6
7,73,['Michelle'],['Robbie Random'],"10S, KD, JD, 8C, JS","{'Madi': Hand([Card(""9"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""J"", ""Spades"")]), 'Michelle': Hand([Card(""10"", ""Spades""), Card(""K"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""J"", ""Spades"")])}",7
8,126,['Madi'],['Callie Calls'],"AS, 10S, 8S, KS, 4S","{'Madi': Hand([Card(""A"", ""Spades""), Card(""10"", ""Spades""), Card(""8"", ""Spades""), Card(""K"", ""Spades""), Card(""4"", ""Spades"")])}",8
9,3,['Madi'],['Callie Calls'],"3H, 10S, 3D, QD, KD","{'Madi': Hand([Card(""3"", ""Hearts""), Card(""10"", ""Spades""), Card(""3"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""K"", ""Diamonds"")])}",9
10,31,['Madi'],['Callie Calls'],"4D, 5S, QD, KD, 5C","{'Madi': Hand([Card(""4"", ""Diamonds""), Card(""5"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""5"", ""Clubs"")])}",10
11,8,['Madi'],['Callie Calls'],"AS, AC, 4C, 4S, KD","{'Madi': Hand([Card(""A"", ""Spades""), Card(""A"", ""Clubs""), Card(""4"", ""Clubs""), Card(""4"", ""Spades""), Card(""K"", ""Diamonds"")])}",11
12,24,['Madi'],['Callie Calls'],"2C, KC, 10H, 2D, 10D","{'Madi': Hand([Card(""2"", ""Clubs""), Card(""K"", ""Clubs""), Card(""10"", ""Hearts""), Card(""2"", ""Diamonds""), Card(""10"", ""Diamonds"")])}",12
13,18,['Madi'],['Callie Calls'],"8C, 3H, 3D, 3C, 5C","{'Madi': Hand([Card(""8"", ""Clubs""), Card(""3"", ""Hearts""), Card(""3"", ""Diamonds""), Card(""3"", ""Clubs""), Card(""5"", ""Clubs"")])}",13
14,8,['Madi'],['Callie Calls'],"6C, 6D, AC, 6H, 2H","{'Madi': Hand([Card(""6"", ""Clubs""), Card(""6"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""6"", ""Hearts""), Card(""2"", ""Hearts"")])}",14
15,6,['Madi'],['Callie Calls'],"6S, 8S, AH, 7C, JC","{'Madi': Hand([Card(""6"", ""Spades""), Card(""8"", ""Spades""), Card(""A"", ""Hearts""), Card(""7"", ""Clubs""), Card(""J"", ""Clubs"")])}",15
16,6,['Madi'],['Callie Calls'],"10C, 7S, 9S, JD, KH","{'Madi': Hand([Card(""10"", ""Clubs""), Card(""7"", ""Spades""), Card(""9"", ""Spades""), Card(""J"", ""Diamonds""), Card(""K"", ""Hearts"")])}",16
17,6,['Madi'],['Callie Calls'],"QS, 7C, 5H, 6H, 10S","{'Madi': Hand([Card(""Q"", ""Spades""), Card(""7"", ""Clubs""), Card(""5"", ""Hearts""), Card(""6"", ""Hearts""), Card(""10"", ""Spades"")])}",17
18,6,['Madi'],['Callie Calls'],"9H, 7S, AD, 7H, 8H","{'Madi': Hand([Card(""9"", ""Hearts""), Card(""7"", ""Spades""), Card(""A"", ""Diamonds""), Card(""7"", ""Hearts""), Card(""8"", ""Hearts"")])}",18
19,6,['Madi'],['Callie Calls'],"QH, JH, 8H, QC, 8S","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""J"", ""Hearts""), Card(""8"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""8"", ""Spades"")])}",19
20,6,['Madi'],['Callie Calls'],"10S, 2C, 2H, QC, QS","{'Madi': Hand([Card(""10"", ""Spades""), Card(""2"", ""Clubs""), Card(""2"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""Q"", ""Spades"")])}",20
21,12,['Madi'],['Callie Calls'],"8H, 8S, 5C, KS, 5D","{'Madi': Hand([Card(""8"", ""Hearts""), Card(""8"", ""Spades""), Card(""5"", ""Clubs""), Card(""K"", ""Spades""), Card(""5"", ""Diamonds"")])}",21
22,12,['Madi'],['Callie Calls'],"5H, KC, AS, 9S, 5D","{'Madi': Hand([Card(""5"", ""Hearts""), Card(""K"", ""Clubs""), Card(""A"", ""Spades""), Card(""9"", ""Spades""), Card(""5"", ""Diamonds"")])}",22
23,12,['Madi'],['Callie Calls'],"7C, 8D, 2S, 2C, 9H","{'Madi': Hand([Card(""7"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""2"", ""Spades""), Card(""2"", ""Clubs""), Card(""9"", ""Hearts"")])}",23
24,12,['Madi'],['Callie Calls'],"8D, AC, AH, JH, KS","{'Madi': Hand([Card(""8"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""A"", ""Hearts""), Card(""J"", ""Hearts""), Card(""K"", ""Spades"")])}",24
25,12,['Madi'],['Callie Calls'],"8C, QH, 4D, 7S, 10S","{'Madi': Hand([Card(""8"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""4"", ""Diamonds""), Card(""7"", ""Spades""), Card(""10"", ""Spades"")])}",25
26,12,['Madi'],['Callie Calls'],"JS, KH, JH, 6C, AH","{'Madi': Hand([Card(""J"", ""Spades""), Card(""K"", ""Hearts""), Card(""J"", ""Hearts""), Card(""6"", ""Clubs""), Card(""A"", ""Hearts"")])}",26
27,12,['Madi'],['Callie Calls'],"7H, 10D, KS, 7D, KC","{'Madi': Hand([Card(""7"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""K"", ""Spades""), Card(""7"", ""Diamonds""), Card(""K"", ""Clubs"")])}",27
28,12,['Madi'],['Callie Calls'],"KH, 10H, QH, AH, KC","{'Madi': Hand([Card(""K"", ""Hearts""), Card(""10"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""A"", ""Hearts""), Card(""K"", ""Clubs"")])}",28
29,12,['Madi'],['Callie Calls'],"5H, 10C, 5S, 9S, KC","{'Madi': Hand([Card(""5"", ""Hearts""), Card(""10"", ""Clubs""), Card(""5"", ""Spades""), Card(""9"", ""Spades""), Card(""K"", ""Clubs"")])}",29
30,12,['Madi'],['Callie Calls'],"6C, 9S, 6D, 6H, 4S","{'Madi': Hand([Card(""6"", ""Clubs""), Card(""9"", ""Spades""), Card(""6"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""4"", ""Spades"")])}",30
