,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,542,['Sophia'],['Callie Calls'],"JS, QD, 5C, AD, QH","{'Madi': Hand([Card(""9"", ""Spades""), Card(""10"", ""Spades""), Card(""5"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""Q"", ""Hearts"")]), 'Michelle': Hand([Card(""A"", ""Clubs""), Card(""8"", ""Clubs""), Card(""5"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""Q"", ""Hearts"")]), 'Sophia': Hand([Card(""J"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""5"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""Q"", ""Hearts"")])}",0
1,107,['Sophia'],['Callie Calls'],"10S, QC, 9C, KS, 10D","{'Sophia': Hand([Card(""10"", ""Spades""), Card(""Q"", ""Clubs""), Card(""9"", ""Clubs""), Card(""K"", ""Spades""), Card(""10"", ""Diamonds"")])}",1
2,15,['Sophia'],['Callie Calls'],"JC, 4C, 2C, 10C, 6C","{'Sophia': Hand([Card(""J"", ""Clubs""), Card(""4"", ""Clubs""), Card(""2"", ""Clubs""), Card(""10"", ""Clubs""), Card(""6"", ""Clubs"")])}",2
3,6,['Sophia'],['Callie Calls'],"KC, 5S, QD, 5C, JS","{'Sophia': Hand([Card(""K"", ""Clubs""), Card(""5"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""5"", ""Clubs""), Card(""J"", ""Spades"")])}",3
4,69,['Sophia'],['Callie Calls'],"6S, 9S, 5C, 9C, AS","{'Sophia': Hand([Card(""6"", ""Spades""), Card(""9"", ""Spades""), Card(""5"", ""Clubs""), Card(""9"", ""Clubs""), Card(""A"", ""Spades"")])}",4
5,3,['Sophia'],['Callie Calls'],"KD, 6H, JD, 4D, 4H","{'Sophia': Hand([Card(""K"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""4"", ""Diamonds""), Card(""4"", ""Hearts"")])}",5
6,74,['Sophia'],['Callie Calls'],"3S, 3D, QD, KS, 9D","{'Sophia': Hand([Card(""3"", ""Spades""), Card(""3"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""K"", ""Spades""), Card(""9"", ""Diamonds"")])}",6
7,5,['Sophia'],['Callie Calls'],"2H, 2D, 10S, JH, 8D","{'Sophia': Hand([Card(""2"", ""Hearts""), Card(""2"", ""Diamonds""), Card(""10"", ""Spades""), Card(""J"", ""Hearts""), Card(""8"", ""Diamonds"")])}",7
8,4,['Sophia'],['Callie Calls'],"7S, 7H, KD, QS, AS","{'Sophia': Hand([Card(""7"", ""Spades""), Card(""7"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""A"", ""Spades"")])}",8
9,38,['Sophia'],['Callie Calls'],"9C, KD, 8H, JC, 9D","{'Cody': Hand([Card(""6"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""9"", ""Diamonds"")]), 'Sophia': Hand([Card(""9"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""J"", ""Clubs""), Card(""9"", ""Diamonds"")])}",9
10,5,['Sophia'],['Callie Calls'],"10S, KC, JD, 7D, QS","{'Sophia': Hand([Card(""10"", ""Spades""), Card(""K"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""Q"", ""Spades"")])}",10
11,6,['Sophia'],['Callie Calls'],"5H, QH, 3H, 4H, KH","{'Sophia': Hand([Card(""5"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""3"", ""Hearts""), Card(""4"", ""Hearts""), Card(""K"", ""Hearts"")])}",11
12,6,['Sophia'],['Callie Calls'],"6S, JH, AS, 6C, QH","{'Sophia': Hand([Card(""6"", ""Spades""), Card(""J"", ""Hearts""), Card(""A"", ""Spades""), Card(""6"", ""Clubs""), Card(""Q"", ""Hearts"")])}",12
13,6,['Sophia'],['Callie Calls'],"4D, JC, JH, 8C, 8H","{'Sophia': Hand([Card(""4"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""J"", ""Hearts""), Card(""8"", ""Clubs""), Card(""8"", ""Hearts"")])}",13
14,6,['Sophia'],['Callie Calls'],"AD, AS, 9S, 9D, AC","{'Sophia': Hand([Card(""A"", ""Diamonds""), Card(""A"", ""Spades""), Card(""9"", ""Spades""), Card(""9"", ""Diamonds""), Card(""A"", ""Clubs"")])}",14
15,6,['Sophia'],['Callie Calls'],"JS, 8C, 2D, 2S, JH","{'Sophia': Hand([Card(""J"", ""Spades""), Card(""8"", ""Clubs""), Card(""2"", ""Diamonds""), Card(""2"", ""Spades""), Card(""J"", ""Hearts"")])}",15
16,6,['Sophia'],['Callie Calls'],"9C, 7C, QD, 9S, JD","{'Sophia': Hand([Card(""9"", ""Clubs""), Card(""7"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""9"", ""Spades""), Card(""J"", ""Diamonds"")])}",16
17,6,['Sophia'],['Callie Calls'],"7S, 9D, QH, 8H, JD","{'Sophia': Hand([Card(""7"", ""Spades""), Card(""9"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""8"", ""Hearts""), Card(""J"", ""Diamonds"")])}",17
18,6,['Sophia'],['Callie Calls'],"KC, AC, KS, 4H, 6C","{'Sophia': Hand([Card(""K"", ""Clubs""), Card(""A"", ""Clubs""), Card(""K"", ""Spades""), Card(""4"", ""Hearts""), Card(""6"", ""Clubs"")])}",18
19,6,['Sophia'],['Callie Calls'],"8C, JC, 8H, KH, JD","{'Sophia': Hand([Card(""8"", ""Clubs""), Card(""J"", ""Clubs""), Card(""8"", ""Hearts""), Card(""K"", ""Hearts""), Card(""J"", ""Diamonds"")])}",19
20,6,['Sophia'],['Callie Calls'],"KH, 6C, 8S, QD, 4S","{'Sophia': Hand([Card(""K"", ""Hearts""), Card(""6"", ""Clubs""), Card(""8"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""4"", ""Spades"")])}",20
21,12,['Sophia'],['Callie Calls'],"10H, 5C, JS, 9H, JH","{'Sophia': Hand([Card(""10"", ""Hearts""), Card(""5"", ""Clubs""), Card(""J"", ""Spades""), Card(""9"", ""Hearts""), Card(""J"", ""Hearts"")])}",21
