,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,301,['Sophia'],['Callie Calls'],"QC, QS, 8H, KH, JH","{'Madi': Hand([Card(""10"", ""Hearts""), Card(""8"", ""Hearts""), Card(""K"", ""Hearts""), Card(""4"", ""Diamonds""), Card(""J"", ""Hearts"")]), 'Sophia': Hand([Card(""Q"", ""Clubs""), Card(""Q"", ""Spades""), Card(""8"", ""Hearts""), Card(""K"", ""Hearts""), Card(""J"", ""Hearts"")])}",0
1,334,['Sophia'],['Callie Calls'],"QD, QS, JC, JD, AD","{'Madi': Hand([Card(""9"", ""Clubs""), Card(""J"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""K"", ""Hearts"")]), 'Michelle': Hand([Card(""6"", ""Hearts""), Card(""J"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""K"", ""Hearts"")]), 'Sophia': Hand([Card(""Q"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""J"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""A"", ""Diamonds"")])}",1
2,54,['Sophia'],['Callie Calls'],"5C, 5D, 10D, QH, 7S","{'Sophia': Hand([Card(""5"", ""Clubs""), Card(""5"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""7"", ""Spades"")])}",2
3,13,['Sophia'],['Callie Calls'],"JC, QS, 7C, JD, 5H","{'Sophia': Hand([Card(""J"", ""Clubs""), Card(""Q"", ""Spades""), Card(""7"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""5"", ""Hearts"")])}",3
4,17,['Sophia'],['Callie Calls'],"KD, 10C, 2C, 9H, 2S","{'Cody': Hand([Card(""8"", ""Clubs""), Card(""10"", ""Clubs""), Card(""2"", ""Clubs""), Card(""9"", ""Hearts""), Card(""2"", ""Spades"")]), 'Sophia': Hand([Card(""K"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""2"", ""Clubs""), Card(""9"", ""Hearts""), Card(""2"", ""Spades"")])}",4
5,5,['Sophia'],['Callie Calls'],"7C, 7D, 8S, 7S, KC","{'Sophia': Hand([Card(""7"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""8"", ""Spades""), Card(""7"", ""Spades""), Card(""K"", ""Clubs"")])}",5
6,3,['Sophia'],['Callie Calls'],"7S, JD, 8H, KH, 5S","{'Sophia': Hand([Card(""7"", ""Spades""), Card(""J"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""K"", ""Hearts""), Card(""5"", ""Spades"")])}",6
7,68,['Sophia'],['Callie Calls'],"8H, 9C, 7H, 10D, 6D","{'Sophia': Hand([Card(""8"", ""Hearts""), Card(""9"", ""Clubs""), Card(""7"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""6"", ""Diamonds"")])}",7
8,117,['Sophia'],['Callie Calls'],"KD, JS, KC, 6H, AC","{'Sophia': Hand([Card(""K"", ""Diamonds""), Card(""J"", ""Spades""), Card(""K"", ""Clubs""), Card(""6"", ""Hearts""), Card(""A"", ""Clubs"")])}",8
9,3,['Sophia'],['Callie Calls'],"AC, AD, 8H, QD, KC","{'Sophia': Hand([Card(""A"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""K"", ""Clubs"")])}",9
10,3,['Sophia'],['Callie Calls'],"2H, 6H, 8H, 6S, 2C","{'Sophia': Hand([Card(""2"", ""Hearts""), Card(""6"", ""Hearts""), Card(""8"", ""Hearts""), Card(""6"", ""Spades""), Card(""2"", ""Clubs"")])}",10
11,6,['Sophia'],['Callie Calls'],"5H, 4C, 8H, 10D, JS","{'Sophia': Hand([Card(""5"", ""Hearts""), Card(""4"", ""Clubs""), Card(""8"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""J"", ""Spades"")])}",11
12,6,['Sophia'],['Callie Calls'],"10H, 3C, 3S, QS, QH","{'Sophia': Hand([Card(""10"", ""Hearts""), Card(""3"", ""Clubs""), Card(""3"", ""Spades""), Card(""Q"", ""Spades""), Card(""Q"", ""Hearts"")])}",12
13,6,['Sophia'],['Callie Calls'],"QS, 10C, 4C, 4D, 8H","{'Sophia': Hand([Card(""Q"", ""Spades""), Card(""10"", ""Clubs""), Card(""4"", ""Clubs""), Card(""4"", ""Diamonds""), Card(""8"", ""Hearts"")])}",13
14,6,['Sophia'],['Callie Calls'],"10S, 4C, 4S, 10H, KC","{'Sophia': Hand([Card(""10"", ""Spades""), Card(""4"", ""Clubs""), Card(""4"", ""Spades""), Card(""10"", ""Hearts""), Card(""K"", ""Clubs"")])}",14
15,6,['Sophia'],['Callie Calls'],"7D, 7S, 9C, 7H, 6C","{'Sophia': Hand([Card(""7"", ""Diamonds""), Card(""7"", ""Spades""), Card(""9"", ""Clubs""), Card(""7"", ""Hearts""), Card(""6"", ""Clubs"")])}",15
16,6,['Sophia'],['Callie Calls'],"KC, 10D, 5C, 7S, QD","{'Sophia': Hand([Card(""K"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""5"", ""Clubs""), Card(""7"", ""Spades""), Card(""Q"", ""Diamonds"")])}",16
17,6,['Sophia'],['Callie Calls'],"7D, 7H, JC, QS, QC","{'Sophia': Hand([Card(""7"", ""Diamonds""), Card(""7"", ""Hearts""), Card(""J"", ""Clubs""), Card(""Q"", ""Spades""), Card(""Q"", ""Clubs"")])}",17
18,6,['Sophia'],['Callie Calls'],"8C, KC, AS, AC, KD","{'Sophia': Hand([Card(""8"", ""Clubs""), Card(""K"", ""Clubs""), Card(""A"", ""Spades""), Card(""A"", ""Clubs""), Card(""K"", ""Diamonds"")])}",18
19,6,['Sophia'],['Callie Calls'],"5C, QC, 5H, JC, 9S","{'Sophia': Hand([Card(""5"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""5"", ""Hearts""), Card(""J"", ""Clubs""), Card(""9"", ""Spades"")])}",19
20,6,['Sophia'],['Callie Calls'],"JH, 10S, 7D, 6C, JC","{'Sophia': Hand([Card(""J"", ""Hearts""), Card(""10"", ""Spades""), Card(""7"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""J"", ""Clubs"")])}",20
21,12,['Sophia'],['Callie Calls'],"KD, AH, 10C, KC, 10H","{'Sophia': Hand([Card(""K"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""10"", ""Clubs""), Card(""K"", ""Clubs""), Card(""10"", ""Hearts"")])}",21
22,12,['Sophia'],['Callie Calls'],"5D, 7S, QC, JD, 6C","{'Sophia': Hand([Card(""5"", ""Diamonds""), Card(""7"", ""Spades""), Card(""Q"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""6"", ""Clubs"")])}",22
23,12,['Sophia'],['Callie Calls'],"JD, JS, QH, 10S, 10H","{'Sophia': Hand([Card(""J"", ""Diamonds""), Card(""J"", ""Spades""), Card(""Q"", ""Hearts""), Card(""10"", ""Spades""), Card(""10"", ""Hearts"")])}",23
24,12,['Sophia'],['Callie Calls'],"5C, 5H, 2S, 2C, 8S","{'Sophia': Hand([Card(""5"", ""Clubs""), Card(""5"", ""Hearts""), Card(""2"", ""Spades""), Card(""2"", ""Clubs""), Card(""8"", ""Spades"")])}",24
25,12,['Sophia'],['Callie Calls'],"7C, 5C, 9C, 6H, AS","{'Sophia': Hand([Card(""7"", ""Clubs""), Card(""5"", ""Clubs""), Card(""9"", ""Clubs""), Card(""6"", ""Hearts""), Card(""A"", ""Spades"")])}",25
26,12,['Sophia'],['Callie Calls'],"9H, 9S, 5H, KD, KC","{'Sophia': Hand([Card(""9"", ""Hearts""), Card(""9"", ""Spades""), Card(""5"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""K"", ""Clubs"")])}",26
27,12,['Sophia'],['Callie Calls'],"QD, JC, 4H, 4D, 7D","{'Sophia': Hand([Card(""Q"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""4"", ""Hearts""), Card(""4"", ""Diamonds""), Card(""7"", ""Diamonds"")])}",27
28,12,['Sophia'],['Callie Calls'],"10S, QD, 6H, KS, 8D","{'Sophia': Hand([Card(""10"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""K"", ""Spades""), Card(""8"", ""Diamonds"")])}",28
29,12,['Sophia'],['Callie Calls'],"6H, 10H, KD, 8C, QH","{'Sophia': Hand([Card(""6"", ""Hearts""), Card(""10"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""Q"", ""Hearts"")])}",29
