,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,595,"['Madi', 'Michelle']","['Callie Calls', 'Robbie Random']","4H, 4S, 5S, JD, 5C","{'Madi': Hand([Card(""4"", ""Hearts""), Card(""4"", ""Spades""), Card(""5"", ""Spades""), Card(""J"", ""Diamonds""), Card(""5"", ""Clubs"")]), 'Michelle': Hand([Card(""4"", ""Clubs""), Card(""4"", ""Spades""), Card(""5"", ""Spades""), Card(""J"", ""Diamonds""), Card(""5"", ""Clubs"")]), 'Sophia': Hand([Card(""7"", ""Spades""), Card(""5"", ""Spades""), Card(""10"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""5"", ""Clubs"")])}",0
1,20,['Madi'],['Callie Calls'],"AD, JC, 7H, KH, 7D","{'Madi': Hand([Card(""A"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""7"", ""Hearts""), Card(""K"", ""Hearts""), Card(""7"", ""Diamonds"")])}",1
2,6,['Madi'],['Callie Calls'],"8C, 9C, AH, JH, AD","{'Madi': Hand([Card(""8"", ""Clubs""), Card(""9"", ""Clubs""), Card(""A"", ""Hearts""), Card(""J"", ""Hearts""), Card(""A"", ""Diamonds"")])}",2
3,548,['Madi'],['Callie Calls'],"AD, 5H, KC, KD, 5S","{'Madi': Hand([Card(""A"", ""Diamonds""), Card(""5"", ""Hearts""), Card(""K"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""5"", ""Spades"")])}",3
4,7,['Madi'],['Callie Calls'],"10D, AD, 6D, QD, 9D","{'Cody': Hand([Card(""7"", ""Spades""), Card(""K"", ""Clubs""), Card(""7"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""9"", ""Diamonds"")]), 'Madi': Hand([Card(""10"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""9"", ""Diamonds"")])}",4
5,3,['Madi'],['Callie Calls'],"KC, 6C, 8C, 6H, JH","{'Madi': Hand([Card(""K"", ""Clubs""), Card(""6"", ""Clubs""), Card(""8"", ""Clubs""), Card(""6"", ""Hearts""), Card(""J"", ""Hearts"")])}",5
6,5,['Madi'],['Callie Calls'],"AD, 9D, 5H, 8D, 5D","{'Madi': Hand([Card(""A"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""5"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""5"", ""Diamonds"")])}",6
7,183,['Madi'],['Callie Calls'],"4S, 3C, 7S, 5C, 6D","{'Cody': Hand([Card(""7"", ""Diamonds""), Card(""7"", ""Spades""), Card(""9"", ""Clubs""), Card(""5"", ""Clubs""), Card(""6"", ""Diamonds"")]), 'Madi': Hand([Card(""4"", ""Spades""), Card(""3"", ""Clubs""), Card(""7"", ""Spades""), Card(""5"", ""Clubs""), Card(""6"", ""Diamonds"")])}",7
8,5,['Madi'],['Callie Calls'],"QS, KH, 6S, 9S, 8C","{'Madi': Hand([Card(""Q"", ""Spades""), Card(""K"", ""Hearts""), Card(""6"", ""Spades""), Card(""9"", ""Spades""), Card(""8"", ""Clubs"")])}",8
9,4,['Madi'],['Callie Calls'],"9H, 9D, KC, 9C, 5H","{'Madi': Hand([Card(""9"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""9"", ""Clubs""), Card(""5"", ""Hearts"")])}",9
10,3,['Madi'],['Callie Calls'],"5C, JS, KD, 5D, QD","{'Madi': Hand([Card(""5"", ""Clubs""), Card(""J"", ""Spades""), Card(""K"", ""Diamonds""), Card(""5"", ""Diamonds""), Card(""Q"", ""Diamonds"")])}",10
11,10,['Madi'],['Callie Calls'],"9S, JC, QH, 10H, KD","{'Madi': Hand([Card(""9"", ""Spades""), Card(""J"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""10"", ""Hearts""), Card(""K"", ""Diamonds"")])}",11
12,6,['Madi'],['Callie Calls'],"AC, JD, 9D, AH, KS","{'Madi': Hand([Card(""A"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""K"", ""Spades"")])}",12
13,6,['Madi'],['Callie Calls'],"AH, 10S, KH, QC, JS","{'Madi': Hand([Card(""A"", ""Hearts""), Card(""10"", ""Spades""), Card(""K"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""J"", ""Spades"")])}",13
14,6,['Madi'],['Callie Calls'],"KH, 6S, QC, 6H, KD","{'Madi': Hand([Card(""K"", ""Hearts""), Card(""6"", ""Spades""), Card(""Q"", ""Clubs""), Card(""6"", ""Hearts""), Card(""K"", ""Diamonds"")])}",14
15,6,['Madi'],['Callie Calls'],"QS, 6C, JS, JH, 7D","{'Madi': Hand([Card(""Q"", ""Spades""), Card(""6"", ""Clubs""), Card(""J"", ""Spades""), Card(""J"", ""Hearts""), Card(""7"", ""Diamonds"")])}",15
16,6,['Madi'],['Callie Calls'],"7C, QC, 7D, AD, AC","{'Madi': Hand([Card(""7"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""A"", ""Clubs"")])}",16
17,6,['Madi'],['Callie Calls'],"QH, JC, 5C, 9H, 8C","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""J"", ""Clubs""), Card(""5"", ""Clubs""), Card(""9"", ""Hearts""), Card(""8"", ""Clubs"")])}",17
