,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,410,"['Madi', 'Sophia']","['Callie Calls', 'Callie Calls']","QD, KC, 7S, JH, 7H","{'Madi': Hand([Card(""Q"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""7"", ""Spades""), Card(""J"", ""Hearts""), Card(""7"", ""Hearts"")]), 'Steve': Hand([Card(""K"", ""Clubs""), Card(""7"", ""Spades""), Card(""6"", ""Clubs""), Card(""J"", ""Hearts""), Card(""7"", ""Hearts"")]), 'Sophia': Hand([Card(""Q"", ""Hearts""), Card(""K"", ""Clubs""), Card(""7"", ""Spades""), Card(""J"", ""Hearts""), Card(""7"", ""Hearts"")])}",0
1,257,['Sophia'],['Callie Calls'],"9D, 3S, AC, QH, 3H","{'Madi': Hand([Card(""6"", ""Hearts""), Card(""K"", ""Clubs""), Card(""A"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""7"", ""Spades"")]), 'Sophia': Hand([Card(""9"", ""Diamonds""), Card(""3"", ""Spades""), Card(""A"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""3"", ""Hearts"")])}",1
2,294,['Madi'],['Callie Calls'],"10H, 9C, 8H, KD, QS","{'Cody': Hand([Card(""10"", ""Clubs""), Card(""8"", ""Hearts""), Card(""6"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""Q"", ""Spades"")]), 'Madi': Hand([Card(""10"", ""Hearts""), Card(""9"", ""Clubs""), Card(""8"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""Q"", ""Spades"")]), 'Sophia': Hand([Card(""4"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""6"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""Q"", ""Spades"")])}",2
3,202,['Madi'],['Callie Calls'],"QC, 9C, KS, 7H, 9S","{'Madi': Hand([Card(""Q"", ""Clubs""), Card(""9"", ""Clubs""), Card(""K"", ""Spades""), Card(""7"", ""Hearts""), Card(""9"", ""Spades"")]), 'Sophia': Hand([Card(""A"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""K"", ""Spades""), Card(""7"", ""Hearts""), Card(""9"", ""Spades"")])}",3
4,38,['Madi'],['Callie Calls'],"JD, 9C, KS, 10C, QC","{'Madi': Hand([Card(""J"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""K"", ""Spades""), Card(""10"", ""Clubs""), Card(""Q"", ""Clubs"")]), 'Sophia': Hand([Card(""K"", ""Spades""), Card(""J"", ""Hearts""), Card(""5"", ""Clubs""), Card(""10"", ""Clubs""), Card(""Q"", ""Clubs"")])}",4
5,5,['Madi'],['Callie Calls'],"8D, 4H, 8C, 10D, 4S","{'Madi': Hand([Card(""8"", ""Diamonds""), Card(""4"", ""Hearts""), Card(""8"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""4"", ""Spades"")]), 'Sophia': Hand([Card(""J"", ""Clubs""), Card(""4"", ""Hearts""), Card(""9"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""4"", ""Spades"")])}",5
6,4,['Sophia'],['Callie Calls'],"5H, AH, KS, JD, 5S","{'Madi': Hand([Card(""8"", ""Spades""), Card(""10"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""K"", ""Spades""), Card(""J"", ""Diamonds"")]), 'Sophia': Hand([Card(""5"", ""Hearts""), Card(""A"", ""Hearts""), Card(""K"", ""Spades""), Card(""J"", ""Diamonds""), Card(""5"", ""Spades"")])}",6
7,6,['Madi'],['Callie Calls'],"JD, KS, 4H, 4C, AD","{'Madi': Hand([Card(""J"", ""Diamonds""), Card(""K"", ""Spades""), Card(""4"", ""Hearts""), Card(""4"", ""Clubs""), Card(""A"", ""Diamonds"")]), 'Sophia': Hand([Card(""K"", ""Spades""), Card(""4"", ""Hearts""), Card(""4"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""A"", ""Diamonds"")])}",7
8,5,['Madi'],['Callie Calls'],"2H, AD, 10C, 2S, KH","{'Madi': Hand([Card(""2"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""2"", ""Spades""), Card(""K"", ""Hearts"")]), 'Sophia': Hand([Card(""9"", ""Clubs""), Card(""5"", ""Spades""), Card(""A"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""K"", ""Hearts"")])}",8
9,4,['Madi'],['Callie Calls'],"KD, KH, AC, AS, QD","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""A"", ""Clubs""), Card(""A"", ""Spades""), Card(""Q"", ""Diamonds"")]), 'Sophia': Hand([Card(""K"", ""Hearts""), Card(""A"", ""Clubs""), Card(""10"", ""Hearts""), Card(""A"", ""Spades""), Card(""Q"", ""Diamonds"")])}",9
