,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,446,['Sophia'],['Callie Calls'],"JD, 5D, AD, 6D, 10D","{'Madi': Hand([Card(""6"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""10"", ""Spades"")]), 'Sophia': Hand([Card(""J"", ""Diamonds""), Card(""5"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""10"", ""Diamonds"")])}",0
1,239,['Madi'],['Callie Calls'],"AC, AH, QS, AS, 9C","{'Madi': Hand([Card(""A"", ""Clubs""), Card(""A"", ""Hearts""), Card(""Q"", ""Spades""), Card(""A"", ""Spades""), Card(""9"", ""Clubs"")]), 'Steve': Hand([Card(""10"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""Q"", ""Spades""), Card(""A"", ""Spades"")]), 'Sophia': Hand([Card(""10"", ""Spades""), Card(""J"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""Q"", ""Spades""), Card(""A"", ""Spades"")])}",1
2,37,['Sophia'],['Callie Calls'],"7H, KS, KH, 7C, AD","{'Madi': Hand([Card(""8"", ""Diamonds""), Card(""K"", ""Spades""), Card(""K"", ""Hearts""), Card(""7"", ""Clubs""), Card(""A"", ""Diamonds"")]), 'Sophia': Hand([Card(""7"", ""Hearts""), Card(""K"", ""Spades""), Card(""K"", ""Hearts""), Card(""7"", ""Clubs""), Card(""A"", ""Diamonds"")])}",2
3,255,['Sophia'],['Callie Calls'],"8S, 9D, 4D, 6D, 8C","{'Madi': Hand([Card(""J"", ""Clubs""), Card(""10"", ""Spades""), Card(""9"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""8"", ""Clubs"")]), 'Sophia': Hand([Card(""8"", ""Spades""), Card(""9"", ""Diamonds""), Card(""4"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""8"", ""Clubs"")])}",3
4,6,['Madi'],['Callie Calls'],"KH, 9D, 10H, JS, KC","{'Madi': Hand([Card(""K"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""J"", ""Spades""), Card(""K"", ""Clubs"")]), 'Sophia': Hand([Card(""3"", ""Hearts""), Card(""10"", ""Hearts""), Card(""J"", ""Spades""), Card(""3"", ""Diamonds""), Card(""K"", ""Clubs"")])}",4
5,5,['Sophia'],['Callie Calls'],"3H, KH, 3C, QD, 10C","{'Madi': Hand([Card(""A"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""10"", ""Clubs"")]), 'Sophia': Hand([Card(""3"", ""Hearts""), Card(""K"", ""Hearts""), Card(""3"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""10"", ""Clubs"")])}",5
6,6,['Madi'],['Callie Calls'],"5C, 4S, 5H, 4C, 4H","{'Madi': Hand([Card(""5"", ""Clubs""), Card(""4"", ""Spades""), Card(""5"", ""Hearts""), Card(""4"", ""Clubs""), Card(""4"", ""Hearts"")]), 'Sophia': Hand([Card(""10"", ""Diamonds""), Card(""4"", ""Spades""), Card(""4"", ""Clubs""), Card(""3"", ""Spades""), Card(""4"", ""Hearts"")])}",6
7,29,['Sophia'],['Callie Calls'],"3C, JH, KD, 3S, JS","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""J"", ""Spades"")]), 'Michelle': Hand([Card(""5"", ""Spades""), Card(""K"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""J"", ""Spades"")]), 'Sophia': Hand([Card(""3"", ""Clubs""), Card(""J"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""3"", ""Spades""), Card(""J"", ""Spades"")])}",7
8,11,['Sophia'],['Callie Calls'],"9H, QD, 9C, 4S, 9S","{'Madi': Hand([Card(""8"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""9"", ""Spades"")]), 'Sophia': Hand([Card(""9"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""4"", ""Spades""), Card(""9"", ""Spades"")])}",8
9,5,['Madi'],['Callie Calls'],"8C, 10D, 5C, 5D, KD","{'Madi': Hand([Card(""8"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""5"", ""Clubs""), Card(""5"", ""Diamonds""), Card(""K"", ""Diamonds"")]), 'Sophia': Hand([Card(""9"", ""Hearts""), Card(""6"", ""Spades""), Card(""5"", ""Clubs""), Card(""5"", ""Diamonds""), Card(""K"", ""Diamonds"")])}",9
10,4,['Madi'],['Callie Calls'],"QH, 7S, 9H, KD, AS","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""7"", ""Spades""), Card(""9"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""A"", ""Spades"")]), 'Sophia': Hand([Card(""8"", ""Diamonds""), Card(""7"", ""Spades""), Card(""9"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""A"", ""Spades"")])}",10
11,12,['Madi'],['Callie Calls'],"KC, 6D, AC, 6H, 8S","{'Madi': Hand([Card(""K"", ""Clubs""), Card(""6"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""6"", ""Hearts""), Card(""8"", ""Spades"")]), 'Sophia': Hand([Card(""10"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""6"", ""Hearts""), Card(""8"", ""Spades"")])}",11
12,10,['Sophia'],['Callie Calls'],"AD, QC, QS, JC, 9C","{'Madi': Hand([Card(""2"", ""Clubs""), Card(""Q"", ""Spades""), Card(""2"", ""Spades""), Card(""J"", ""Clubs""), Card(""9"", ""Clubs"")]), 'Sophia': Hand([Card(""A"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""Q"", ""Spades""), Card(""J"", ""Clubs""), Card(""9"", ""Clubs"")])}",12
13,8,['Sophia'],['Callie Calls'],"7C, 8S, 9H, 9S, 8D","{'Madi': Hand([Card(""6"", ""Hearts""), Card(""8"", ""Spades""), Card(""9"", ""Hearts""), Card(""9"", ""Spades""), Card(""8"", ""Diamonds"")]), 'Sophia': Hand([Card(""7"", ""Clubs""), Card(""8"", ""Spades""), Card(""9"", ""Hearts""), Card(""9"", ""Spades""), Card(""8"", ""Diamonds"")])}",13
14,12,['Madi'],['Callie Calls'],"JH, AC, KC, 9D, JD","{'Madi': Hand([Card(""J"", ""Hearts""), Card(""A"", ""Clubs""), Card(""K"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""J"", ""Diamonds"")]), 'Sophia': Hand([Card(""9"", ""Spades""), Card(""A"", ""Clubs""), Card(""K"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""J"", ""Diamonds"")])}",14
15,10,['Madi'],['Callie Calls'],"AD, QC, 10H, JD, QS","{'Madi': Hand([Card(""A"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""10"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""Q"", ""Spades"")]), 'Sophia': Hand([Card(""K"", ""Hearts""), Card(""10"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""5"", ""Diamonds"")])}",15
16,8,['Sophia'],['Callie Calls'],"8C, AD, AS, 9H, 10H","{'Madi': Hand([Card(""J"", ""Hearts""), Card(""2"", ""Spades""), Card(""A"", ""Spades""), Card(""2"", ""Diamonds""), Card(""10"", ""Hearts"")]), 'Sophia': Hand([Card(""8"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""A"", ""Spades""), Card(""9"", ""Hearts""), Card(""10"", ""Hearts"")])}",16
17,12,['Madi'],['Callie Calls'],"9H, 10S, 9S, AH, JS","{'Madi': Hand([Card(""9"", ""Hearts""), Card(""10"", ""Spades""), Card(""9"", ""Spades""), Card(""A"", ""Hearts""), Card(""J"", ""Spades"")]), 'Sophia': Hand([Card(""6"", ""Clubs""), Card(""K"", ""Spades""), Card(""9"", ""Spades""), Card(""A"", ""Hearts""), Card(""J"", ""Spades"")])}",17
18,10,['Madi'],['Callie Calls'],"KH, KD, 6S, 6C, QC","{'Madi': Hand([Card(""K"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""6"", ""Spades""), Card(""6"", ""Clubs""), Card(""Q"", ""Clubs"")]), 'Sophia': Hand([Card(""K"", ""Diamonds""), Card(""6"", ""Spades""), Card(""6"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""10"", ""Spades"")])}",18
19,8,['Madi'],['Callie Calls'],"KS, AS, 3S, AH, 3D","{'Madi': Hand([Card(""K"", ""Spades""), Card(""A"", ""Spades""), Card(""3"", ""Spades""), Card(""A"", ""Hearts""), Card(""3"", ""Diamonds"")]), 'Sophia': Hand([Card(""Q"", ""Clubs""), Card(""A"", ""Spades""), Card(""3"", ""Spades""), Card(""A"", ""Hearts""), Card(""3"", ""Diamonds"")])}",19
20,12,['Sophia'],['Callie Calls'],"5C, 9D, 7S, JH, 6S","{'Madi': Hand([Card(""Q"", ""Clubs""), Card(""4"", ""Hearts""), Card(""7"", ""Spades""), Card(""J"", ""Hearts""), Card(""6"", ""Spades"")]), 'Sophia': Hand([Card(""5"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""7"", ""Spades""), Card(""J"", ""Hearts""), Card(""6"", ""Spades"")])}",20
21,20,['Sophia'],['Callie Calls'],"4C, KS, 4D, JD, 10H","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""K"", ""Spades""), Card(""4"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""10"", ""Hearts"")]), 'Sophia': Hand([Card(""4"", ""Clubs""), Card(""K"", ""Spades""), Card(""4"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""10"", ""Hearts"")])}",21
22,16,['Madi'],['Callie Calls'],"7C, 4H, 8D, 6D, 5S","{'Madi': Hand([Card(""7"", ""Clubs""), Card(""4"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""5"", ""Spades"")]), 'Sophia': Hand([Card(""6"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""6"", ""Diamonds"")])}",22
23,24,['Madi'],['Callie Calls'],"KH, 8C, KD, 9C, 7S","{'Madi': Hand([Card(""K"", ""Hearts""), Card(""8"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""7"", ""Spades"")]), 'Sophia': Hand([Card(""Q"", ""Hearts""), Card(""5"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""5"", ""Diamonds""), Card(""9"", ""Clubs"")])}",23
24,20,['Madi'],['Callie Calls'],"AS, JD, 10S, JH, AC","{'Madi': Hand([Card(""A"", ""Spades""), Card(""J"", ""Diamonds""), Card(""10"", ""Spades""), Card(""J"", ""Hearts""), Card(""A"", ""Clubs"")]), 'Sophia': Hand([Card(""10"", ""Spades""), Card(""4"", ""Clubs""), Card(""J"", ""Hearts""), Card(""4"", ""Spades""), Card(""A"", ""Clubs"")])}",24
25,16,['Sophia'],['Callie Calls'],"QC, 9D, 2H, 2C, 9S","{'Madi': Hand([Card(""9"", ""Hearts""), Card(""2"", ""Hearts""), Card(""2"", ""Clubs""), Card(""9"", ""Spades""), Card(""J"", ""Clubs"")]), 'Sophia': Hand([Card(""Q"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""2"", ""Hearts""), Card(""2"", ""Clubs""), Card(""9"", ""Spades"")])}",25
26,24,['Madi'],['Callie Calls'],"AH, QC, AD, 9H, 9C","{'Madi': Hand([Card(""A"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""9"", ""Clubs"")]), 'Sophia': Hand([Card(""6"", ""Spades""), Card(""A"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""9"", ""Clubs""), Card(""J"", ""Clubs"")])}",26
27,20,['Madi'],['Callie Calls'],"8H, 7S, 7D, 8C, JH","{'Madi': Hand([Card(""8"", ""Hearts""), Card(""7"", ""Spades""), Card(""7"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""J"", ""Hearts"")]), 'Sophia': Hand([Card(""5"", ""Spades""), Card(""9"", ""Clubs""), Card(""5"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""J"", ""Hearts"")])}",27
28,16,['Sophia'],['Callie Calls'],"KS, 9D, KC, AH, 9S","{'Madi': Hand([Card(""8"", ""Spades""), Card(""9"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""A"", ""Hearts""), Card(""9"", ""Spades"")]), 'Sophia': Hand([Card(""K"", ""Spades""), Card(""9"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""A"", ""Hearts""), Card(""9"", ""Spades"")])}",28
