,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,402,"['Steve', 'Sophia']","['Robbie Random', 'Callie Calls']","AS, 10C, AC, 9C, JH","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""A"", ""Clubs""), Card(""9"", ""Clubs""), Card(""J"", ""Hearts"")]), 'Steve': Hand([Card(""A"", ""Spades""), Card(""10"", ""Clubs""), Card(""A"", ""Clubs""), Card(""9"", ""Clubs""), Card(""J"", ""Hearts"")]), 'Sophia': Hand([Card(""A"", ""Hearts""), Card(""10"", ""Clubs""), Card(""A"", ""Clubs""), Card(""9"", ""Clubs""), Card(""J"", ""Hearts"")])}",0
1,390,['Sophia'],['Callie Calls'],"9D, AC, JS, JH, KH","{'Sophia': Hand([Card(""9"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""J"", ""Spades""), Card(""J"", ""Hearts""), Card(""K"", ""Hearts"")])}",1
2,235,['Steve'],['Robbie Random'],"QH, 9C, JH, 9S, 7H","{'Steve': Hand([Card(""Q"", ""Hearts""), Card(""9"", ""Clubs""), Card(""J"", ""Hearts""), Card(""9"", ""Spades""), Card(""7"", ""Hearts"")]), 'Sophia': Hand([Card(""6"", ""Spades""), Card(""4"", ""Spades""), Card(""J"", ""Hearts""), Card(""9"", ""Spades""), Card(""7"", ""Hearts"")])}",2
3,95,['Sophia'],['Callie Calls'],"3D, 2H, 2S, AH, 3C","{'Sophia': Hand([Card(""3"", ""Diamonds""), Card(""2"", ""Hearts""), Card(""2"", ""Spades""), Card(""A"", ""Hearts""), Card(""3"", ""Clubs"")])}",3
4,77,['Sophia'],['Callie Calls'],"10H, 9C, AS, JS, KS","{'Sophia': Hand([Card(""10"", ""Hearts""), Card(""9"", ""Clubs""), Card(""A"", ""Spades""), Card(""J"", ""Spades""), Card(""K"", ""Spades"")])}",4
5,11,['Sophia'],['Callie Calls'],"7S, AC, QS, 9C, 8H","{'Sophia': Hand([Card(""7"", ""Spades""), Card(""A"", ""Clubs""), Card(""Q"", ""Spades""), Card(""9"", ""Clubs""), Card(""8"", ""Hearts"")])}",5
6,354,['Sophia'],['Callie Calls'],"8D, 10D, KC, 9S, KH","{'Sophia': Hand([Card(""8"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""9"", ""Spades""), Card(""K"", ""Hearts"")])}",6
7,4,['Sophia'],['Callie Calls'],"10D, JD, 8H, QH, AD","{'Sophia': Hand([Card(""10"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""A"", ""Diamonds"")])}",7
8,47,['Sophia'],['Callie Calls'],"6D, 5H, 6H, QD, 5S","{'Sophia': Hand([Card(""6"", ""Diamonds""), Card(""5"", ""Hearts""), Card(""6"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""5"", ""Spades"")])}",8
9,3,['Sophia'],['Callie Calls'],"KD, KC, 10H, 4C, 4H","{'Sophia': Hand([Card(""K"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""10"", ""Hearts""), Card(""4"", ""Clubs""), Card(""4"", ""Hearts"")])}",9
10,4,['Sophia'],['Callie Calls'],"6H, 6D, 10H, 9D, 7D","{'Sophia': Hand([Card(""6"", ""Hearts""), Card(""6"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""7"", ""Diamonds"")])}",10
11,20,['Steve'],['Robbie Random'],"7H, JD, JH, KD, KS","{'Steve': Hand([Card(""7"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""K"", ""Spades"")]), 'Sophia': Hand([Card(""A"", ""Hearts""), Card(""J"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""5"", ""Hearts""), Card(""K"", ""Spades"")])}",11
12,6,['Sophia'],['Callie Calls'],"5C, 8D, 8C, 5D, 10H","{'Sophia': Hand([Card(""5"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""5"", ""Diamonds""), Card(""10"", ""Hearts"")])}",12
