,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,570,['Madi'],['Callie Calls'],"8D, 6D, 10S, 9D, 7C","{'Madi': Hand([Card(""8"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""10"", ""Spades""), Card(""9"", ""Diamonds""), Card(""7"", ""Clubs"")]), 'Steve': Hand([Card(""5"", ""Clubs""), Card(""5"", ""Spades""), Card(""10"", ""Spades""), Card(""Q"", ""Spades""), Card(""9"", ""Diamonds"")]), 'Sophia': Hand([Card(""9"", ""Hearts""), Card(""10"", ""Clubs""), Card(""10"", ""Spades""), Card(""Q"", ""Spades""), Card(""9"", ""Diamonds"")])}",0
1,77,['Madi'],['Callie Calls'],"9S, AC, 5C, 9D, 5S","{'Madi': Hand([Card(""9"", ""Spades""), Card(""A"", ""Clubs""), Card(""5"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""5"", ""Spades"")])}",1
2,140,['Cody'],['Robbie Random'],"5S, 5H, QD, 10D, 10C","{'Cody': Hand([Card(""5"", ""Spades""), Card(""5"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""10"", ""Clubs"")]), 'Madi': Hand([Card(""8"", ""Diamonds""), Card(""K"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""10"", ""Clubs"")])}",2
3,12,['Madi'],['Callie Calls'],"KC, 7S, 8H, JC, JS","{'Madi': Hand([Card(""K"", ""Clubs""), Card(""7"", ""Spades""), Card(""8"", ""Hearts""), Card(""J"", ""Clubs""), Card(""J"", ""Spades"")])}",3
4,296,['Cody'],['Robbie Random'],"JS, QC, 9C, AD, KC","{'Cody': Hand([Card(""J"", ""Spades""), Card(""Q"", ""Clubs""), Card(""9"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""K"", ""Clubs"")]), 'Madi': Hand([Card(""Q"", ""Spades""), Card(""9"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""7"", ""Spades"")])}",4
5,5,['Madi'],['Callie Calls'],"2S, 8H, 2H, AH, 8D","{'Madi': Hand([Card(""2"", ""Spades""), Card(""8"", ""Hearts""), Card(""2"", ""Hearts""), Card(""A"", ""Hearts""), Card(""8"", ""Diamonds"")])}",5
6,252,['Madi'],['Callie Calls'],"KC, 9H, KD, 10C, AC","{'Madi': Hand([Card(""K"", ""Clubs""), Card(""9"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""A"", ""Clubs"")])}",6
7,32,['Cody'],['Robbie Random'],"JD, KS, 10D, KH, 6D","{'Cody': Hand([Card(""J"", ""Diamonds""), Card(""K"", ""Spades""), Card(""10"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""6"", ""Diamonds"")]), 'Madi': Hand([Card(""7"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""5"", ""Diamonds""), Card(""6"", ""Diamonds"")])}",7
8,3,['Madi'],['Callie Calls'],"AH, KS, 6C, 10D, 7C","{'Madi': Hand([Card(""A"", ""Hearts""), Card(""K"", ""Spades""), Card(""6"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""7"", ""Clubs"")])}",8
9,4,['Madi'],['Callie Calls'],"9C, KH, 10S, QS, JD","{'Madi': Hand([Card(""9"", ""Clubs""), Card(""K"", ""Hearts""), Card(""10"", ""Spades""), Card(""Q"", ""Spades""), Card(""J"", ""Diamonds"")])}",9
10,4,['Madi'],['Callie Calls'],"7S, 2S, JH, 7H, 2H","{'Madi': Hand([Card(""7"", ""Spades""), Card(""2"", ""Spades""), Card(""J"", ""Hearts""), Card(""7"", ""Hearts""), Card(""2"", ""Hearts"")])}",10
11,248,['Madi'],['Callie Calls'],"QH, 5S, 5H, 10S, 9D","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""5"", ""Spades""), Card(""5"", ""Hearts""), Card(""10"", ""Spades""), Card(""9"", ""Diamonds"")])}",11
12,100,['Madi'],['Callie Calls'],"QS, JD, 9D, KC, 8C","{'Madi': Hand([Card(""Q"", ""Spades""), Card(""J"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""8"", ""Clubs"")])}",12
13,26,['Cody'],['Robbie Random'],"AC, KD, 9H, 10H, 10D","{'Cody': Hand([Card(""A"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""10"", ""Hearts""), Card(""10"", ""Diamonds"")]), 'Madi': Hand([Card(""8"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""10"", ""Hearts""), Card(""10"", ""Diamonds"")])}",13
