,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,404,['Sophia'],['Callie Calls'],"AD, KC, JD, AS, 9D","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""A"", ""Spades""), Card(""9"", ""Diamonds""), Card(""7"", ""Diamonds"")]), 'Steve': Hand([Card(""6"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""A"", ""Spades""), Card(""9"", ""Diamonds"")]), 'Sophia': Hand([Card(""A"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""A"", ""Spades""), Card(""9"", ""Diamonds"")])}",0
1,277,['Steve'],['Robbie Random'],"JC, AD, AS, 5H, 5S","{'Madi': Hand([Card(""4"", ""Diamonds""), Card(""A"", ""Spades""), Card(""4"", ""Spades""), Card(""5"", ""Hearts""), Card(""5"", ""Spades"")]), 'Michelle': Hand([Card(""9"", ""Spades""), Card(""A"", ""Spades""), Card(""10"", ""Diamonds""), Card(""5"", ""Hearts""), Card(""5"", ""Spades"")]), 'Steve': Hand([Card(""J"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""A"", ""Spades""), Card(""5"", ""Hearts""), Card(""5"", ""Spades"")]), 'Sophia': Hand([Card(""K"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""A"", ""Spades""), Card(""5"", ""Hearts""), Card(""5"", ""Spades"")])}",1
2,69,['Sophia'],['Callie Calls'],"QH, 2S, JS, JD, 2D","{'Sophia': Hand([Card(""Q"", ""Hearts""), Card(""2"", ""Spades""), Card(""J"", ""Spades""), Card(""J"", ""Diamonds""), Card(""2"", ""Diamonds"")])}",2
3,563,['Sophia'],['Callie Calls'],"4D, 8D, 4S, AS, 8H","{'Sophia': Hand([Card(""4"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""4"", ""Spades""), Card(""A"", ""Spades""), Card(""8"", ""Hearts"")])}",3
4,20,['Sophia'],['Callie Calls'],"7D, 3H, 6C, 5D, 4S","{'Sophia': Hand([Card(""7"", ""Diamonds""), Card(""3"", ""Hearts""), Card(""6"", ""Clubs""), Card(""5"", ""Diamonds""), Card(""4"", ""Spades"")])}",4
5,33,['Sophia'],['Callie Calls'],"KD, 3D, JH, 7S, 3C","{'Sophia': Hand([Card(""K"", ""Diamonds""), Card(""3"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""7"", ""Spades""), Card(""3"", ""Clubs"")])}",5
6,6,['Sophia'],['Callie Calls'],"KD, 7S, QD, KC, 8C","{'Sophia': Hand([Card(""K"", ""Diamonds""), Card(""7"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""8"", ""Clubs"")])}",6
7,3,['Sophia'],['Callie Calls'],"AC, AS, 7C, 7D, 10H","{'Sophia': Hand([Card(""A"", ""Clubs""), Card(""A"", ""Spades""), Card(""7"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""10"", ""Hearts"")])}",7
8,3,['Sophia'],['Callie Calls'],"2C, 10H, QC, 2D, QH","{'Sophia': Hand([Card(""2"", ""Clubs""), Card(""10"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""2"", ""Diamonds""), Card(""Q"", ""Hearts"")])}",8
9,3,['Sophia'],['Callie Calls'],"9S, 7H, 9D, KS, 10S","{'Sophia': Hand([Card(""9"", ""Spades""), Card(""7"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""K"", ""Spades""), Card(""10"", ""Spades"")])}",9
10,3,['Sophia'],['Callie Calls'],"KS, 9C, 10S, 7H, AC","{'Sophia': Hand([Card(""K"", ""Spades""), Card(""9"", ""Clubs""), Card(""10"", ""Spades""), Card(""7"", ""Hearts""), Card(""A"", ""Clubs"")])}",10
