,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,342,['Sophia'],['Callie Calls'],"9S, JS, 3S, 7C, 3D","{'Madi': Hand([Card(""9"", ""Clubs""), Card(""5"", ""Diamonds""), Card(""3"", ""Spades""), Card(""7"", ""Clubs""), Card(""3"", ""Diamonds"")]), 'Sophia': Hand([Card(""9"", ""Spades""), Card(""J"", ""Spades""), Card(""3"", ""Spades""), Card(""7"", ""Clubs""), Card(""3"", ""Diamonds"")])}",0
1,360,['Cody'],['Robbie Random'],"QD, KD, KS, 8D, 9C","{'Cody': Hand([Card(""Q"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""K"", ""Spades""), Card(""8"", ""Diamonds""), Card(""9"", ""Clubs"")]), 'Madi': Hand([Card(""9"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""K"", ""Spades""), Card(""8"", ""Diamonds""), Card(""9"", ""Clubs"")]), 'Sophia': Hand([Card(""10"", ""Clubs""), Card(""K"", ""Spades""), Card(""7"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""9"", ""Clubs"")])}",1
2,622,['Sophia'],['Callie Calls'],"QD, JS, KS, 10H, QC","{'Sophia': Hand([Card(""Q"", ""Diamonds""), Card(""J"", ""Spades""), Card(""K"", ""Spades""), Card(""10"", ""Hearts""), Card(""Q"", ""Clubs"")])}",2
3,100,['Sophia'],['Callie Calls'],"10D, 9C, KH, 9D, 8S","{'Sophia': Hand([Card(""10"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""K"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""8"", ""Spades"")])}",3
4,26,['Sophia'],['Callie Calls'],"4C, QC, 4S, 9H, 7D","{'Sophia': Hand([Card(""4"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""4"", ""Spades""), Card(""9"", ""Hearts""), Card(""7"", ""Diamonds"")])}",4
5,9,['Sophia'],['Callie Calls'],"AH, 7H, KS, 7C, AD","{'Sophia': Hand([Card(""A"", ""Hearts""), Card(""7"", ""Hearts""), Card(""K"", ""Spades""), Card(""7"", ""Clubs""), Card(""A"", ""Diamonds"")])}",5
6,3,['Sophia'],['Callie Calls'],"KS, KC, 4H, 10H, 4S","{'Sophia': Hand([Card(""K"", ""Spades""), Card(""K"", ""Clubs""), Card(""4"", ""Hearts""), Card(""10"", ""Hearts""), Card(""4"", ""Spades"")])}",6
7,3,['Sophia'],['Callie Calls'],"QC, KD, 9C, 3C, 3H","{'Sophia': Hand([Card(""Q"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""3"", ""Clubs""), Card(""3"", ""Hearts"")])}",7
8,3,['Sophia'],['Callie Calls'],"8S, 10D, 5C, QC, JC","{'Sophia': Hand([Card(""8"", ""Spades""), Card(""10"", ""Diamonds""), Card(""5"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""J"", ""Clubs"")])}",8
9,3,['Sophia'],['Callie Calls'],"9H, 9D, 5C, 10H, JD","{'Sophia': Hand([Card(""9"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""5"", ""Clubs""), Card(""10"", ""Hearts""), Card(""J"", ""Diamonds"")])}",9
10,3,['Sophia'],['Callie Calls'],"QD, 10C, 9C, KC, AC","{'Sophia': Hand([Card(""Q"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""9"", ""Clubs""), Card(""K"", ""Clubs""), Card(""A"", ""Clubs"")])}",10
11,6,['Sophia'],['Callie Calls'],"7C, 7H, QC, 10H, QD","{'Sophia': Hand([Card(""7"", ""Clubs""), Card(""7"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""10"", ""Hearts""), Card(""Q"", ""Diamonds"")])}",11
12,6,['Sophia'],['Callie Calls'],"JD, KD, QS, 6H, AC","{'Sophia': Hand([Card(""J"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""6"", ""Hearts""), Card(""A"", ""Clubs"")])}",12
