,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,482,['Madi'],['Callie Calls'],"QD, QH, JH, 4D, 6C","{'Madi': Hand([Card(""Q"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""J"", ""Hearts""), Card(""4"", ""Diamonds""), Card(""6"", ""Clubs"")]), 'Sophia': Hand([Card(""9"", ""Clubs""), Card(""5"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""J"", ""Hearts""), Card(""6"", ""Clubs"")])}",0
1,287,['Michelle'],['Robbie Random'],"KC, AH, JH, 8S, 8D","{'Madi': Hand([Card(""7"", ""Clubs""), Card(""A"", ""Hearts""), Card(""J"", ""Hearts""), Card(""8"", ""Spades""), Card(""8"", ""Diamonds"")]), 'Michelle': Hand([Card(""K"", ""Clubs""), Card(""A"", ""Hearts""), Card(""J"", ""Hearts""), Card(""8"", ""Spades""), Card(""8"", ""Diamonds"")])}",1
2,175,['Madi'],['Callie Calls'],"QH, 10D, 9C, 5H, 6C","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""5"", ""Hearts""), Card(""6"", ""Clubs"")])}",2
3,10,['Madi'],['Callie Calls'],"7C, JS, KD, 7D, AS","{'Madi': Hand([Card(""7"", ""Clubs""), Card(""J"", ""Spades""), Card(""K"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""A"", ""Spades"")])}",3
4,5,['Madi'],['Callie Calls'],"7D, JS, KD, JC, AD","{'Madi': Hand([Card(""7"", ""Diamonds""), Card(""J"", ""Spades""), Card(""K"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""A"", ""Diamonds"")])}",4
5,4,['Madi'],['Callie Calls'],"3H, 3C, 9D, QD, 7C","{'Madi': Hand([Card(""3"", ""Hearts""), Card(""3"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""7"", ""Clubs"")])}",5
6,6,['Madi'],['Callie Calls'],"QH, 9H, 10S, JD, 9D","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""9"", ""Hearts""), Card(""10"", ""Spades""), Card(""J"", ""Diamonds""), Card(""9"", ""Diamonds"")])}",6
7,379,['Madi'],['Callie Calls'],"6C, QS, 9S, 6D, 9D","{'Madi': Hand([Card(""6"", ""Clubs""), Card(""Q"", ""Spades""), Card(""9"", ""Spades""), Card(""6"", ""Diamonds""), Card(""9"", ""Diamonds"")])}",7
8,4,['Madi'],['Callie Calls'],"5S, 4S, 8D, QS, KH","{'Madi': Hand([Card(""5"", ""Spades""), Card(""4"", ""Spades""), Card(""8"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""K"", ""Hearts"")])}",8
9,3,['Madi'],['Callie Calls'],"QH, 5H, 5D, 5C, 4S","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""5"", ""Hearts""), Card(""5"", ""Diamonds""), Card(""5"", ""Clubs""), Card(""4"", ""Spades"")])}",9
10,19,['Madi'],['Callie Calls'],"AH, 2C, QH, 2H, QD","{'Madi': Hand([Card(""A"", ""Hearts""), Card(""2"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""2"", ""Hearts""), Card(""Q"", ""Diamonds"")]), 'Michelle': Hand([Card(""8"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""7"", ""Spades""), Card(""Q"", ""Diamonds"")])}",10
11,8,['Madi'],['Callie Calls'],"6H, KS, 8C, 7H, AH","{'Madi': Hand([Card(""6"", ""Hearts""), Card(""K"", ""Spades""), Card(""8"", ""Clubs""), Card(""7"", ""Hearts""), Card(""A"", ""Hearts"")])}",11
12,6,['Madi'],['Callie Calls'],"3D, 8C, 3C, 3S, 6H","{'Madi': Hand([Card(""3"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""3"", ""Clubs""), Card(""3"", ""Spades""), Card(""6"", ""Hearts"")])}",12
13,6,['Madi'],['Callie Calls'],"7H, 9H, QS, KH, 10S","{'Madi': Hand([Card(""7"", ""Hearts""), Card(""9"", ""Hearts""), Card(""Q"", ""Spades""), Card(""K"", ""Hearts""), Card(""10"", ""Spades"")])}",13
14,6,['Madi'],['Callie Calls'],"AC, 9D, 9C, 10D, QC","{'Madi': Hand([Card(""A"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""Q"", ""Clubs"")])}",14
15,6,['Madi'],['Callie Calls'],"7C, 7S, 7H, KS, QH","{'Madi': Hand([Card(""7"", ""Clubs""), Card(""7"", ""Spades""), Card(""7"", ""Hearts""), Card(""K"", ""Spades""), Card(""Q"", ""Hearts"")])}",15
16,6,['Madi'],['Callie Calls'],"QD, QC, KH, JS, 7S","{'Madi': Hand([Card(""Q"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""K"", ""Hearts""), Card(""J"", ""Spades""), Card(""7"", ""Spades"")])}",16
17,6,['Madi'],['Callie Calls'],"7C, 7D, QH, 8D, 8S","{'Madi': Hand([Card(""7"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""8"", ""Spades"")])}",17
18,6,['Madi'],['Callie Calls'],"AH, 6C, JS, 6H, JC","{'Madi': Hand([Card(""A"", ""Hearts""), Card(""6"", ""Clubs""), Card(""J"", ""Spades""), Card(""6"", ""Hearts""), Card(""J"", ""Clubs"")])}",18
19,6,['Madi'],['Callie Calls'],"KH, 9D, QS, AC, JS","{'Madi': Hand([Card(""K"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""A"", ""Clubs""), Card(""J"", ""Spades"")])}",19
20,6,['Madi'],['Callie Calls'],"4S, AD, JC, 4D, 8S","{'Madi': Hand([Card(""4"", ""Spades""), Card(""A"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""4"", ""Diamonds""), Card(""8"", ""Spades"")])}",20
21,12,['Madi'],['Callie Calls'],"8C, 9S, 6C, 7C, 5D","{'Madi': Hand([Card(""8"", ""Clubs""), Card(""9"", ""Spades""), Card(""6"", ""Clubs""), Card(""7"", ""Clubs""), Card(""5"", ""Diamonds"")])}",21
22,12,['Madi'],['Callie Calls'],"7H, AD, 9C, 9D, 10D","{'Madi': Hand([Card(""7"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""10"", ""Diamonds"")])}",22
23,12,['Madi'],['Callie Calls'],"KD, 9D, 10C, 3S, 3H","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""3"", ""Spades""), Card(""3"", ""Hearts"")])}",23
24,12,['Madi'],['Callie Calls'],"6D, 9D, 7H, 10H, 6S","{'Madi': Hand([Card(""6"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""7"", ""Hearts""), Card(""10"", ""Hearts""), Card(""6"", ""Spades"")])}",24
25,12,['Madi'],['Callie Calls'],"8S, KS, 10C, KH, AD","{'Madi': Hand([Card(""8"", ""Spades""), Card(""K"", ""Spades""), Card(""10"", ""Clubs""), Card(""K"", ""Hearts""), Card(""A"", ""Diamonds"")])}",25
26,12,['Madi'],['Callie Calls'],"8C, 8D, JH, AC, QH","{'Madi': Hand([Card(""8"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""A"", ""Clubs""), Card(""Q"", ""Hearts"")])}",26
27,12,['Madi'],['Callie Calls'],"8D, 9D, QS, 6D, QC","{'Madi': Hand([Card(""8"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""6"", ""Diamonds""), Card(""Q"", ""Clubs"")])}",27
28,12,['Madi'],['Callie Calls'],"5S, KS, 10C, 5D, KD","{'Madi': Hand([Card(""5"", ""Spades""), Card(""K"", ""Spades""), Card(""10"", ""Clubs""), Card(""5"", ""Diamonds""), Card(""K"", ""Diamonds"")])}",28
29,12,['Madi'],['Callie Calls'],"10D, 9S, AS, 9C, KD","{'Madi': Hand([Card(""10"", ""Diamonds""), Card(""9"", ""Spades""), Card(""A"", ""Spades""), Card(""9"", ""Clubs""), Card(""K"", ""Diamonds"")])}",29
30,12,['Madi'],['Callie Calls'],"10C, 6D, 8S, 9D, 7D","{'Madi': Hand([Card(""10"", ""Clubs""), Card(""6"", ""Diamonds""), Card(""8"", ""Spades""), Card(""9"", ""Diamonds""), Card(""7"", ""Diamonds"")])}",30
