,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,246,['Sophia'],['Callie Calls'],"4S, 8S, 7S, 2S, QS","{'Madi': Hand([Card(""10"", ""Clubs""), Card(""10"", ""Hearts""), Card(""8"", ""Spades""), Card(""7"", ""Spades""), Card(""Q"", ""Spades"")]), 'Sophia': Hand([Card(""4"", ""Spades""), Card(""8"", ""Spades""), Card(""7"", ""Spades""), Card(""2"", ""Spades""), Card(""Q"", ""Spades"")])}",0
1,237,['Sophia'],['Callie Calls'],"AC, 8D, 8H, AS, 7C","{'Madi': Hand([Card(""Q"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""8"", ""Hearts""), Card(""A"", ""Spades""), Card(""7"", ""Clubs"")]), 'Steve': Hand([Card(""5"", ""Spades""), Card(""K"", ""Hearts""), Card(""8"", ""Hearts""), Card(""A"", ""Spades""), Card(""5"", ""Clubs"")]), 'Sophia': Hand([Card(""A"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""A"", ""Spades""), Card(""7"", ""Clubs"")])}",1
2,68,['Sophia'],['Callie Calls'],"9H, 8H, 7S, 5C, 7C","{'Sophia': Hand([Card(""9"", ""Hearts""), Card(""8"", ""Hearts""), Card(""7"", ""Spades""), Card(""5"", ""Clubs""), Card(""7"", ""Clubs"")])}",2
3,30,['Sophia'],['Callie Calls'],"10D, 5C, 8C, 9S, AC","{'Sophia': Hand([Card(""10"", ""Diamonds""), Card(""5"", ""Clubs""), Card(""8"", ""Clubs""), Card(""9"", ""Spades""), Card(""A"", ""Clubs"")])}",3
4,224,['Sophia'],['Callie Calls'],"5H, QH, 7S, 5S, 7H","{'Michelle': Hand([Card(""9"", ""Clubs""), Card(""A"", ""Spades""), Card(""7"", ""Spades""), Card(""J"", ""Spades""), Card(""7"", ""Hearts"")]), 'Sophia': Hand([Card(""5"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""7"", ""Spades""), Card(""5"", ""Spades""), Card(""7"", ""Hearts"")])}",4
5,3,['Sophia'],['Callie Calls'],"4D, 9H, 4C, 7S, AH","{'Sophia': Hand([Card(""4"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""4"", ""Clubs""), Card(""7"", ""Spades""), Card(""A"", ""Hearts"")])}",5
6,4,['Sophia'],['Callie Calls'],"10D, 4D, 9D, QC, 8S","{'Sophia': Hand([Card(""10"", ""Diamonds""), Card(""4"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""8"", ""Spades"")])}",6
7,7,['Sophia'],['Callie Calls'],"AD, 3H, 6S, 6H, 3S","{'Sophia': Hand([Card(""A"", ""Diamonds""), Card(""3"", ""Hearts""), Card(""6"", ""Spades""), Card(""6"", ""Hearts""), Card(""3"", ""Spades"")])}",7
8,3,['Sophia'],['Callie Calls'],"7H, JS, 9H, 6D, 10H","{'Sophia': Hand([Card(""7"", ""Hearts""), Card(""J"", ""Spades""), Card(""9"", ""Hearts""), Card(""6"", ""Diamonds""), Card(""10"", ""Hearts"")])}",8
9,3,['Sophia'],['Callie Calls'],"6D, 10D, 6H, AD, 8C","{'Sophia': Hand([Card(""6"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""8"", ""Clubs"")])}",9
