,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,323,['Madi'],['Callie Calls'],"8S, KD, 8C, AC, JH","{'Madi': Hand([Card(""8"", ""Spades""), Card(""K"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""A"", ""Clubs""), Card(""J"", ""Hearts"")]), 'Sophia': Hand([Card(""8"", ""Clubs""), Card(""A"", ""Clubs""), Card(""5"", ""Clubs""), Card(""9"", ""Hearts""), Card(""J"", ""Hearts"")])}",0
1,246,['Sophia'],['Callie Calls'],"5S, 5D, JS, AC, 10D","{'Madi': Hand([Card(""8"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""J"", ""Spades""), Card(""A"", ""Clubs""), Card(""10"", ""Diamonds"")]), 'Sophia': Hand([Card(""5"", ""Spades""), Card(""5"", ""Diamonds""), Card(""J"", ""Spades""), Card(""A"", ""Clubs""), Card(""10"", ""Diamonds"")])}",1
2,212,['Sophia'],['Callie Calls'],"JH, JD, QS, 8S, KS","{'Madi': Hand([Card(""10"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""Q"", ""Spades""), Card(""8"", ""Spades""), Card(""K"", ""Spades"")]), 'Sophia': Hand([Card(""J"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""8"", ""Spades""), Card(""K"", ""Spades"")])}",2
3,69,['Madi'],['Callie Calls'],"QS, QC, 6D, AH, 9D","{'Madi': Hand([Card(""Q"", ""Spades""), Card(""Q"", ""Clubs""), Card(""6"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""9"", ""Diamonds"")]), 'Sophia': Hand([Card(""A"", ""Clubs""), Card(""6"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""4"", ""Hearts""), Card(""9"", ""Diamonds"")])}",3
4,24,['Sophia'],['Callie Calls'],"JD, JH, 9C, QS, AC","{'Madi': Hand([Card(""3"", ""Clubs""), Card(""10"", ""Spades""), Card(""3"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""A"", ""Clubs"")]), 'Sophia': Hand([Card(""J"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""9"", ""Clubs""), Card(""Q"", ""Spades""), Card(""A"", ""Clubs"")])}",4
5,85,['Madi'],['Callie Calls'],"JC, 8S, 5D, JH, 7S","{'Madi': Hand([Card(""J"", ""Clubs""), Card(""8"", ""Spades""), Card(""5"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""7"", ""Spades"")]), 'Sophia': Hand([Card(""5"", ""Clubs""), Card(""K"", ""Clubs""), Card(""8"", ""Spades""), Card(""5"", ""Diamonds""), Card(""J"", ""Hearts"")])}",5
6,6,['Madi'],['Callie Calls'],"KS, 10D, 5S, KC, 5D","{'Madi': Hand([Card(""K"", ""Spades""), Card(""10"", ""Diamonds""), Card(""5"", ""Spades""), Card(""K"", ""Clubs""), Card(""5"", ""Diamonds"")]), 'Sophia': Hand([Card(""8"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""5"", ""Spades""), Card(""K"", ""Clubs""), Card(""5"", ""Diamonds"")])}",6
7,6,['Sophia'],['Callie Calls'],"KH, AH, 10C, 10S, 9H","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""10"", ""Spades""), Card(""9"", ""Hearts""), Card(""5"", ""Clubs"")]), 'Sophia': Hand([Card(""K"", ""Hearts""), Card(""A"", ""Hearts""), Card(""10"", ""Clubs""), Card(""10"", ""Spades""), Card(""9"", ""Hearts"")])}",7
8,5,['Madi'],['Callie Calls'],"KC, 6C, 10S, AD, 8C","{'Madi': Hand([Card(""K"", ""Clubs""), Card(""6"", ""Clubs""), Card(""10"", ""Spades""), Card(""A"", ""Diamonds""), Card(""8"", ""Clubs"")]), 'Sophia': Hand([Card(""Q"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""10"", ""Spades""), Card(""A"", ""Diamonds""), Card(""8"", ""Clubs"")])}",8
9,4,['Sophia'],['Callie Calls'],"7H, 5S, 5H, 7S, 7C","{'Madi': Hand([Card(""5"", ""Spades""), Card(""6"", ""Hearts""), Card(""5"", ""Hearts""), Card(""7"", ""Spades""), Card(""7"", ""Clubs"")]), 'Sophia': Hand([Card(""7"", ""Hearts""), Card(""5"", ""Spades""), Card(""5"", ""Hearts""), Card(""7"", ""Spades""), Card(""7"", ""Clubs"")])}",9
10,6,['Madi'],['Callie Calls'],"KH, 9S, 9H, QC, AC","{'Madi': Hand([Card(""K"", ""Hearts""), Card(""9"", ""Spades""), Card(""9"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""A"", ""Clubs"")]), 'Sophia': Hand([Card(""8"", ""Spades""), Card(""9"", ""Spades""), Card(""9"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""A"", ""Clubs"")])}",10
