,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,621,['Steve'],['Robbie Random'],"KH, JS, 9D, KD, 9S","{'Madi': Hand([Card(""8"", ""Clubs""), Card(""8"", ""Spades""), Card(""9"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""9"", ""Spades"")]), 'Steve': Hand([Card(""K"", ""Hearts""), Card(""J"", ""Spades""), Card(""9"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""9"", ""Spades"")]), 'Sophia': Hand([Card(""Q"", ""Clubs""), Card(""A"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""9"", ""Spades"")])}",0
1,62,['Michelle'],['Robbie Random'],"6H, AS, 4C, 9S, 8D","{'Michelle': Hand([Card(""6"", ""Hearts""), Card(""A"", ""Spades""), Card(""4"", ""Clubs""), Card(""9"", ""Spades""), Card(""8"", ""Diamonds"")])}",1
2,132,['Steve'],['Robbie Random'],"9H, 10C, KD, 2S, 2D","{'Steve': Hand([Card(""9"", ""Hearts""), Card(""10"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""2"", ""Spades""), Card(""2"", ""Diamonds"")])}",2
3,8,['Cody'],['Robbie Random'],"JH, AH, JC, 8D, 10D","{'Cody': Hand([Card(""J"", ""Hearts""), Card(""A"", ""Hearts""), Card(""J"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""10"", ""Diamonds"")])}",3
4,38,['Steve'],['Robbie Random'],"10H, QC, AH, 10S, QS","{'Steve': Hand([Card(""10"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""A"", ""Hearts""), Card(""10"", ""Spades""), Card(""Q"", ""Spades"")])}",4
5,7,['Michelle'],['Robbie Random'],"4H, 6C, 10C, 10H, KC","{'Michelle': Hand([Card(""4"", ""Hearts""), Card(""6"", ""Clubs""), Card(""10"", ""Clubs""), Card(""10"", ""Hearts""), Card(""K"", ""Clubs"")])}",5
6,5,['Steve'],['Robbie Random'],"KC, 9C, 8S, JH, 9S","{'Steve': Hand([Card(""K"", ""Clubs""), Card(""9"", ""Clubs""), Card(""8"", ""Spades""), Card(""J"", ""Hearts""), Card(""9"", ""Spades"")])}",6
7,31,['Michelle'],['Robbie Random'],"4C, KD, 4S, KS, 9D","{'Michelle': Hand([Card(""4"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""4"", ""Spades""), Card(""K"", ""Spades""), Card(""9"", ""Diamonds"")])}",7
8,536,['Steve'],['Robbie Random'],"JC, 7H, QC, 6D, KS","{'Steve': Hand([Card(""J"", ""Clubs""), Card(""7"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""6"", ""Diamonds""), Card(""K"", ""Spades"")])}",8
9,3,['Michelle'],['Robbie Random'],"7H, JC, 8S, KC, 9H","{'Michelle': Hand([Card(""7"", ""Hearts""), Card(""J"", ""Clubs""), Card(""8"", ""Spades""), Card(""K"", ""Clubs""), Card(""9"", ""Hearts"")])}",9
10,40,['Michelle'],['Robbie Random'],"2H, KD, JS, 2D, KS","{'Michelle': Hand([Card(""2"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""J"", ""Spades""), Card(""2"", ""Diamonds""), Card(""K"", ""Spades"")])}",10
11,697,['Steve'],['Robbie Random'],"AD, 4D, 10C, JC, 8S","{'Steve': Hand([Card(""A"", ""Diamonds""), Card(""4"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""J"", ""Clubs""), Card(""8"", ""Spades"")])}",11
12,602,['Steve'],['Robbie Random'],"QS, JH, 6D, 8C, 6H","{'Steve': Hand([Card(""Q"", ""Spades""), Card(""J"", ""Hearts""), Card(""6"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""6"", ""Hearts"")])}",12
13,6,['Steve'],['Robbie Random'],"9H, 7D, KC, 9S, 7S","{'Steve': Hand([Card(""9"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""9"", ""Spades""), Card(""7"", ""Spades"")])}",13
14,6,['Steve'],['Robbie Random'],"QH, QD, 7C, 7H, 7S","{'Steve': Hand([Card(""Q"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""7"", ""Hearts""), Card(""7"", ""Spades"")])}",14
15,6,['Steve'],['Robbie Random'],"QC, 8C, 10S, AS, 6C","{'Steve': Hand([Card(""Q"", ""Clubs""), Card(""8"", ""Clubs""), Card(""10"", ""Spades""), Card(""A"", ""Spades""), Card(""6"", ""Clubs"")])}",15
16,6,['Steve'],['Robbie Random'],"9H, 10D, 7D, JC, QS","{'Steve': Hand([Card(""9"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""Q"", ""Spades"")])}",16
17,6,['Steve'],['Robbie Random'],"10H, JH, 9H, KS, JS","{'Steve': Hand([Card(""10"", ""Hearts""), Card(""J"", ""Hearts""), Card(""9"", ""Hearts""), Card(""K"", ""Spades""), Card(""J"", ""Spades"")])}",17
18,6,['Steve'],['Robbie Random'],"3S, 10H, 3C, 2C, 3D","{'Steve': Hand([Card(""3"", ""Spades""), Card(""10"", ""Hearts""), Card(""3"", ""Clubs""), Card(""2"", ""Clubs""), Card(""3"", ""Diamonds"")])}",18
19,6,['Steve'],['Robbie Random'],"QS, KH, 5D, QC, QD","{'Steve': Hand([Card(""Q"", ""Spades""), Card(""K"", ""Hearts""), Card(""5"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""Q"", ""Diamonds"")])}",19
20,236,['Steve'],['Robbie Random'],"2H, KC, 7H, 7D, 2S","{'Steve': Hand([Card(""2"", ""Hearts""), Card(""K"", ""Clubs""), Card(""7"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""2"", ""Spades"")])}",20
21,12,['Steve'],['Robbie Random'],"QC, KD, 6H, 8S, 9S","{'Steve': Hand([Card(""Q"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""8"", ""Spades""), Card(""9"", ""Spades"")])}",21
22,118,['Steve'],['Robbie Random'],"JH, KC, JS, 7C, 10S","{'Steve': Hand([Card(""J"", ""Hearts""), Card(""K"", ""Clubs""), Card(""J"", ""Spades""), Card(""7"", ""Clubs""), Card(""10"", ""Spades"")])}",22
23,12,['Steve'],['Robbie Random'],"AC, 9H, JS, QD, JH","{'Steve': Hand([Card(""A"", ""Clubs""), Card(""9"", ""Hearts""), Card(""J"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""J"", ""Hearts"")])}",23
24,749,['Steve'],['Robbie Random'],"9H, KH, QH, 10S, 9D","{'Steve': Hand([Card(""9"", ""Hearts""), Card(""K"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""10"", ""Spades""), Card(""9"", ""Diamonds"")])}",24
25,12,['Steve'],['Robbie Random'],"8H, AS, 9S, AH, 10S","{'Steve': Hand([Card(""8"", ""Hearts""), Card(""A"", ""Spades""), Card(""9"", ""Spades""), Card(""A"", ""Hearts""), Card(""10"", ""Spades"")])}",25
26,12,['Bob'],['Floyd Folds'],"9S, QD, QC, 9D, 6D","{'Bob': Hand([Card(""9"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""6"", ""Diamonds"")])}",26
27,12,['Steve'],['Robbie Random'],"5D, 5H, QH, 4C, 4H","{'Steve': Hand([Card(""5"", ""Diamonds""), Card(""5"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""4"", ""Clubs""), Card(""4"", ""Hearts"")])}",27
28,146,['Steve'],['Robbie Random'],"8C, 9H, 9D, KC, AS","{'Steve': Hand([Card(""8"", ""Clubs""), Card(""9"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""A"", ""Spades"")])}",28
29,12,['Steve'],['Robbie Random'],"9C, 3H, AD, 3D, 7S","{'Steve': Hand([Card(""9"", ""Clubs""), Card(""3"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""3"", ""Diamonds""), Card(""7"", ""Spades"")])}",29
30,331,['Steve'],['Robbie Random'],"10C, 2D, QC, 2C, QH","{'Steve': Hand([Card(""10"", ""Clubs""), Card(""2"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""2"", ""Clubs""), Card(""Q"", ""Hearts"")])}",30
