,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,500,"['Madi', 'Steve']","['Callie Calls', 'Robbie Random']","JH, 10H, QC, 8D, 9D","{'Madi': Hand([Card(""J"", ""Hearts""), Card(""10"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""9"", ""Diamonds"")]), 'Steve': Hand([Card(""9"", ""Clubs""), Card(""J"", ""Clubs""), Card(""10"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""8"", ""Diamonds"")]), 'Sophia': Hand([Card(""8"", ""Spades""), Card(""A"", ""Clubs""), Card(""10"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""8"", ""Diamonds"")])}",0
1,326,['Madi'],['Callie Calls'],"AD, 10C, KS, KH, 10S","{'Madi': Hand([Card(""A"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""K"", ""Spades""), Card(""K"", ""Hearts""), Card(""10"", ""Spades"")])}",1
2,323,['Steve'],['Robbie Random'],"JS, 7D, 4S, 4H, KD","{'Madi': Hand([Card(""9"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""4"", ""Spades""), Card(""4"", ""Hearts""), Card(""K"", ""Diamonds"")]), 'Steve': Hand([Card(""J"", ""Spades""), Card(""7"", ""Diamonds""), Card(""4"", ""Spades""), Card(""4"", ""Hearts""), Card(""K"", ""Diamonds"")])}",2
3,20,['Madi'],['Callie Calls'],"JC, 10S, AC, KS, AD","{'Madi': Hand([Card(""J"", ""Clubs""), Card(""10"", ""Spades""), Card(""A"", ""Clubs""), Card(""K"", ""Spades""), Card(""A"", ""Diamonds"")])}",3
4,313,['Madi'],['Callie Calls'],"9C, AH, JC, KH, KC","{'Madi': Hand([Card(""9"", ""Clubs""), Card(""A"", ""Hearts""), Card(""J"", ""Clubs""), Card(""K"", ""Hearts""), Card(""K"", ""Clubs"")])}",4
5,5,['Madi'],['Callie Calls'],"9C, JC, AS, 10S, KH","{'Madi': Hand([Card(""9"", ""Clubs""), Card(""J"", ""Clubs""), Card(""A"", ""Spades""), Card(""10"", ""Spades""), Card(""K"", ""Hearts"")])}",5
6,372,['Madi'],['Callie Calls'],"5H, 5C, JC, JS, AH","{'Madi': Hand([Card(""5"", ""Hearts""), Card(""5"", ""Clubs""), Card(""J"", ""Clubs""), Card(""J"", ""Spades""), Card(""A"", ""Hearts"")]), 'Steve': Hand([Card(""K"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""J"", ""Spades""), Card(""A"", ""Hearts"")])}",6
7,3,['Madi'],['Callie Calls'],"JC, KS, 8S, 8D, AD","{'Madi': Hand([Card(""J"", ""Clubs""), Card(""K"", ""Spades""), Card(""8"", ""Spades""), Card(""8"", ""Diamonds""), Card(""A"", ""Diamonds"")])}",7
8,3,['Madi'],['Callie Calls'],"10D, 5C, 5D, JC, 7S","{'Madi': Hand([Card(""10"", ""Diamonds""), Card(""5"", ""Clubs""), Card(""5"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""7"", ""Spades"")])}",8
9,3,['Madi'],['Callie Calls'],"AC, 8S, 7C, 7D, JD","{'Madi': Hand([Card(""A"", ""Clubs""), Card(""8"", ""Spades""), Card(""7"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""J"", ""Diamonds"")])}",9
10,3,['Madi'],['Callie Calls'],"KS, 6S, QD, 9D, 7C","{'Madi': Hand([Card(""K"", ""Spades""), Card(""6"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""7"", ""Clubs"")])}",10
11,6,['Madi'],['Callie Calls'],"9S, 10D, 5S, 5H, 8H","{'Madi': Hand([Card(""9"", ""Spades""), Card(""10"", ""Diamonds""), Card(""5"", ""Spades""), Card(""5"", ""Hearts""), Card(""8"", ""Hearts"")])}",11
12,6,['Madi'],['Callie Calls'],"KC, KH, KS, 3C, QH","{'Madi': Hand([Card(""K"", ""Clubs""), Card(""K"", ""Hearts""), Card(""K"", ""Spades""), Card(""3"", ""Clubs""), Card(""Q"", ""Hearts"")])}",12
13,6,['Madi'],['Callie Calls'],"QD, QC, 3D, JC, 3S","{'Madi': Hand([Card(""Q"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""3"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""3"", ""Spades"")])}",13
14,6,['Madi'],['Callie Calls'],"QS, KD, 10D, JH, 7S","{'Madi': Hand([Card(""Q"", ""Spades""), Card(""K"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""7"", ""Spades"")])}",14
15,6,['Madi'],['Callie Calls'],"5H, 8H, 5C, AD, KH","{'Madi': Hand([Card(""5"", ""Hearts""), Card(""8"", ""Hearts""), Card(""5"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""K"", ""Hearts"")])}",15
16,6,['Madi'],['Callie Calls'],"KC, QH, QS, 7H, 8C","{'Madi': Hand([Card(""K"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""Q"", ""Spades""), Card(""7"", ""Hearts""), Card(""8"", ""Clubs"")])}",16
17,6,['Madi'],['Callie Calls'],"7C, 8S, JC, 7S, 9S","{'Madi': Hand([Card(""7"", ""Clubs""), Card(""8"", ""Spades""), Card(""J"", ""Clubs""), Card(""7"", ""Spades""), Card(""9"", ""Spades"")])}",17
18,6,['Madi'],['Callie Calls'],"2H, QD, 2C, 8H, JH","{'Madi': Hand([Card(""2"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""2"", ""Clubs""), Card(""8"", ""Hearts""), Card(""J"", ""Hearts"")])}",18
19,6,['Madi'],['Callie Calls'],"KD, 9C, 10C, KH, 8H","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""10"", ""Clubs""), Card(""K"", ""Hearts""), Card(""8"", ""Hearts"")])}",19
20,6,['Madi'],['Callie Calls'],"KD, QS, JS, AD, JD","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""J"", ""Spades""), Card(""A"", ""Diamonds""), Card(""J"", ""Diamonds"")])}",20
21,12,['Madi'],['Callie Calls'],"KD, 10S, AC, JS, 8H","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""10"", ""Spades""), Card(""A"", ""Clubs""), Card(""J"", ""Spades""), Card(""8"", ""Hearts"")])}",21
22,12,['Madi'],['Callie Calls'],"QD, QH, 7C, AS, 7S","{'Madi': Hand([Card(""Q"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""7"", ""Clubs""), Card(""A"", ""Spades""), Card(""7"", ""Spades"")])}",22
23,12,['Madi'],['Callie Calls'],"10H, KC, 4D, 7D, 7H","{'Madi': Hand([Card(""10"", ""Hearts""), Card(""K"", ""Clubs""), Card(""4"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""7"", ""Hearts"")])}",23
