,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,398,['Sophia'],['Callie Calls'],"JH, 8D, 8C, 10S, 9D","{'Madi': Hand([Card(""8"", ""Hearts""), Card(""7"", ""Hearts""), Card(""8"", ""Clubs""), Card(""10"", ""Spades""), Card(""9"", ""Diamonds"")]), 'Sophia': Hand([Card(""J"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""10"", ""Spades""), Card(""9"", ""Diamonds"")])}",0
1,192,['Madi'],['Callie Calls'],"3S, JH, 3D, 9D, 3C","{'Madi': Hand([Card(""3"", ""Spades""), Card(""J"", ""Hearts""), Card(""3"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""3"", ""Clubs"")]), 'Sophia': Hand([Card(""9"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""3"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""3"", ""Clubs"")])}",1
2,106,['Sophia'],['Callie Calls'],"10C, 2H, QS, QH, 2C","{'Madi': Hand([Card(""J"", ""Clubs""), Card(""8"", ""Spades""), Card(""Q"", ""Spades""), Card(""Q"", ""Hearts""), Card(""9"", ""Hearts"")]), 'Sophia': Hand([Card(""10"", ""Clubs""), Card(""2"", ""Hearts""), Card(""Q"", ""Spades""), Card(""Q"", ""Hearts""), Card(""2"", ""Clubs"")])}",2
3,68,['Madi'],['Callie Calls'],"JS, 6D, 6H, JD, 10C","{'Madi': Hand([Card(""J"", ""Spades""), Card(""6"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""10"", ""Clubs"")]), 'Steve': Hand([Card(""9"", ""Spades""), Card(""3"", ""Spades""), Card(""9"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""3"", ""Diamonds"")]), 'Sophia': Hand([Card(""Q"", ""Spades""), Card(""9"", ""Clubs""), Card(""6"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""10"", ""Clubs"")])}",3
4,58,['Michelle'],['Robbie Random'],"7D, 3H, 5C, 4H, 6S","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""5"", ""Hearts""), Card(""5"", ""Clubs""), Card(""6"", ""Spades""), Card(""Q"", ""Clubs"")]), 'Michelle': Hand([Card(""7"", ""Diamonds""), Card(""3"", ""Hearts""), Card(""5"", ""Clubs""), Card(""4"", ""Hearts""), Card(""6"", ""Spades"")]), 'Sophia': Hand([Card(""A"", ""Diamonds""), Card(""3"", ""Spades""), Card(""3"", ""Hearts""), Card(""6"", ""Spades""), Card(""Q"", ""Clubs"")])}",4
5,6,['Madi'],['Callie Calls'],"AS, 8C, 3H, 8H, 3D","{'Madi': Hand([Card(""A"", ""Spades""), Card(""8"", ""Clubs""), Card(""3"", ""Hearts""), Card(""8"", ""Hearts""), Card(""3"", ""Diamonds"")]), 'Sophia': Hand([Card(""A"", ""Hearts""), Card(""3"", ""Hearts""), Card(""9"", ""Clubs""), Card(""8"", ""Hearts""), Card(""3"", ""Diamonds"")])}",5
6,5,['Madi'],['Callie Calls'],"5H, 8D, 5D, AS, AC","{'Madi': Hand([Card(""5"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""5"", ""Diamonds""), Card(""A"", ""Spades""), Card(""A"", ""Clubs"")]), 'Sophia': Hand([Card(""Q"", ""Spades""), Card(""8"", ""Diamonds""), Card(""5"", ""Diamonds""), Card(""A"", ""Spades""), Card(""A"", ""Clubs"")])}",6
7,374,['Steve'],['Robbie Random'],"AS, 5D, AD, 8H, 5S","{'Madi': Hand([Card(""9"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""7"", ""Clubs""), Card(""5"", ""Spades"")]), 'Steve': Hand([Card(""A"", ""Spades""), Card(""5"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""5"", ""Spades"")]), 'Sophia': Hand([Card(""J"", ""Spades""), Card(""Q"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""7"", ""Clubs"")])}",7
8,635,['Madi'],['Callie Calls'],"7H, QD, QC, 7C, 7D","{'Madi': Hand([Card(""7"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""7"", ""Clubs""), Card(""7"", ""Diamonds"")]), 'Sophia': Hand([Card(""J"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""7"", ""Clubs""), Card(""7"", ""Diamonds"")])}",8
9,18,['Madi'],['Callie Calls'],"AS, JS, JH, 6D, 8H","{'Madi': Hand([Card(""A"", ""Spades""), Card(""J"", ""Spades""), Card(""J"", ""Hearts""), Card(""6"", ""Diamonds""), Card(""8"", ""Hearts"")])}",9
