,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,537,['Madi'],['Callie Calls'],"9S, 2D, 9D, AD, 2H","{'Madi': Hand([Card(""9"", ""Spades""), Card(""2"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""2"", ""Hearts"")]), 'Sophia': Hand([Card(""2"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""2"", ""Hearts"")])}",0
1,156,['Sophia'],['Callie Calls'],"KC, QS, AD, KH, 8H","{'Cody': Hand([Card(""6"", ""Clubs""), Card(""Q"", ""Spades""), Card(""A"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""6"", ""Spades"")]), 'Madi': Hand([Card(""J"", ""Hearts""), Card(""Q"", ""Spades""), Card(""A"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""8"", ""Hearts"")]), 'Steve': Hand([Card(""7"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""A"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""8"", ""Hearts"")]), 'Sophia': Hand([Card(""K"", ""Clubs""), Card(""Q"", ""Spades""), Card(""A"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""8"", ""Hearts"")])}",1
2,102,['Sophia'],['Callie Calls'],"6S, AC, 6D, 6H, AH","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""A"", ""Clubs""), Card(""6"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""A"", ""Hearts"")]), 'Michelle': Hand([Card(""10"", ""Hearts""), Card(""A"", ""Clubs""), Card(""6"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""A"", ""Hearts"")]), 'Sophia': Hand([Card(""6"", ""Spades""), Card(""A"", ""Clubs""), Card(""6"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""A"", ""Hearts"")])}",2
3,42,['Madi'],['Callie Calls'],"AD, AS, 10C, 10H, 9C","{'Madi': Hand([Card(""A"", ""Diamonds""), Card(""A"", ""Spades""), Card(""10"", ""Clubs""), Card(""10"", ""Hearts""), Card(""9"", ""Clubs"")]), 'Sophia': Hand([Card(""6"", ""Spades""), Card(""A"", ""Spades""), Card(""6"", ""Clubs""), Card(""10"", ""Clubs""), Card(""10"", ""Hearts"")])}",3
4,5,['Sophia'],['Callie Calls'],"10H, JS, AS, QS, KH","{'Madi': Hand([Card(""K"", ""Spades""), Card(""A"", ""Spades""), Card(""Q"", ""Spades""), Card(""K"", ""Hearts""), Card(""A"", ""Diamonds"")]), 'Sophia': Hand([Card(""10"", ""Hearts""), Card(""J"", ""Spades""), Card(""A"", ""Spades""), Card(""Q"", ""Spades""), Card(""K"", ""Hearts"")])}",4
5,4,['Sophia'],['Callie Calls'],"JD, 9H, 8C, 6D, QD","{'Madi': Hand([Card(""9"", ""Diamonds""), Card(""10"", ""Spades""), Card(""8"", ""Clubs""), Card(""6"", ""Diamonds""), Card(""Q"", ""Diamonds"")]), 'Sophia': Hand([Card(""J"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""8"", ""Clubs""), Card(""6"", ""Diamonds""), Card(""Q"", ""Diamonds"")])}",5
6,6,['Madi'],['Callie Calls'],"3C, AC, 9S, 3S, QD","{'Madi': Hand([Card(""3"", ""Clubs""), Card(""A"", ""Clubs""), Card(""9"", ""Spades""), Card(""3"", ""Spades""), Card(""Q"", ""Diamonds"")]), 'Sophia': Hand([Card(""J"", ""Spades""), Card(""9"", ""Spades""), Card(""5"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""Q"", ""Diamonds"")])}",6
7,5,['Madi'],['Callie Calls'],"6D, JH, AH, JD, 6S","{'Madi': Hand([Card(""6"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""A"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""6"", ""Spades"")]), 'Sophia': Hand([Card(""A"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""6"", ""Spades"")])}",7
8,4,"['Madi', 'Sophia']","['Callie Calls', 'Callie Calls']","KD, 3S, AH, 10D, 3C","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""3"", ""Spades""), Card(""A"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""3"", ""Clubs"")]), 'Sophia': Hand([Card(""K"", ""Hearts""), Card(""3"", ""Spades""), Card(""A"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""3"", ""Clubs"")])}",8
9,6,['Madi'],['Callie Calls'],"JD, QH, QS, JS, 10D","{'Madi': Hand([Card(""J"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""Q"", ""Spades""), Card(""J"", ""Spades""), Card(""10"", ""Diamonds"")]), 'Sophia': Hand([Card(""5"", ""Spades""), Card(""Q"", ""Spades""), Card(""5"", ""Clubs""), Card(""J"", ""Spades""), Card(""10"", ""Diamonds"")])}",9
10,5,['Sophia'],['Callie Calls'],"9H, 5S, QC, 5H, 10C","{'Madi': Hand([Card(""7"", ""Hearts""), Card(""2"", ""Spades""), Card(""Q"", ""Clubs""), Card(""10"", ""Clubs""), Card(""2"", ""Hearts"")]), 'Sophia': Hand([Card(""9"", ""Hearts""), Card(""5"", ""Spades""), Card(""Q"", ""Clubs""), Card(""5"", ""Hearts""), Card(""10"", ""Clubs"")])}",10
11,8,['Sophia'],['Callie Calls'],"8D, 7D, KD, AD, 5D","{'Madi': Hand([Card(""9"", ""Clubs""), Card(""K"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""8"", ""Clubs"")]), 'Sophia': Hand([Card(""8"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""5"", ""Diamonds"")])}",11
