,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,580,['Madi'],['Callie Calls'],"8S, 8D, QD, 10C, QS","{'Madi': Hand([Card(""8"", ""Spades""), Card(""8"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""Q"", ""Spades"")]), 'Sophia': Hand([Card(""5"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""Q"", ""Spades""), Card(""5"", ""Spades"")])}",0
1,24,['Madi'],['Callie Calls'],"AS, 4C, 6H, 10S, QH","{'Madi': Hand([Card(""A"", ""Spades""), Card(""4"", ""Clubs""), Card(""6"", ""Hearts""), Card(""10"", ""Spades""), Card(""Q"", ""Hearts"")])}",1
2,6,['Madi'],['Callie Calls'],"10C, 8C, QH, JH, KD","{'Madi': Hand([Card(""10"", ""Clubs""), Card(""8"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""J"", ""Hearts""), Card(""K"", ""Diamonds"")])}",2
3,6,['Madi'],['Callie Calls'],"KS, AS, 9S, QD, QH","{'Madi': Hand([Card(""K"", ""Spades""), Card(""A"", ""Spades""), Card(""9"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""Q"", ""Hearts"")])}",3
4,3,['Madi'],['Callie Calls'],"8D, 7S, JD, 10H, JH","{'Madi': Hand([Card(""8"", ""Diamonds""), Card(""7"", ""Spades""), Card(""J"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""J"", ""Hearts"")])}",4
5,4,['Michelle'],['Robbie Random'],"JS, 4C, 9H, 4D, 9D","{'Madi': Hand([Card(""J"", ""Hearts""), Card(""5"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""8"", ""Hearts""), Card(""9"", ""Diamonds"")]), 'Michelle': Hand([Card(""J"", ""Spades""), Card(""4"", ""Clubs""), Card(""9"", ""Hearts""), Card(""4"", ""Diamonds""), Card(""9"", ""Diamonds"")])}",5
6,188,['Madi'],['Callie Calls'],"4S, 4H, 4C, KC, 2S","{'Madi': Hand([Card(""4"", ""Spades""), Card(""4"", ""Hearts""), Card(""4"", ""Clubs""), Card(""K"", ""Clubs""), Card(""2"", ""Spades"")]), 'Michelle': Hand([Card(""10"", ""Diamonds""), Card(""4"", ""Hearts""), Card(""4"", ""Clubs""), Card(""K"", ""Clubs""), Card(""10"", ""Clubs"")])}",6
7,11,['Madi'],['Callie Calls'],"7S, KS, 8D, AC, 9S","{'Madi': Hand([Card(""7"", ""Spades""), Card(""K"", ""Spades""), Card(""8"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""9"", ""Spades"")])}",7
8,3,['Madi'],['Callie Calls'],"KH, 9H, JC, 10S, AC","{'Madi': Hand([Card(""K"", ""Hearts""), Card(""9"", ""Hearts""), Card(""J"", ""Clubs""), Card(""10"", ""Spades""), Card(""A"", ""Clubs"")])}",8
9,3,['Madi'],['Callie Calls'],"JD, 7D, 7S, 8C, 7C","{'Madi': Hand([Card(""J"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""7"", ""Spades""), Card(""8"", ""Clubs""), Card(""7"", ""Clubs"")])}",9
