,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,498,['Sophia'],['Callie Calls'],"AS, KH, 4C, AD, 4S","{'Madi': Hand([Card(""A"", ""Clubs""), Card(""4"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""4"", ""Spades"")]), 'Michelle': Hand([Card(""4"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""7"", ""Spades""), Card(""4"", ""Spades"")]), 'Sophia': Hand([Card(""A"", ""Spades""), Card(""K"", ""Hearts""), Card(""4"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""4"", ""Spades"")])}",0
1,103,['Sophia'],['Callie Calls'],"9S, 7D, 9H, QS, QD","{'Sophia': Hand([Card(""9"", ""Spades""), Card(""7"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""Q"", ""Spades""), Card(""Q"", ""Diamonds"")])}",1
2,179,['Sophia'],['Callie Calls'],"8S, 10S, 10H, 7H, QS","{'Sophia': Hand([Card(""8"", ""Spades""), Card(""10"", ""Spades""), Card(""10"", ""Hearts""), Card(""7"", ""Hearts""), Card(""Q"", ""Spades"")])}",2
3,13,['Sophia'],['Callie Calls'],"AH, 10H, 9C, KS, QS","{'Sophia': Hand([Card(""A"", ""Hearts""), Card(""10"", ""Hearts""), Card(""9"", ""Clubs""), Card(""K"", ""Spades""), Card(""Q"", ""Spades"")])}",3
4,10,['Sophia'],['Callie Calls'],"KC, 7C, 7S, 3S, 7D","{'Sophia': Hand([Card(""K"", ""Clubs""), Card(""7"", ""Clubs""), Card(""7"", ""Spades""), Card(""3"", ""Spades""), Card(""7"", ""Diamonds"")])}",4
5,3,['Sophia'],['Callie Calls'],"10S, AH, 8H, 9S, JS","{'Sophia': Hand([Card(""10"", ""Spades""), Card(""A"", ""Hearts""), Card(""8"", ""Hearts""), Card(""9"", ""Spades""), Card(""J"", ""Spades"")])}",5
6,3,['Sophia'],['Callie Calls'],"KC, QD, KD, AC, 6S","{'Sophia': Hand([Card(""K"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""6"", ""Spades"")])}",6
7,3,['Sophia'],['Callie Calls'],"9C, 2S, AH, 6H, 2H","{'Sophia': Hand([Card(""9"", ""Clubs""), Card(""2"", ""Spades""), Card(""A"", ""Hearts""), Card(""6"", ""Hearts""), Card(""2"", ""Hearts"")])}",7
8,3,['Sophia'],['Callie Calls'],"8C, 10S, QH, 6H, KD","{'Sophia': Hand([Card(""8"", ""Clubs""), Card(""10"", ""Spades""), Card(""Q"", ""Hearts""), Card(""6"", ""Hearts""), Card(""K"", ""Diamonds"")])}",8
9,3,['Sophia'],['Callie Calls'],"7S, 2C, JS, AC, 2H","{'Sophia': Hand([Card(""7"", ""Spades""), Card(""2"", ""Clubs""), Card(""J"", ""Spades""), Card(""A"", ""Clubs""), Card(""2"", ""Hearts"")])}",9
10,3,['Sophia'],['Callie Calls'],"JH, 9H, 8D, KC, AS","{'Sophia': Hand([Card(""J"", ""Hearts""), Card(""9"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""A"", ""Spades"")])}",10
11,6,['Sophia'],['Callie Calls'],"KD, 9H, AH, QD, KS","{'Sophia': Hand([Card(""K"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""A"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""K"", ""Spades"")])}",11
12,6,['Sophia'],['Callie Calls'],"AD, QC, 8C, KH, 10D","{'Sophia': Hand([Card(""A"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""8"", ""Clubs""), Card(""K"", ""Hearts""), Card(""10"", ""Diamonds"")])}",12
13,6,['Sophia'],['Callie Calls'],"6S, 2D, JS, 2S, 6C","{'Sophia': Hand([Card(""6"", ""Spades""), Card(""2"", ""Diamonds""), Card(""J"", ""Spades""), Card(""2"", ""Spades""), Card(""6"", ""Clubs"")])}",13
14,6,['Sophia'],['Callie Calls'],"9H, 6S, 8H, 10H, 8D","{'Sophia': Hand([Card(""9"", ""Hearts""), Card(""6"", ""Spades""), Card(""8"", ""Hearts""), Card(""10"", ""Hearts""), Card(""8"", ""Diamonds"")])}",14
15,6,['Sophia'],['Callie Calls'],"JC, QH, KS, KC, QD","{'Sophia': Hand([Card(""J"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""K"", ""Spades""), Card(""K"", ""Clubs""), Card(""Q"", ""Diamonds"")])}",15
16,6,['Sophia'],['Callie Calls'],"9C, KH, KC, KS, 8S","{'Sophia': Hand([Card(""9"", ""Clubs""), Card(""K"", ""Hearts""), Card(""K"", ""Clubs""), Card(""K"", ""Spades""), Card(""8"", ""Spades"")])}",16
17,6,['Sophia'],['Callie Calls'],"JH, 9H, 8D, AD, KS","{'Sophia': Hand([Card(""J"", ""Hearts""), Card(""9"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""K"", ""Spades"")])}",17
18,6,['Sophia'],['Callie Calls'],"QD, JH, 10H, 9C, 10D","{'Sophia': Hand([Card(""Q"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""10"", ""Hearts""), Card(""9"", ""Clubs""), Card(""10"", ""Diamonds"")])}",18
19,6,['Sophia'],['Callie Calls'],"8C, 4D, JD, 6S, 6D","{'Sophia': Hand([Card(""8"", ""Clubs""), Card(""4"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""6"", ""Spades""), Card(""6"", ""Diamonds"")])}",19
