,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,687,['Madi'],['Callie Calls'],"9C, 2S, 2H, QS, 9S","{'Madi': Hand([Card(""9"", ""Clubs""), Card(""2"", ""Spades""), Card(""2"", ""Hearts""), Card(""Q"", ""Spades""), Card(""9"", ""Spades"")]), 'Michelle': Hand([Card(""K"", ""Diamonds""), Card(""8"", ""Spades""), Card(""Q"", ""Spades""), Card(""9"", ""Spades""), Card(""J"", ""Hearts"")]), 'Steve': Hand([Card(""A"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""9"", ""Spades""), Card(""J"", ""Hearts"")]), 'Sophia': Hand([Card(""4"", ""Spades""), Card(""4"", ""Clubs""), Card(""Q"", ""Spades""), Card(""9"", ""Spades""), Card(""J"", ""Hearts"")])}",0
1,13,['Madi'],['Callie Calls'],"AS, 9C, JS, 9H, 7H","{'Madi': Hand([Card(""A"", ""Spades""), Card(""9"", ""Clubs""), Card(""J"", ""Spades""), Card(""9"", ""Hearts""), Card(""7"", ""Hearts"")])}",1
2,3,['Madi'],['Callie Calls'],"5D, 3H, 3S, 5C, 5S","{'Madi': Hand([Card(""5"", ""Diamonds""), Card(""3"", ""Hearts""), Card(""3"", ""Spades""), Card(""5"", ""Clubs""), Card(""5"", ""Spades"")])}",2
3,3,['Madi'],['Callie Calls'],"10D, 10S, 10H, 8D, 7S","{'Madi': Hand([Card(""10"", ""Diamonds""), Card(""10"", ""Spades""), Card(""10"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""7"", ""Spades"")])}",3
4,3,['Madi'],['Callie Calls'],"8S, 6C, JC, 9S, AD","{'Madi': Hand([Card(""8"", ""Spades""), Card(""6"", ""Clubs""), Card(""J"", ""Clubs""), Card(""9"", ""Spades""), Card(""A"", ""Diamonds"")])}",4
5,3,['Madi'],['Callie Calls'],"8D, 7H, 10H, AC, 10C","{'Madi': Hand([Card(""8"", ""Diamonds""), Card(""7"", ""Hearts""), Card(""10"", ""Hearts""), Card(""A"", ""Clubs""), Card(""10"", ""Clubs"")])}",5
6,3,['Madi'],['Callie Calls'],"9S, QD, 2S, 2C, 8S","{'Madi': Hand([Card(""9"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""2"", ""Spades""), Card(""2"", ""Clubs""), Card(""8"", ""Spades"")])}",6
7,3,['Madi'],['Callie Calls'],"3D, 7D, 6D, 5D, QD","{'Madi': Hand([Card(""3"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""5"", ""Diamonds""), Card(""Q"", ""Diamonds"")])}",7
8,3,['Madi'],['Callie Calls'],"8H, JC, QC, KH, KD","{'Madi': Hand([Card(""8"", ""Hearts""), Card(""J"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""K"", ""Hearts""), Card(""K"", ""Diamonds"")])}",8
9,3,['Madi'],['Callie Calls'],"KS, 5H, 7H, JS, QC","{'Madi': Hand([Card(""K"", ""Spades""), Card(""5"", ""Hearts""), Card(""7"", ""Hearts""), Card(""J"", ""Spades""), Card(""Q"", ""Clubs"")])}",9
10,3,['Madi'],['Callie Calls'],"3D, 8H, 8S, 3S, AH","{'Madi': Hand([Card(""3"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""8"", ""Spades""), Card(""3"", ""Spades""), Card(""A"", ""Hearts"")])}",10
11,6,['Madi'],['Callie Calls'],"3S, 10H, JH, 3C, 5S","{'Madi': Hand([Card(""3"", ""Spades""), Card(""10"", ""Hearts""), Card(""J"", ""Hearts""), Card(""3"", ""Clubs""), Card(""5"", ""Spades"")])}",11
12,6,['Madi'],['Callie Calls'],"6S, 9S, QD, 9H, 6H","{'Madi': Hand([Card(""6"", ""Spades""), Card(""9"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""6"", ""Hearts"")])}",12
13,6,['Madi'],['Callie Calls'],"9S, AH, JC, 9H, 9D","{'Madi': Hand([Card(""9"", ""Spades""), Card(""A"", ""Hearts""), Card(""J"", ""Clubs""), Card(""9"", ""Hearts""), Card(""9"", ""Diamonds"")])}",13
14,6,['Madi'],['Callie Calls'],"9D, QC, 10D, AD, KD","{'Madi': Hand([Card(""9"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""K"", ""Diamonds"")])}",14
15,6,['Madi'],['Callie Calls'],"AH, KS, KD, 3H, 3S","{'Madi': Hand([Card(""A"", ""Hearts""), Card(""K"", ""Spades""), Card(""K"", ""Diamonds""), Card(""3"", ""Hearts""), Card(""3"", ""Spades"")])}",15
16,6,['Madi'],['Callie Calls'],"JS, 10S, 9C, AC, 7S","{'Madi': Hand([Card(""J"", ""Spades""), Card(""10"", ""Spades""), Card(""9"", ""Clubs""), Card(""A"", ""Clubs""), Card(""7"", ""Spades"")])}",16
17,6,['Madi'],['Callie Calls'],"QC, 7S, 10S, JS, 10D","{'Madi': Hand([Card(""Q"", ""Clubs""), Card(""7"", ""Spades""), Card(""10"", ""Spades""), Card(""J"", ""Spades""), Card(""10"", ""Diamonds"")])}",17
18,6,['Madi'],['Callie Calls'],"JH, 10H, AH, QH, KD","{'Madi': Hand([Card(""J"", ""Hearts""), Card(""10"", ""Hearts""), Card(""A"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""K"", ""Diamonds"")])}",18
19,6,['Madi'],['Callie Calls'],"4C, KS, AD, 4H, 10C","{'Madi': Hand([Card(""4"", ""Clubs""), Card(""K"", ""Spades""), Card(""A"", ""Diamonds""), Card(""4"", ""Hearts""), Card(""10"", ""Clubs"")])}",19
20,6,['Madi'],['Callie Calls'],"10H, 6S, JH, 5S, 7H","{'Madi': Hand([Card(""10"", ""Hearts""), Card(""6"", ""Spades""), Card(""J"", ""Hearts""), Card(""5"", ""Spades""), Card(""7"", ""Hearts"")])}",20
21,12,['Madi'],['Callie Calls'],"KS, 8C, 10H, AS, KD","{'Madi': Hand([Card(""K"", ""Spades""), Card(""8"", ""Clubs""), Card(""10"", ""Hearts""), Card(""A"", ""Spades""), Card(""K"", ""Diamonds"")])}",21
22,12,['Madi'],['Callie Calls'],"10D, KS, JS, QH, AD","{'Madi': Hand([Card(""10"", ""Diamonds""), Card(""K"", ""Spades""), Card(""J"", ""Spades""), Card(""Q"", ""Hearts""), Card(""A"", ""Diamonds"")])}",22
23,12,['Madi'],['Callie Calls'],"8C, 8H, QD, 6D, 8S","{'Madi': Hand([Card(""8"", ""Clubs""), Card(""8"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""8"", ""Spades"")])}",23
24,12,['Madi'],['Callie Calls'],"8S, 8H, 4D, 4S, 9S","{'Madi': Hand([Card(""8"", ""Spades""), Card(""8"", ""Hearts""), Card(""4"", ""Diamonds""), Card(""4"", ""Spades""), Card(""9"", ""Spades"")])}",24
25,12,['Madi'],['Callie Calls'],"9C, 8H, KH, 9H, 8C","{'Madi': Hand([Card(""9"", ""Clubs""), Card(""8"", ""Hearts""), Card(""K"", ""Hearts""), Card(""9"", ""Hearts""), Card(""8"", ""Clubs"")])}",25
