,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,623,['Madi'],['Callie Calls'],"10C, QS, KD, 6D, 6S","{'Madi': Hand([Card(""10"", ""Clubs""), Card(""Q"", ""Spades""), Card(""K"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""6"", ""Spades"")]), 'Sophia': Hand([Card(""Q"", ""Spades""), Card(""9"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""6"", ""Spades"")])}",0
1,110,['Steve'],['Robbie Random'],"8C, AD, 8H, AH, 9D","{'Madi': Hand([Card(""9"", ""Spades""), Card(""10"", ""Clubs""), Card(""8"", ""Hearts""), Card(""A"", ""Hearts""), Card(""9"", ""Diamonds"")]), 'Steve': Hand([Card(""8"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""A"", ""Hearts""), Card(""9"", ""Diamonds"")])}",1
2,136,['Madi'],['Callie Calls'],"AH, JH, 9H, JS, JD","{'Madi': Hand([Card(""A"", ""Hearts""), Card(""J"", ""Hearts""), Card(""9"", ""Hearts""), Card(""J"", ""Spades""), Card(""J"", ""Diamonds"")])}",2
3,16,['Madi'],['Callie Calls'],"9S, 6D, 6H, JH, QD","{'Madi': Hand([Card(""9"", ""Spades""), Card(""6"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""J"", ""Hearts""), Card(""Q"", ""Diamonds"")])}",3
4,11,['Madi'],['Callie Calls'],"AH, 9C, QH, KD, 9S","{'Madi': Hand([Card(""A"", ""Hearts""), Card(""9"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""9"", ""Spades"")])}",4
5,40,['Madi'],['Callie Calls'],"9H, 8S, 10H, JH, 7C","{'Madi': Hand([Card(""9"", ""Hearts""), Card(""8"", ""Spades""), Card(""10"", ""Hearts""), Card(""J"", ""Hearts""), Card(""7"", ""Clubs"")])}",5
6,6,['Steve'],['Robbie Random'],"6S, QC, AH, 6C, QS","{'Madi': Hand([Card(""3"", ""Hearts""), Card(""A"", ""Hearts""), Card(""K"", ""Spades""), Card(""3"", ""Clubs""), Card(""Q"", ""Spades"")]), 'Steve': Hand([Card(""6"", ""Spades""), Card(""Q"", ""Clubs""), Card(""A"", ""Hearts""), Card(""6"", ""Clubs""), Card(""Q"", ""Spades"")])}",6
7,37,['Steve'],['Robbie Random'],"2C, 2H, 4S, JD, 4D","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""4"", ""Spades""), Card(""9"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""4"", ""Diamonds"")]), 'Steve': Hand([Card(""2"", ""Clubs""), Card(""2"", ""Hearts""), Card(""4"", ""Spades""), Card(""J"", ""Diamonds""), Card(""4"", ""Diamonds"")])}",7
8,34,['Madi'],['Callie Calls'],"5C, AC, 4C, 3D, 2D","{'Madi': Hand([Card(""5"", ""Clubs""), Card(""A"", ""Clubs""), Card(""4"", ""Clubs""), Card(""3"", ""Diamonds""), Card(""2"", ""Diamonds"")])}",8
9,38,['Madi'],['Callie Calls'],"6S, KH, 4D, QH, JC","{'Madi': Hand([Card(""6"", ""Spades""), Card(""K"", ""Hearts""), Card(""4"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""J"", ""Clubs"")])}",9
10,3,['Madi'],['Callie Calls'],"9D, QH, 8C, 4C, 4H","{'Madi': Hand([Card(""9"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""8"", ""Clubs""), Card(""4"", ""Clubs""), Card(""4"", ""Hearts"")])}",10
11,6,['Madi'],['Callie Calls'],"QC, JC, 6D, KS, 6C","{'Madi': Hand([Card(""Q"", ""Clubs""), Card(""J"", ""Clubs""), Card(""6"", ""Diamonds""), Card(""K"", ""Spades""), Card(""6"", ""Clubs"")])}",11
12,6,['Madi'],['Callie Calls'],"AH, AS, QD, QC, 10H","{'Madi': Hand([Card(""A"", ""Hearts""), Card(""A"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""10"", ""Hearts"")])}",12
13,6,['Madi'],['Callie Calls'],"JS, 7H, 7D, QD, AD","{'Madi': Hand([Card(""J"", ""Spades""), Card(""7"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""A"", ""Diamonds"")])}",13
14,6,['Madi'],['Callie Calls'],"JC, JH, JD, AH, 4H","{'Madi': Hand([Card(""J"", ""Clubs""), Card(""J"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""4"", ""Hearts"")])}",14
15,6,['Madi'],['Callie Calls'],"8D, 10H, QD, QS, KH","{'Madi': Hand([Card(""8"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""K"", ""Hearts"")])}",15
16,6,['Madi'],['Callie Calls'],"QC, AH, 6C, JH, JS","{'Madi': Hand([Card(""Q"", ""Clubs""), Card(""A"", ""Hearts""), Card(""6"", ""Clubs""), Card(""J"", ""Hearts""), Card(""J"", ""Spades"")])}",16
17,6,['Madi'],['Callie Calls'],"AS, KC, AH, QD, JH","{'Madi': Hand([Card(""A"", ""Spades""), Card(""K"", ""Clubs""), Card(""A"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""J"", ""Hearts"")])}",17
18,6,['Madi'],['Callie Calls'],"AD, 5H, AC, KS, 5C","{'Madi': Hand([Card(""A"", ""Diamonds""), Card(""5"", ""Hearts""), Card(""A"", ""Clubs""), Card(""K"", ""Spades""), Card(""5"", ""Clubs"")])}",18
19,6,['Madi'],['Callie Calls'],"QH, 9H, AD, 10S, 8D","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""9"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""10"", ""Spades""), Card(""8"", ""Diamonds"")])}",19
20,6,['Madi'],['Callie Calls'],"KS, 8H, 8D, AC, 10H","{'Madi': Hand([Card(""K"", ""Spades""), Card(""8"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""10"", ""Hearts"")])}",20
21,12,['Madi'],['Callie Calls'],"10H, 9C, KH, QC, 8H","{'Madi': Hand([Card(""10"", ""Hearts""), Card(""9"", ""Clubs""), Card(""K"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""8"", ""Hearts"")])}",21
22,12,['Madi'],['Callie Calls'],"2D, JS, 2H, JC, AS","{'Madi': Hand([Card(""2"", ""Diamonds""), Card(""J"", ""Spades""), Card(""2"", ""Hearts""), Card(""J"", ""Clubs""), Card(""A"", ""Spades"")])}",22
23,12,['Madi'],['Callie Calls'],"2D, KD, 2H, QC, JH","{'Madi': Hand([Card(""2"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""2"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""J"", ""Hearts"")])}",23
24,12,['Madi'],['Callie Calls'],"7H, 8H, 9S, KC, 9D","{'Madi': Hand([Card(""7"", ""Hearts""), Card(""8"", ""Hearts""), Card(""9"", ""Spades""), Card(""K"", ""Clubs""), Card(""9"", ""Diamonds"")])}",24
25,12,['Madi'],['Callie Calls'],"10S, KS, 10H, 10D, KC","{'Madi': Hand([Card(""10"", ""Spades""), Card(""K"", ""Spades""), Card(""10"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""K"", ""Clubs"")])}",25
26,12,['Madi'],['Callie Calls'],"KH, JH, AH, QS, 10D","{'Madi': Hand([Card(""K"", ""Hearts""), Card(""J"", ""Hearts""), Card(""A"", ""Hearts""), Card(""Q"", ""Spades""), Card(""10"", ""Diamonds"")])}",26
27,12,['Madi'],['Callie Calls'],"QD, 8C, 10S, KD, 7H","{'Madi': Hand([Card(""Q"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""10"", ""Spades""), Card(""K"", ""Diamonds""), Card(""7"", ""Hearts"")])}",27
28,12,['Madi'],['Callie Calls'],"8C, 10H, 9H, 10D, KH","{'Madi': Hand([Card(""8"", ""Clubs""), Card(""10"", ""Hearts""), Card(""9"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""K"", ""Hearts"")])}",28
29,12,['Madi'],['Callie Calls'],"AH, KH, KD, JD, QS","{'Madi': Hand([Card(""A"", ""Hearts""), Card(""K"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""Q"", ""Spades"")])}",29
