,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,691,['Madi'],['Callie Calls'],"AC, JS, JD, 5C, 10S","{'Cody': Hand([Card(""7"", ""Hearts""), Card(""5"", ""Spades""), Card(""J"", ""Diamonds""), Card(""5"", ""Clubs""), Card(""10"", ""Spades"")]), 'Madi': Hand([Card(""A"", ""Clubs""), Card(""J"", ""Spades""), Card(""J"", ""Diamonds""), Card(""5"", ""Clubs""), Card(""10"", ""Spades"")]), 'Steve': Hand([Card(""9"", ""Clubs""), Card(""8"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""5"", ""Clubs""), Card(""10"", ""Spades"")]), 'Sophia': Hand([Card(""5"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""5"", ""Clubs""), Card(""10"", ""Spades"")])}",0
1,18,['Madi'],['Callie Calls'],"10H, JS, 10C, 9H, 8D","{'Madi': Hand([Card(""10"", ""Hearts""), Card(""J"", ""Spades""), Card(""10"", ""Clubs""), Card(""9"", ""Hearts""), Card(""8"", ""Diamonds"")])}",1
2,3,['Madi'],['Callie Calls'],"6D, JS, 10C, 9S, JH","{'Madi': Hand([Card(""6"", ""Diamonds""), Card(""J"", ""Spades""), Card(""10"", ""Clubs""), Card(""9"", ""Spades""), Card(""J"", ""Hearts"")])}",2
3,3,['Madi'],['Callie Calls'],"9S, JD, 8S, 6C, KS","{'Madi': Hand([Card(""9"", ""Spades""), Card(""J"", ""Diamonds""), Card(""8"", ""Spades""), Card(""6"", ""Clubs""), Card(""K"", ""Spades"")])}",3
4,3,['Madi'],['Callie Calls'],"8S, 8D, 8C, JH, 8H","{'Madi': Hand([Card(""8"", ""Spades""), Card(""8"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""J"", ""Hearts""), Card(""8"", ""Hearts"")])}",4
5,3,['Madi'],['Callie Calls'],"10D, AD, 10H, 7C, 6H","{'Madi': Hand([Card(""10"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""7"", ""Clubs""), Card(""6"", ""Hearts"")])}",5
6,3,['Madi'],['Callie Calls'],"JH, 2C, 7H, 9D, 2S","{'Madi': Hand([Card(""J"", ""Hearts""), Card(""2"", ""Clubs""), Card(""7"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""2"", ""Spades"")])}",6
7,3,['Madi'],['Callie Calls'],"3D, 10C, 3C, QS, 8D","{'Madi': Hand([Card(""3"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""3"", ""Clubs""), Card(""Q"", ""Spades""), Card(""8"", ""Diamonds"")])}",7
8,3,['Madi'],['Callie Calls'],"9D, 8D, 9S, QD, QC","{'Madi': Hand([Card(""9"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""9"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""Q"", ""Clubs"")])}",8
9,3,['Madi'],['Callie Calls'],"QC, 9D, 9S, KS, 8H","{'Madi': Hand([Card(""Q"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""9"", ""Spades""), Card(""K"", ""Spades""), Card(""8"", ""Hearts"")])}",9
10,3,['Madi'],['Callie Calls'],"QD, 7H, 10H, QS, 7S","{'Madi': Hand([Card(""Q"", ""Diamonds""), Card(""7"", ""Hearts""), Card(""10"", ""Hearts""), Card(""Q"", ""Spades""), Card(""7"", ""Spades"")])}",10
11,6,['Madi'],['Callie Calls'],"8C, KC, JD, 9S, 9H","{'Madi': Hand([Card(""8"", ""Clubs""), Card(""K"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""9"", ""Spades""), Card(""9"", ""Hearts"")])}",11
12,6,['Madi'],['Callie Calls'],"7S, 6C, 7C, QC, QD","{'Madi': Hand([Card(""7"", ""Spades""), Card(""6"", ""Clubs""), Card(""7"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""Q"", ""Diamonds"")])}",12
13,6,['Madi'],['Callie Calls'],"AD, 2S, JC, 2D, 9S","{'Madi': Hand([Card(""A"", ""Diamonds""), Card(""2"", ""Spades""), Card(""J"", ""Clubs""), Card(""2"", ""Diamonds""), Card(""9"", ""Spades"")])}",13
14,6,['Madi'],['Callie Calls'],"3D, 5H, 10H, 5C, 3H","{'Madi': Hand([Card(""3"", ""Diamonds""), Card(""5"", ""Hearts""), Card(""10"", ""Hearts""), Card(""5"", ""Clubs""), Card(""3"", ""Hearts"")])}",14
15,6,['Madi'],['Callie Calls'],"7C, 6D, 9C, 9D, 7S","{'Madi': Hand([Card(""7"", ""Clubs""), Card(""6"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""7"", ""Spades"")])}",15
