,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,503,['Madi'],['Callie Calls'],"AD, 5S, 5C, 5H, 4S","{'Madi': Hand([Card(""A"", ""Diamonds""), Card(""5"", ""Spades""), Card(""5"", ""Clubs""), Card(""5"", ""Hearts""), Card(""4"", ""Spades"")]), 'Sophia': Hand([Card(""6"", ""Diamonds""), Card(""5"", ""Clubs""), Card(""K"", ""Hearts""), Card(""5"", ""Hearts""), Card(""7"", ""Spades"")])}",0
1,133,"['Madi', 'Sophia']","['Callie Calls', 'Callie Calls']","4H, 9S, 9H, 4S, AS","{'Madi': Hand([Card(""4"", ""Hearts""), Card(""9"", ""Spades""), Card(""9"", ""Hearts""), Card(""4"", ""Spades""), Card(""A"", ""Spades"")]), 'Sophia': Hand([Card(""4"", ""Hearts""), Card(""9"", ""Spades""), Card(""9"", ""Hearts""), Card(""4"", ""Spades""), Card(""A"", ""Spades"")])}",1
2,182,['Sophia'],['Callie Calls'],"9H, AC, 8C, 9C, 8H","{'Madi': Hand([Card(""K"", ""Clubs""), Card(""A"", ""Hearts""), Card(""8"", ""Clubs""), Card(""8"", ""Hearts""), Card(""J"", ""Spades"")]), 'Sophia': Hand([Card(""9"", ""Hearts""), Card(""A"", ""Clubs""), Card(""8"", ""Clubs""), Card(""9"", ""Clubs""), Card(""8"", ""Hearts"")])}",2
3,56,['Madi'],['Callie Calls'],"JC, 9S, 5H, 7S, JD","{'Madi': Hand([Card(""J"", ""Clubs""), Card(""9"", ""Spades""), Card(""5"", ""Hearts""), Card(""7"", ""Spades""), Card(""J"", ""Diamonds"")]), 'Sophia': Hand([Card(""Q"", ""Hearts""), Card(""9"", ""Spades""), Card(""5"", ""Hearts""), Card(""7"", ""Spades""), Card(""J"", ""Diamonds"")])}",3
4,17,['Madi'],['Callie Calls'],"JS, 7S, 7H, KH, JC","{'Madi': Hand([Card(""J"", ""Spades""), Card(""7"", ""Spades""), Card(""7"", ""Hearts""), Card(""K"", ""Hearts""), Card(""J"", ""Clubs"")]), 'Sophia': Hand([Card(""Q"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""7"", ""Hearts""), Card(""K"", ""Hearts""), Card(""J"", ""Clubs"")])}",4
5,7,['Sophia'],['Callie Calls'],"9D, 6C, 6D, 9S, AS","{'Madi': Hand([Card(""9"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""9"", ""Spades""), Card(""J"", ""Hearts""), Card(""A"", ""Spades"")]), 'Sophia': Hand([Card(""9"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""6"", ""Diamonds""), Card(""9"", ""Spades""), Card(""A"", ""Spades"")])}",5
6,5,['Sophia'],['Callie Calls'],"QS, 2H, 8H, 2S, KC","{'Madi': Hand([Card(""10"", ""Hearts""), Card(""8"", ""Hearts""), Card(""5"", ""Clubs""), Card(""4"", ""Diamonds""), Card(""K"", ""Clubs"")]), 'Sophia': Hand([Card(""Q"", ""Spades""), Card(""2"", ""Hearts""), Card(""8"", ""Hearts""), Card(""2"", ""Spades""), Card(""K"", ""Clubs"")])}",6
7,6,['Madi'],['Callie Calls'],"KD, AC, QS, 10H, JD","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""Q"", ""Spades""), Card(""10"", ""Hearts""), Card(""J"", ""Diamonds"")]), 'Sophia': Hand([Card(""J"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""10"", ""Hearts""), Card(""8"", ""Clubs"")])}",7
8,5,['Madi'],['Callie Calls'],"QH, QS, 9H, 7H, 7C","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""Q"", ""Spades""), Card(""9"", ""Hearts""), Card(""7"", ""Hearts""), Card(""7"", ""Clubs"")]), 'Sophia': Hand([Card(""9"", ""Spades""), Card(""Q"", ""Spades""), Card(""9"", ""Hearts""), Card(""7"", ""Hearts""), Card(""7"", ""Clubs"")])}",8
9,4,['Sophia'],['Callie Calls'],"JD, 10H, 10C, JH, 10S","{'Madi': Hand([Card(""10"", ""Clubs""), Card(""7"", ""Hearts""), Card(""8"", ""Spades""), Card(""J"", ""Hearts""), Card(""10"", ""Spades"")]), 'Sophia': Hand([Card(""J"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""10"", ""Clubs""), Card(""J"", ""Hearts""), Card(""10"", ""Spades"")])}",9
