,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,456,"['Madi', 'Sophia']","['Callie Calls', 'Callie Calls']","7S, 4D, 5H, 6S, 8C","{'Madi': Hand([Card(""7"", ""Spades""), Card(""4"", ""Diamonds""), Card(""5"", ""Hearts""), Card(""6"", ""Spades""), Card(""8"", ""Clubs"")]), 'Steve': Hand([Card(""2"", ""Clubs""), Card(""4"", ""Diamonds""), Card(""5"", ""Hearts""), Card(""3"", ""Spades""), Card(""6"", ""Spades"")]), 'Sophia': Hand([Card(""7"", ""Diamonds""), Card(""4"", ""Clubs""), Card(""5"", ""Hearts""), Card(""6"", ""Spades""), Card(""8"", ""Clubs"")])}",0
1,380,['Sophia'],['Callie Calls'],"QS, 9C, 9S, 10H, QD","{'Madi': Hand([Card(""A"", ""Spades""), Card(""9"", ""Clubs""), Card(""9"", ""Spades""), Card(""10"", ""Hearts""), Card(""Q"", ""Diamonds"")]), 'Sophia': Hand([Card(""Q"", ""Spades""), Card(""9"", ""Clubs""), Card(""9"", ""Spades""), Card(""10"", ""Hearts""), Card(""Q"", ""Diamonds"")])}",1
2,35,['Sophia'],['Callie Calls'],"6S, QC, AC, 9H, 6H","{'Madi': Hand([Card(""4"", ""Spades""), Card(""7"", ""Hearts""), Card(""4"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""9"", ""Hearts"")]), 'Sophia': Hand([Card(""6"", ""Spades""), Card(""Q"", ""Clubs""), Card(""A"", ""Clubs""), Card(""9"", ""Hearts""), Card(""6"", ""Hearts"")])}",2
3,16,['Madi'],['Callie Calls'],"AS, 4H, 5S, 2S, 3D","{'Madi': Hand([Card(""A"", ""Spades""), Card(""4"", ""Hearts""), Card(""5"", ""Spades""), Card(""2"", ""Spades""), Card(""3"", ""Diamonds"")]), 'Sophia': Hand([Card(""Q"", ""Spades""), Card(""10"", ""Hearts""), Card(""5"", ""Spades""), Card(""K"", ""Diamonds""), Card(""10"", ""Diamonds"")])}",3
4,6,['Madi'],['Callie Calls'],"10H, QC, AD, 6C, 6D","{'Madi': Hand([Card(""10"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""6"", ""Diamonds"")]), 'Sophia': Hand([Card(""9"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""6"", ""Diamonds"")])}",4
5,34,['Madi'],['Callie Calls'],"6H, 6D, KC, 5C, 5D","{'Madi': Hand([Card(""6"", ""Hearts""), Card(""6"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""5"", ""Clubs""), Card(""5"", ""Diamonds"")]), 'Sophia': Hand([Card(""10"", ""Clubs""), Card(""6"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""5"", ""Clubs""), Card(""5"", ""Diamonds"")])}",5
6,18,['Madi'],['Callie Calls'],"KD, 7D, 10H, KC, QH","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""K"", ""Clubs""), Card(""Q"", ""Hearts"")]), 'Sophia': Hand([Card(""10"", ""Spades""), Card(""9"", ""Hearts""), Card(""10"", ""Hearts""), Card(""K"", ""Clubs""), Card(""Q"", ""Hearts"")])}",6
7,5,['Sophia'],['Callie Calls'],"7S, JS, KC, 10D, 7D","{'Madi': Hand([Card(""4"", ""Hearts""), Card(""6"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""7"", ""Diamonds"")]), 'Sophia': Hand([Card(""7"", ""Spades""), Card(""J"", ""Spades""), Card(""K"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""7"", ""Diamonds"")])}",7
8,11,['Madi'],['Callie Calls'],"6C, AD, 6D, 6H, 4D","{'Madi': Hand([Card(""6"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""4"", ""Diamonds"")]), 'Sophia': Hand([Card(""J"", ""Spades""), Card(""6"", ""Diamonds""), Card(""8"", ""Spades""), Card(""6"", ""Hearts""), Card(""J"", ""Clubs"")])}",8
9,5,['Madi'],['Callie Calls'],"KH, 10C, QD, KS, JH","{'Madi': Hand([Card(""K"", ""Hearts""), Card(""10"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""K"", ""Spades""), Card(""J"", ""Hearts"")]), 'Sophia': Hand([Card(""2"", ""Clubs""), Card(""2"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""K"", ""Spades""), Card(""J"", ""Hearts"")])}",9
10,4,['Sophia'],['Callie Calls'],"JC, KH, QH, AC, 10C","{'Madi': Hand([Card(""6"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""A"", ""Clubs""), Card(""10"", ""Clubs""), Card(""7"", ""Clubs"")]), 'Sophia': Hand([Card(""J"", ""Clubs""), Card(""K"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""A"", ""Clubs""), Card(""10"", ""Clubs"")])}",10
11,12,['Sophia'],['Callie Calls'],"10C, AH, 9H, 9D, 10H","{'Madi': Hand([Card(""A"", ""Hearts""), Card(""9"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""10"", ""Hearts"")]), 'Sophia': Hand([Card(""10"", ""Clubs""), Card(""A"", ""Hearts""), Card(""9"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""10"", ""Hearts"")])}",11
12,10,['Sophia'],['Callie Calls'],"10C, 10D, 8D, 8S, AH","{'Madi': Hand([Card(""5"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""8"", ""Spades""), Card(""6"", ""Spades""), Card(""A"", ""Hearts"")]), 'Sophia': Hand([Card(""10"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""8"", ""Spades""), Card(""A"", ""Hearts"")])}",12
13,8,['Sophia'],['Callie Calls'],"4C, QH, 9D, 4S, 7C","{'Madi': Hand([Card(""10"", ""Diamonds""), Card(""J"", ""Spades""), Card(""9"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""5"", ""Diamonds"")]), 'Sophia': Hand([Card(""4"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""4"", ""Spades""), Card(""7"", ""Clubs"")])}",13
14,12,['Sophia'],['Callie Calls'],"8C, AH, KC, 8D, 9H","{'Madi': Hand([Card(""J"", ""Spades""), Card(""10"", ""Clubs""), Card(""K"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""9"", ""Hearts"")]), 'Sophia': Hand([Card(""8"", ""Clubs""), Card(""A"", ""Hearts""), Card(""K"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""9"", ""Hearts"")])}",14
15,10,['Sophia'],['Callie Calls'],"AC, 9D, 9H, AH, QH","{'Madi': Hand([Card(""K"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""A"", ""Hearts""), Card(""Q"", ""Hearts"")]), 'Sophia': Hand([Card(""A"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""A"", ""Hearts""), Card(""Q"", ""Hearts"")])}",15
16,8,['Madi'],['Callie Calls'],"3C, 3H, QD, 3D, 5H","{'Madi': Hand([Card(""3"", ""Clubs""), Card(""3"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""3"", ""Diamonds""), Card(""5"", ""Hearts"")]), 'Sophia': Hand([Card(""Q"", ""Spades""), Card(""9"", ""Clubs""), Card(""10"", ""Spades""), Card(""8"", ""Hearts""), Card(""Q"", ""Diamonds"")])}",16
17,12,['Sophia'],['Callie Calls'],"KD, JH, JD, KS, AS","{'Madi': Hand([Card(""J"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""K"", ""Spades""), Card(""A"", ""Spades"")]), 'Sophia': Hand([Card(""K"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""K"", ""Spades""), Card(""A"", ""Spades"")])}",17
18,10,['Madi'],['Callie Calls'],"10D, JH, JS, KS, 6C","{'Madi': Hand([Card(""10"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""J"", ""Spades""), Card(""K"", ""Spades""), Card(""6"", ""Clubs"")]), 'Sophia': Hand([Card(""A"", ""Diamonds""), Card(""A"", ""Spades""), Card(""J"", ""Spades""), Card(""K"", ""Spades""), Card(""6"", ""Clubs"")])}",18
19,8,['Sophia'],['Callie Calls'],"AS, 3D, QD, 10S, 3C","{'Madi': Hand([Card(""A"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""10"", ""Spades""), Card(""7"", ""Spades"")]), 'Sophia': Hand([Card(""A"", ""Spades""), Card(""3"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""10"", ""Spades""), Card(""3"", ""Clubs"")])}",19
20,12,['Sophia'],['Callie Calls'],"JD, QH, JC, QD, 7H","{'Madi': Hand([Card(""4"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""7"", ""Hearts"")]), 'Sophia': Hand([Card(""J"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""J"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""7"", ""Hearts"")])}",20
21,20,['Madi'],['Callie Calls'],"6D, 10H, 10C, 6H, AC","{'Madi': Hand([Card(""6"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""10"", ""Clubs""), Card(""6"", ""Hearts""), Card(""A"", ""Clubs"")]), 'Sophia': Hand([Card(""K"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""10"", ""Clubs""), Card(""6"", ""Hearts""), Card(""A"", ""Clubs"")])}",21
22,16,['Sophia'],['Callie Calls'],"2S, KH, AD, 2D, 7C","{'Madi': Hand([Card(""10"", ""Spades""), Card(""10"", ""Clubs""), Card(""K"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""7"", ""Clubs"")]), 'Sophia': Hand([Card(""2"", ""Spades""), Card(""K"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""2"", ""Diamonds""), Card(""7"", ""Clubs"")])}",22
23,24,['Madi'],['Callie Calls'],"QD, 9C, 8C, JH, QS","{'Madi': Hand([Card(""Q"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""8"", ""Clubs""), Card(""J"", ""Hearts""), Card(""Q"", ""Spades"")]), 'Sophia': Hand([Card(""4"", ""Diamonds""), Card(""4"", ""Spades""), Card(""8"", ""Clubs""), Card(""J"", ""Hearts""), Card(""Q"", ""Spades"")])}",23
24,20,['Madi'],['Callie Calls'],"7S, KH, KS, AH, 7C","{'Madi': Hand([Card(""7"", ""Spades""), Card(""K"", ""Hearts""), Card(""K"", ""Spades""), Card(""A"", ""Hearts""), Card(""7"", ""Clubs"")]), 'Sophia': Hand([Card(""10"", ""Clubs""), Card(""K"", ""Hearts""), Card(""K"", ""Spades""), Card(""A"", ""Hearts""), Card(""7"", ""Clubs"")])}",24
25,16,['Madi'],['Callie Calls'],"KH, 9D, QH, 9C, 10H","{'Madi': Hand([Card(""K"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""9"", ""Clubs""), Card(""10"", ""Hearts"")]), 'Sophia': Hand([Card(""J"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""9"", ""Clubs""), Card(""10"", ""Hearts"")])}",25
26,24,['Madi'],['Callie Calls'],"8S, 8D, 6S, 5C, 10D","{'Madi': Hand([Card(""8"", ""Spades""), Card(""8"", ""Diamonds""), Card(""6"", ""Spades""), Card(""5"", ""Clubs""), Card(""10"", ""Diamonds"")]), 'Sophia': Hand([Card(""J"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""6"", ""Spades""), Card(""5"", ""Clubs""), Card(""10"", ""Diamonds"")])}",26
27,20,['Sophia'],['Callie Calls'],"5S, 9D, 7C, 7H, 9C","{'Madi': Hand([Card(""4"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""7"", ""Hearts""), Card(""9"", ""Clubs"")]), 'Sophia': Hand([Card(""5"", ""Spades""), Card(""9"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""7"", ""Hearts""), Card(""9"", ""Clubs"")])}",27
28,16,['Sophia'],['Callie Calls'],"JC, QH, JH, JS, JD","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""J"", ""Hearts""), Card(""J"", ""Spades""), Card(""J"", ""Diamonds""), Card(""10"", ""Spades"")]), 'Sophia': Hand([Card(""J"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""J"", ""Hearts""), Card(""J"", ""Spades""), Card(""J"", ""Diamonds"")])}",28
