,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,508,['Madi'],['Callie Calls'],"9H, AH, JS, AS, KC","{'Madi': Hand([Card(""9"", ""Hearts""), Card(""A"", ""Hearts""), Card(""J"", ""Spades""), Card(""A"", ""Spades""), Card(""K"", ""Clubs"")]), 'Sophia': Hand([Card(""5"", ""Hearts""), Card(""J"", ""Spades""), Card(""5"", ""Diamonds""), Card(""A"", ""Spades""), Card(""K"", ""Clubs"")])}",0
1,135,['Madi'],['Callie Calls'],"3D, 7S, 4S, 5D, 6D","{'Madi': Hand([Card(""3"", ""Diamonds""), Card(""7"", ""Spades""), Card(""4"", ""Spades""), Card(""5"", ""Diamonds""), Card(""6"", ""Diamonds"")]), 'Steve': Hand([Card(""Q"", ""Spades""), Card(""J"", ""Clubs""), Card(""K"", ""Spades""), Card(""10"", ""Spades""), Card(""6"", ""Diamonds"")]), 'Sophia': Hand([Card(""6"", ""Spades""), Card(""9"", ""Hearts""), Card(""K"", ""Spades""), Card(""10"", ""Spades""), Card(""6"", ""Diamonds"")])}",1
2,15,['Madi'],['Callie Calls'],"10S, 8H, QH, AC, JH","{'Madi': Hand([Card(""10"", ""Spades""), Card(""8"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""A"", ""Clubs""), Card(""J"", ""Hearts"")])}",2
3,5,['Madi'],['Callie Calls'],"5D, 5H, 10C, 5S, 10S","{'Madi': Hand([Card(""5"", ""Diamonds""), Card(""5"", ""Hearts""), Card(""10"", ""Clubs""), Card(""5"", ""Spades""), Card(""10"", ""Spades"")])}",3
4,183,"['Cody', 'Madi']","['Robbie Random', 'Callie Calls']","8S, KD, 8H, 10D, 8D","{'Cody': Hand([Card(""8"", ""Spades""), Card(""K"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""8"", ""Diamonds"")]), 'Madi': Hand([Card(""8"", ""Spades""), Card(""K"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""8"", ""Diamonds"")])}",4
5,96,['Madi'],['Callie Calls'],"9C, 10D, 8C, 7S, 6C","{'Madi': Hand([Card(""9"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""7"", ""Spades""), Card(""6"", ""Clubs"")])}",5
6,6,['Madi'],['Callie Calls'],"6C, 10C, QD, QH, 8S","{'Madi': Hand([Card(""6"", ""Clubs""), Card(""10"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""8"", ""Spades"")])}",6
7,3,['Madi'],['Callie Calls'],"AH, 10D, 2H, 2C, 7C","{'Madi': Hand([Card(""A"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""2"", ""Hearts""), Card(""2"", ""Clubs""), Card(""7"", ""Clubs"")])}",7
8,3,['Madi'],['Callie Calls'],"8H, 9C, JS, JH, 7D","{'Madi': Hand([Card(""8"", ""Hearts""), Card(""9"", ""Clubs""), Card(""J"", ""Spades""), Card(""J"", ""Hearts""), Card(""7"", ""Diamonds"")])}",8
9,64,['Cody'],['Robbie Random'],"5C, 7H, 6C, 4D, 8C","{'Cody': Hand([Card(""5"", ""Clubs""), Card(""7"", ""Hearts""), Card(""6"", ""Clubs""), Card(""4"", ""Diamonds""), Card(""8"", ""Clubs"")]), 'Madi': Hand([Card(""8"", ""Diamonds""), Card(""7"", ""Hearts""), Card(""6"", ""Clubs""), Card(""6"", ""Hearts""), Card(""8"", ""Clubs"")])}",9
10,3,['Madi'],['Callie Calls'],"7C, AH, JC, JS, 7H","{'Madi': Hand([Card(""7"", ""Clubs""), Card(""A"", ""Hearts""), Card(""J"", ""Clubs""), Card(""J"", ""Spades""), Card(""7"", ""Hearts"")])}",10
11,58,['Madi'],['Callie Calls'],"KD, JD, 5D, 5H, 8H","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""5"", ""Diamonds""), Card(""5"", ""Hearts""), Card(""8"", ""Hearts"")])}",11
12,12,['Madi'],['Callie Calls'],"JS, JH, AC, KH, 10S","{'Madi': Hand([Card(""J"", ""Spades""), Card(""J"", ""Hearts""), Card(""A"", ""Clubs""), Card(""K"", ""Hearts""), Card(""10"", ""Spades"")])}",12
13,6,['Madi'],['Callie Calls'],"2D, 5D, 7D, JD, 4D","{'Madi': Hand([Card(""2"", ""Diamonds""), Card(""5"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""4"", ""Diamonds"")])}",13
14,14,['Madi'],['Callie Calls'],"9C, 8H, 5C, 6D, 7D","{'Madi': Hand([Card(""9"", ""Clubs""), Card(""8"", ""Hearts""), Card(""5"", ""Clubs""), Card(""6"", ""Diamonds""), Card(""7"", ""Diamonds"")])}",14
15,38,['Madi'],['Callie Calls'],"8C, 6S, QD, AD, 6H","{'Madi': Hand([Card(""8"", ""Clubs""), Card(""6"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""6"", ""Hearts"")])}",15
16,6,['Madi'],['Callie Calls'],"4D, 6D, 2C, 3S, 5D","{'Madi': Hand([Card(""4"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""2"", ""Clubs""), Card(""3"", ""Spades""), Card(""5"", ""Diamonds"")])}",16
17,12,['Madi'],['Callie Calls'],"9H, 10C, 7H, 8H, JS","{'Cody': Hand([Card(""A"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""A"", ""Spades""), Card(""8"", ""Hearts""), Card(""J"", ""Spades"")]), 'Madi': Hand([Card(""9"", ""Hearts""), Card(""10"", ""Clubs""), Card(""7"", ""Hearts""), Card(""8"", ""Hearts""), Card(""J"", ""Spades"")])}",17
18,6,['Madi'],['Callie Calls'],"4D, 3H, QS, 3S, 4S","{'Madi': Hand([Card(""4"", ""Diamonds""), Card(""3"", ""Hearts""), Card(""Q"", ""Spades""), Card(""3"", ""Spades""), Card(""4"", ""Spades"")])}",18
19,6,['Madi'],['Callie Calls'],"3C, 5S, KC, 3D, 5C","{'Madi': Hand([Card(""3"", ""Clubs""), Card(""5"", ""Spades""), Card(""K"", ""Clubs""), Card(""3"", ""Diamonds""), Card(""5"", ""Clubs"")])}",19
