,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,594,['Sophia'],['Callie Calls'],"JD, JH, AD, 6D, 7C","{'Madi': Hand([Card(""10"", ""Diamonds""), Card(""8"", ""Spades""), Card(""A"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""7"", ""Clubs"")]), 'Michelle': Hand([Card(""K"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""7"", ""Clubs"")]), 'Steve': Hand([Card(""5"", ""Hearts""), Card(""9"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""5"", ""Spades""), Card(""7"", ""Clubs"")]), 'Sophia': Hand([Card(""J"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""7"", ""Clubs"")])}",0
1,167,['Sophia'],['Callie Calls'],"5S, 9S, KS, 8S, JS","{'Sophia': Hand([Card(""5"", ""Spades""), Card(""9"", ""Spades""), Card(""K"", ""Spades""), Card(""8"", ""Spades""), Card(""J"", ""Spades"")])}",1
2,26,['Sophia'],['Callie Calls'],"7D, KS, 6C, AD, 7S","{'Sophia': Hand([Card(""7"", ""Diamonds""), Card(""K"", ""Spades""), Card(""6"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""7"", ""Spades"")])}",2
3,10,['Sophia'],['Callie Calls'],"9S, 8C, 10C, 10S, QC","{'Sophia': Hand([Card(""9"", ""Spades""), Card(""8"", ""Clubs""), Card(""10"", ""Clubs""), Card(""10"", ""Spades""), Card(""Q"", ""Clubs"")])}",3
4,3,['Sophia'],['Callie Calls'],"4C, QC, KH, JD, 4D","{'Sophia': Hand([Card(""4"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""K"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""4"", ""Diamonds"")])}",4
5,3,['Sophia'],['Callie Calls'],"KH, 8H, 9C, KS, QS","{'Sophia': Hand([Card(""K"", ""Hearts""), Card(""8"", ""Hearts""), Card(""9"", ""Clubs""), Card(""K"", ""Spades""), Card(""Q"", ""Spades"")])}",5
6,3,['Sophia'],['Callie Calls'],"10D, JD, QD, QH, KH","{'Sophia': Hand([Card(""10"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""K"", ""Hearts"")])}",6
7,3,['Sophia'],['Callie Calls'],"10H, 8C, AC, 8D, 9H","{'Sophia': Hand([Card(""10"", ""Hearts""), Card(""8"", ""Clubs""), Card(""A"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""9"", ""Hearts"")])}",7
8,3,['Sophia'],['Callie Calls'],"7D, 8C, JS, 7H, 9H","{'Sophia': Hand([Card(""7"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""J"", ""Spades""), Card(""7"", ""Hearts""), Card(""9"", ""Hearts"")])}",8
9,3,['Sophia'],['Callie Calls'],"2D, 3C, 10C, 2S, 3H","{'Sophia': Hand([Card(""2"", ""Diamonds""), Card(""3"", ""Clubs""), Card(""10"", ""Clubs""), Card(""2"", ""Spades""), Card(""3"", ""Hearts"")])}",9
10,3,['Sophia'],['Callie Calls'],"QH, JH, 8S, JS, 10H","{'Sophia': Hand([Card(""Q"", ""Hearts""), Card(""J"", ""Hearts""), Card(""8"", ""Spades""), Card(""J"", ""Spades""), Card(""10"", ""Hearts"")])}",10
11,6,['Sophia'],['Callie Calls'],"QC, QH, QD, KC, 6C","{'Sophia': Hand([Card(""Q"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""6"", ""Clubs"")])}",11
12,6,['Sophia'],['Callie Calls'],"KC, 9D, 8C, AD, 5C","{'Sophia': Hand([Card(""K"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""5"", ""Clubs"")])}",12
13,6,['Sophia'],['Callie Calls'],"JH, KC, 6H, 7D, 7S","{'Sophia': Hand([Card(""J"", ""Hearts""), Card(""K"", ""Clubs""), Card(""6"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""7"", ""Spades"")])}",13
14,6,['Sophia'],['Callie Calls'],"AS, 5S, AH, 10H, 7H","{'Sophia': Hand([Card(""A"", ""Spades""), Card(""5"", ""Spades""), Card(""A"", ""Hearts""), Card(""10"", ""Hearts""), Card(""7"", ""Hearts"")])}",14
15,6,['Sophia'],['Callie Calls'],"8D, AD, 9D, 10D, 3D","{'Sophia': Hand([Card(""8"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""3"", ""Diamonds"")])}",15
16,6,['Sophia'],['Callie Calls'],"AH, KH, 10C, 10S, QH","{'Sophia': Hand([Card(""A"", ""Hearts""), Card(""K"", ""Hearts""), Card(""10"", ""Clubs""), Card(""10"", ""Spades""), Card(""Q"", ""Hearts"")])}",16
17,6,['Sophia'],['Callie Calls'],"5H, JD, 7D, KC, 8C","{'Sophia': Hand([Card(""5"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""8"", ""Clubs"")])}",17
18,6,['Sophia'],['Callie Calls'],"AH, 4D, JH, 4H, AS","{'Sophia': Hand([Card(""A"", ""Hearts""), Card(""4"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""4"", ""Hearts""), Card(""A"", ""Spades"")])}",18
19,6,['Sophia'],['Callie Calls'],"JH, QC, AS, JC, 7C","{'Sophia': Hand([Card(""J"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""A"", ""Spades""), Card(""J"", ""Clubs""), Card(""7"", ""Clubs"")])}",19
20,6,['Sophia'],['Callie Calls'],"QH, 9C, KH, 7D, AD","{'Sophia': Hand([Card(""Q"", ""Hearts""), Card(""9"", ""Clubs""), Card(""K"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""A"", ""Diamonds"")])}",20
21,12,['Sophia'],['Callie Calls'],"KH, 7C, AH, 8S, 5C","{'Sophia': Hand([Card(""K"", ""Hearts""), Card(""7"", ""Clubs""), Card(""A"", ""Hearts""), Card(""8"", ""Spades""), Card(""5"", ""Clubs"")])}",21
22,12,['Sophia'],['Callie Calls'],"8D, KD, AC, 10S, 7D","{'Sophia': Hand([Card(""8"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""10"", ""Spades""), Card(""7"", ""Diamonds"")])}",22
23,12,['Sophia'],['Callie Calls'],"2C, JH, 2D, KD, 10H","{'Sophia': Hand([Card(""2"", ""Clubs""), Card(""J"", ""Hearts""), Card(""2"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""10"", ""Hearts"")])}",23
24,12,['Sophia'],['Callie Calls'],"3C, 4H, AC, 5S, 2C","{'Sophia': Hand([Card(""3"", ""Clubs""), Card(""4"", ""Hearts""), Card(""A"", ""Clubs""), Card(""5"", ""Spades""), Card(""2"", ""Clubs"")])}",24
25,12,['Sophia'],['Callie Calls'],"9S, 7S, QS, 10D, QC","{'Sophia': Hand([Card(""9"", ""Spades""), Card(""7"", ""Spades""), Card(""Q"", ""Spades""), Card(""10"", ""Diamonds""), Card(""Q"", ""Clubs"")])}",25
26,12,['Sophia'],['Callie Calls'],"8H, 9H, QC, JC, 7D","{'Sophia': Hand([Card(""8"", ""Hearts""), Card(""9"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""J"", ""Clubs""), Card(""7"", ""Diamonds"")])}",26
27,12,['Sophia'],['Callie Calls'],"4S, 4H, 6C, JH, 10S","{'Sophia': Hand([Card(""4"", ""Spades""), Card(""4"", ""Hearts""), Card(""6"", ""Clubs""), Card(""J"", ""Hearts""), Card(""10"", ""Spades"")])}",27
28,12,['Sophia'],['Callie Calls'],"5S, 10C, 5H, AS, 9S","{'Sophia': Hand([Card(""5"", ""Spades""), Card(""10"", ""Clubs""), Card(""5"", ""Hearts""), Card(""A"", ""Spades""), Card(""9"", ""Spades"")])}",28
29,12,['Sophia'],['Callie Calls'],"9H, QC, AC, QH, JH","{'Sophia': Hand([Card(""9"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""A"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""J"", ""Hearts"")])}",29
