,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,518,['Michelle'],['Robbie Random'],"6S, 8H, 6D, AD, 8C","{'Madi': Hand([Card(""6"", ""Hearts""), Card(""K"", ""Spades""), Card(""6"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""8"", ""Clubs"")]), 'Michelle': Hand([Card(""6"", ""Spades""), Card(""8"", ""Hearts""), Card(""6"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""8"", ""Clubs"")]), 'Sophia': Hand([Card(""A"", ""Clubs""), Card(""K"", ""Spades""), Card(""6"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""8"", ""Clubs"")])}",0
1,466,['Madi'],['Callie Calls'],"7H, QH, 9H, 8H, 5H","{'Cody': Hand([Card(""J"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""8"", ""Hearts"")]), 'Madi': Hand([Card(""7"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""9"", ""Hearts""), Card(""8"", ""Hearts""), Card(""5"", ""Hearts"")])}",1
2,73,['Madi'],['Callie Calls'],"JD, KH, JH, JC, 10D","{'Madi': Hand([Card(""J"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""J"", ""Hearts""), Card(""J"", ""Clubs""), Card(""10"", ""Diamonds"")])}",2
3,6,['Madi'],['Callie Calls'],"AS, 3H, 8H, 3C, QS","{'Madi': Hand([Card(""A"", ""Spades""), Card(""3"", ""Hearts""), Card(""8"", ""Hearts""), Card(""3"", ""Clubs""), Card(""Q"", ""Spades"")])}",3
4,251,['Madi'],['Callie Calls'],"AD, 5D, 5S, JH, KS","{'Madi': Hand([Card(""A"", ""Diamonds""), Card(""5"", ""Diamonds""), Card(""5"", ""Spades""), Card(""J"", ""Hearts""), Card(""K"", ""Spades"")]), 'Michelle': Hand([Card(""3"", ""Hearts""), Card(""8"", ""Clubs""), Card(""J"", ""Hearts""), Card(""3"", ""Clubs""), Card(""K"", ""Spades"")])}",4
5,4,['Madi'],['Callie Calls'],"3C, 6S, 5D, 7C, 4H","{'Madi': Hand([Card(""3"", ""Clubs""), Card(""6"", ""Spades""), Card(""5"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""4"", ""Hearts"")])}",5
6,136,['Madi'],['Callie Calls'],"JC, KS, 8S, AD, 5S","{'Madi': Hand([Card(""J"", ""Clubs""), Card(""K"", ""Spades""), Card(""8"", ""Spades""), Card(""A"", ""Diamonds""), Card(""5"", ""Spades"")])}",6
7,3,['Madi'],['Callie Calls'],"4C, KC, 9D, QD, 9H","{'Madi': Hand([Card(""4"", ""Clubs""), Card(""K"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""9"", ""Hearts"")])}",7
8,3,['Madi'],['Callie Calls'],"AH, QD, 4H, KS, 4S","{'Madi': Hand([Card(""A"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""4"", ""Hearts""), Card(""K"", ""Spades""), Card(""4"", ""Spades"")])}",8
9,3,['Madi'],['Callie Calls'],"KH, 4H, 4D, AH, 10S","{'Madi': Hand([Card(""K"", ""Hearts""), Card(""4"", ""Hearts""), Card(""4"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""10"", ""Spades"")])}",9
10,3,['Madi'],['Callie Calls'],"QC, 9D, 9C, QH, AD","{'Madi': Hand([Card(""Q"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""A"", ""Diamonds"")])}",10
11,6,['Madi'],['Callie Calls'],"QS, AS, 9C, JD, JH","{'Madi': Hand([Card(""Q"", ""Spades""), Card(""A"", ""Spades""), Card(""9"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""J"", ""Hearts"")])}",11
12,6,['Madi'],['Callie Calls'],"KS, 8H, QH, 7C, JC","{'Madi': Hand([Card(""K"", ""Spades""), Card(""8"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""7"", ""Clubs""), Card(""J"", ""Clubs"")])}",12
13,6,['Madi'],['Callie Calls'],"QH, JH, QD, AD, 8D","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""J"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""8"", ""Diamonds"")])}",13
