,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,691,['Sophia'],['Callie Calls'],"8S, QS, 8C, 5S, 5H","{'Madi': Hand([Card(""A"", ""Clubs""), Card(""8"", ""Clubs""), Card(""5"", ""Spades""), Card(""10"", ""Clubs""), Card(""5"", ""Hearts"")]), 'Sophia': Hand([Card(""8"", ""Spades""), Card(""Q"", ""Spades""), Card(""8"", ""Clubs""), Card(""5"", ""Spades""), Card(""5"", ""Hearts"")])}",0
1,15,['Sophia'],['Callie Calls'],"AD, 6D, 10D, 5H, QC","{'Sophia': Hand([Card(""A"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""5"", ""Hearts""), Card(""Q"", ""Clubs"")])}",1
2,3,['Sophia'],['Callie Calls'],"7H, QD, 5S, 10S, 9D","{'Sophia': Hand([Card(""7"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""5"", ""Spades""), Card(""10"", ""Spades""), Card(""9"", ""Diamonds"")])}",2
3,4,['Sophia'],['Callie Calls'],"3H, 5C, 2C, AD, 4H","{'Sophia': Hand([Card(""3"", ""Hearts""), Card(""5"", ""Clubs""), Card(""2"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""4"", ""Hearts"")])}",3
4,3,['Sophia'],['Callie Calls'],"4C, 10S, 8D, 9H, 9D","{'Sophia': Hand([Card(""4"", ""Clubs""), Card(""10"", ""Spades""), Card(""8"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""9"", ""Diamonds"")])}",4
5,3,['Sophia'],['Callie Calls'],"7C, 3S, 5D, 4C, 6C","{'Sophia': Hand([Card(""7"", ""Clubs""), Card(""3"", ""Spades""), Card(""5"", ""Diamonds""), Card(""4"", ""Clubs""), Card(""6"", ""Clubs"")])}",5
6,3,['Sophia'],['Callie Calls'],"QS, 10S, 4S, QD, 4C","{'Sophia': Hand([Card(""Q"", ""Spades""), Card(""10"", ""Spades""), Card(""4"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""4"", ""Clubs"")])}",6
7,3,['Sophia'],['Callie Calls'],"3H, 3D, 3C, QH, 9D","{'Sophia': Hand([Card(""3"", ""Hearts""), Card(""3"", ""Diamonds""), Card(""3"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""9"", ""Diamonds"")])}",7
8,3,['Sophia'],['Callie Calls'],"AD, 3S, 5S, 3D, 5C","{'Sophia': Hand([Card(""A"", ""Diamonds""), Card(""3"", ""Spades""), Card(""5"", ""Spades""), Card(""3"", ""Diamonds""), Card(""5"", ""Clubs"")])}",8
9,3,['Sophia'],['Callie Calls'],"2D, QC, 3S, 2H, 3C","{'Sophia': Hand([Card(""2"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""3"", ""Spades""), Card(""2"", ""Hearts""), Card(""3"", ""Clubs"")])}",9
10,3,['Sophia'],['Callie Calls'],"10S, 10C, KC, 10D, 10H","{'Sophia': Hand([Card(""10"", ""Spades""), Card(""10"", ""Clubs""), Card(""K"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""10"", ""Hearts"")])}",10
11,6,['Sophia'],['Callie Calls'],"QD, 7D, 7H, AC, 10H","{'Sophia': Hand([Card(""Q"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""7"", ""Hearts""), Card(""A"", ""Clubs""), Card(""10"", ""Hearts"")])}",11
