,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,441,['Sophia'],['Callie Calls'],"5S, 5C, 9H, AD, 9S","{'Madi': Hand([Card(""7"", ""Diamonds""), Card(""K"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""9"", ""Spades"")]), 'Sophia': Hand([Card(""5"", ""Spades""), Card(""5"", ""Clubs""), Card(""9"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""9"", ""Spades"")])}",0
1,122,['Sophia'],['Callie Calls'],"6C, 3S, KS, 6H, 3D","{'Cody': Hand([Card(""J"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""K"", ""Spades""), Card(""J"", ""Spades""), Card(""10"", ""Hearts"")]), 'Madi': Hand([Card(""A"", ""Spades""), Card(""K"", ""Diamonds""), Card(""K"", ""Spades""), Card(""J"", ""Spades""), Card(""10"", ""Hearts"")]), 'Sophia': Hand([Card(""6"", ""Clubs""), Card(""3"", ""Spades""), Card(""K"", ""Spades""), Card(""6"", ""Hearts""), Card(""3"", ""Diamonds"")])}",1
2,26,['Sophia'],['Callie Calls'],"2D, 8S, KH, AD, 2S","{'Sophia': Hand([Card(""2"", ""Diamonds""), Card(""8"", ""Spades""), Card(""K"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""2"", ""Spades"")])}",2
3,99,['Sophia'],['Callie Calls'],"5C, 5H, 8H, 8D, KD","{'Sophia': Hand([Card(""5"", ""Clubs""), Card(""5"", ""Hearts""), Card(""8"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""K"", ""Diamonds"")])}",3
4,198,['Michelle'],['Robbie Random'],"JC, 5C, 5S, 10H, 10C","{'Michelle': Hand([Card(""J"", ""Clubs""), Card(""5"", ""Clubs""), Card(""5"", ""Spades""), Card(""10"", ""Hearts""), Card(""10"", ""Clubs"")]), 'Sophia': Hand([Card(""A"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""10"", ""Clubs"")])}",4
5,5,['Sophia'],['Callie Calls'],"QD, AC, AS, 9S, 8C","{'Sophia': Hand([Card(""Q"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""A"", ""Spades""), Card(""9"", ""Spades""), Card(""8"", ""Clubs"")])}",5
6,3,['Sophia'],['Callie Calls'],"KD, 9H, KS, 8D, 10C","{'Sophia': Hand([Card(""K"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""K"", ""Spades""), Card(""8"", ""Diamonds""), Card(""10"", ""Clubs"")])}",6
7,4,['Sophia'],['Callie Calls'],"KS, 7S, 6S, AS, 10S","{'Sophia': Hand([Card(""K"", ""Spades""), Card(""7"", ""Spades""), Card(""6"", ""Spades""), Card(""A"", ""Spades""), Card(""10"", ""Spades"")])}",7
8,331,['Michelle'],['Robbie Random'],"QH, 8H, QD, 8C, 7S","{'Michelle': Hand([Card(""Q"", ""Hearts""), Card(""8"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""7"", ""Spades"")]), 'Sophia': Hand([Card(""8"", ""Hearts""), Card(""6"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""7"", ""Spades"")])}",8
9,3,['Sophia'],['Callie Calls'],"8D, 4D, 5H, 7D, 6D","{'Sophia': Hand([Card(""8"", ""Diamonds""), Card(""4"", ""Diamonds""), Card(""5"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""6"", ""Diamonds"")])}",9
10,626,['Sophia'],['Callie Calls'],"KH, AS, KC, 3D, 3C","{'Sophia': Hand([Card(""K"", ""Hearts""), Card(""A"", ""Spades""), Card(""K"", ""Clubs""), Card(""3"", ""Diamonds""), Card(""3"", ""Clubs"")])}",10
11,6,['Sophia'],['Callie Calls'],"KH, QD, KS, JS, JD","{'Sophia': Hand([Card(""K"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""K"", ""Spades""), Card(""J"", ""Spades""), Card(""J"", ""Diamonds"")])}",11
12,86,['Sophia'],['Callie Calls'],"4D, JH, 8S, 6D, 4S","{'Sophia': Hand([Card(""4"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""8"", ""Spades""), Card(""6"", ""Diamonds""), Card(""4"", ""Spades"")])}",12
13,12,['Sophia'],['Callie Calls'],"7C, AC, 7S, 8S, 9H","{'Sophia': Hand([Card(""7"", ""Clubs""), Card(""A"", ""Clubs""), Card(""7"", ""Spades""), Card(""8"", ""Spades""), Card(""9"", ""Hearts"")])}",13
14,6,['Sophia'],['Callie Calls'],"AC, 10H, KC, 5S, AH","{'Sophia': Hand([Card(""A"", ""Clubs""), Card(""10"", ""Hearts""), Card(""K"", ""Clubs""), Card(""5"", ""Spades""), Card(""A"", ""Hearts"")])}",14
