,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,566,['Cody'],['Robbie Random'],"JS, JH, AH, 8C, 8D","{'Cody': Hand([Card(""J"", ""Spades""), Card(""J"", ""Hearts""), Card(""A"", ""Hearts""), Card(""8"", ""Clubs""), Card(""8"", ""Diamonds"")]), 'Madi': Hand([Card(""9"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""8"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""10"", ""Spades"")]), 'Sophia': Hand([Card(""K"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""8"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""10"", ""Spades"")])}",0
1,77,['Steve'],['Robbie Random'],"KH, 7C, 10H, 10S, QD","{'Steve': Hand([Card(""K"", ""Hearts""), Card(""7"", ""Clubs""), Card(""10"", ""Hearts""), Card(""10"", ""Spades""), Card(""Q"", ""Diamonds"")])}",1
2,684,['Cody'],['Robbie Random'],"7D, 4C, 8H, 5D, 6H","{'Cody': Hand([Card(""7"", ""Diamonds""), Card(""4"", ""Clubs""), Card(""8"", ""Hearts""), Card(""5"", ""Diamonds""), Card(""6"", ""Hearts"")]), 'Steve': Hand([Card(""5"", ""Clubs""), Card(""A"", ""Clubs""), Card(""J"", ""Spades""), Card(""8"", ""Hearts""), Card(""5"", ""Diamonds"")])}",2
3,411,['Cody'],['Robbie Random'],"8H, 8D, 5D, 5S, AH","{'Cody': Hand([Card(""8"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""5"", ""Diamonds""), Card(""5"", ""Spades""), Card(""A"", ""Hearts"")])}",3
4,3,['Beezie'],['Ricky Raise'],"KC, 5H, JD, KS, 5S","{'Beezie': Hand([Card(""K"", ""Clubs""), Card(""5"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""K"", ""Spades""), Card(""5"", ""Spades"")])}",4
5,436,['Cody'],['Robbie Random'],"QH, 10D, KH, 7C, 9C","{'Cody': Hand([Card(""Q"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""K"", ""Hearts""), Card(""7"", ""Clubs""), Card(""9"", ""Clubs"")])}",5
6,6,['Beezie'],['Ricky Raise'],"4C, KC, 4D, 10S, 9H","{'Beezie': Hand([Card(""4"", ""Clubs""), Card(""K"", ""Clubs""), Card(""4"", ""Diamonds""), Card(""10"", ""Spades""), Card(""9"", ""Hearts"")])}",6
7,3,['Beezie'],['Ricky Raise'],"4H, AS, QC, KS, 4D","{'Beezie': Hand([Card(""4"", ""Hearts""), Card(""A"", ""Spades""), Card(""Q"", ""Clubs""), Card(""K"", ""Spades""), Card(""4"", ""Diamonds"")])}",7
8,6,['Beezie'],['Ricky Raise'],"6S, 7C, 10D, 8H, 9D","{'Beezie': Hand([Card(""6"", ""Spades""), Card(""7"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""9"", ""Diamonds"")])}",8
9,5,['Beezie'],['Ricky Raise'],"JC, JD, 8C, QS, KH","{'Beezie': Hand([Card(""J"", ""Clubs""), Card(""J"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""Q"", ""Spades""), Card(""K"", ""Hearts"")])}",9
