,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,364,['Madi'],['Callie Calls'],"KH, 7H, JH, 3H, QH","{'Madi': Hand([Card(""K"", ""Hearts""), Card(""7"", ""Hearts""), Card(""J"", ""Hearts""), Card(""3"", ""Hearts""), Card(""Q"", ""Hearts"")]), 'Sophia': Hand([Card(""3"", ""Clubs""), Card(""7"", ""Hearts""), Card(""J"", ""Hearts""), Card(""3"", ""Hearts""), Card(""Q"", ""Hearts"")])}",0
1,168,['Madi'],['Callie Calls'],"10S, 9H, 4S, 4H, 9C","{'Madi': Hand([Card(""10"", ""Spades""), Card(""9"", ""Hearts""), Card(""4"", ""Spades""), Card(""4"", ""Hearts""), Card(""9"", ""Clubs"")])}",1
2,72,['Madi'],['Callie Calls'],"6C, JH, AH, KS, 5C","{'Madi': Hand([Card(""6"", ""Clubs""), Card(""J"", ""Hearts""), Card(""A"", ""Hearts""), Card(""K"", ""Spades""), Card(""5"", ""Clubs"")])}",2
3,4,['Madi'],['Callie Calls'],"2H, 8D, 9H, QH, 2S","{'Madi': Hand([Card(""2"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""2"", ""Spades"")])}",3
4,5,['Madi'],['Callie Calls'],"7C, 8C, JC, AC, 10D","{'Madi': Hand([Card(""7"", ""Clubs""), Card(""8"", ""Clubs""), Card(""J"", ""Clubs""), Card(""A"", ""Clubs""), Card(""10"", ""Diamonds"")])}",4
5,3,['Madi'],['Callie Calls'],"KC, 3C, 3S, 7H, 7D","{'Madi': Hand([Card(""K"", ""Clubs""), Card(""3"", ""Clubs""), Card(""3"", ""Spades""), Card(""7"", ""Hearts""), Card(""7"", ""Diamonds"")])}",5
6,4,['Madi'],['Callie Calls'],"10C, 8C, KC, 8D, 9S","{'Madi': Hand([Card(""10"", ""Clubs""), Card(""8"", ""Clubs""), Card(""K"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""9"", ""Spades"")])}",6
7,167,['Madi'],['Callie Calls'],"10D, 9S, KH, 8S, QC","{'Madi': Hand([Card(""10"", ""Diamonds""), Card(""9"", ""Spades""), Card(""K"", ""Hearts""), Card(""8"", ""Spades""), Card(""Q"", ""Clubs"")])}",7
8,24,['Madi'],['Callie Calls'],"QS, 6D, AH, 6H, KD","{'Madi': Hand([Card(""Q"", ""Spades""), Card(""6"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""6"", ""Hearts""), Card(""K"", ""Diamonds"")])}",8
9,3,['Madi'],['Callie Calls'],"9S, KH, 8D, 10C, AS","{'Madi': Hand([Card(""9"", ""Spades""), Card(""K"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""A"", ""Spades"")])}",9
10,3,['Madi'],['Callie Calls'],"JD, KS, 8S, AC, 7H","{'Madi': Hand([Card(""J"", ""Diamonds""), Card(""K"", ""Spades""), Card(""8"", ""Spades""), Card(""A"", ""Clubs""), Card(""7"", ""Hearts"")])}",10
11,6,['Madi'],['Callie Calls'],"10D, 9H, 6D, 7H, AC","{'Madi': Hand([Card(""10"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""6"", ""Diamonds""), Card(""7"", ""Hearts""), Card(""A"", ""Clubs"")])}",11
12,6,['Madi'],['Callie Calls'],"JD, 6D, 10S, 6C, KC","{'Madi': Hand([Card(""J"", ""Diamonds""), Card(""6"", ""Diamonds""), Card(""10"", ""Spades""), Card(""6"", ""Clubs""), Card(""K"", ""Clubs"")])}",12
13,6,['Madi'],['Callie Calls'],"AS, QH, QD, JD, 5S","{'Madi': Hand([Card(""A"", ""Spades""), Card(""Q"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""5"", ""Spades"")])}",13
14,6,['Madi'],['Callie Calls'],"5S, JS, 3S, 5D, 3D","{'Madi': Hand([Card(""5"", ""Spades""), Card(""J"", ""Spades""), Card(""3"", ""Spades""), Card(""5"", ""Diamonds""), Card(""3"", ""Diamonds"")])}",14
15,6,['Madi'],['Callie Calls'],"6C, AH, 10H, 6H, QS","{'Madi': Hand([Card(""6"", ""Clubs""), Card(""A"", ""Hearts""), Card(""10"", ""Hearts""), Card(""6"", ""Hearts""), Card(""Q"", ""Spades"")])}",15
16,6,['Madi'],['Callie Calls'],"2C, 2S, KH, 2H, 8S","{'Madi': Hand([Card(""2"", ""Clubs""), Card(""2"", ""Spades""), Card(""K"", ""Hearts""), Card(""2"", ""Hearts""), Card(""8"", ""Spades"")])}",16
17,6,['Madi'],['Callie Calls'],"JS, 8H, 4S, 4H, 8C","{'Madi': Hand([Card(""J"", ""Spades""), Card(""8"", ""Hearts""), Card(""4"", ""Spades""), Card(""4"", ""Hearts""), Card(""8"", ""Clubs"")])}",17
18,6,['Madi'],['Callie Calls'],"8D, QS, AC, QD, 8H","{'Madi': Hand([Card(""8"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""A"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""8"", ""Hearts"")])}",18
19,6,['Madi'],['Callie Calls'],"JH, KC, 5D, AS, 5H","{'Madi': Hand([Card(""J"", ""Hearts""), Card(""K"", ""Clubs""), Card(""5"", ""Diamonds""), Card(""A"", ""Spades""), Card(""5"", ""Hearts"")])}",19
20,6,['Madi'],['Callie Calls'],"JC, 9D, JS, 8C, 9S","{'Madi': Hand([Card(""J"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""J"", ""Spades""), Card(""8"", ""Clubs""), Card(""9"", ""Spades"")])}",20
21,12,['Madi'],['Callie Calls'],"9H, 3H, 3S, KS, 10S","{'Madi': Hand([Card(""9"", ""Hearts""), Card(""3"", ""Hearts""), Card(""3"", ""Spades""), Card(""K"", ""Spades""), Card(""10"", ""Spades"")])}",21
22,12,['Madi'],['Callie Calls'],"JH, AH, 10C, 6H, QS","{'Madi': Hand([Card(""J"", ""Hearts""), Card(""A"", ""Hearts""), Card(""10"", ""Clubs""), Card(""6"", ""Hearts""), Card(""Q"", ""Spades"")])}",22
23,12,['Madi'],['Callie Calls'],"KD, 5H, QH, 5C, JH","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""5"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""5"", ""Clubs""), Card(""J"", ""Hearts"")])}",23
24,12,['Madi'],['Callie Calls'],"QH, 4H, AC, 4C, 10S","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""4"", ""Hearts""), Card(""A"", ""Clubs""), Card(""4"", ""Clubs""), Card(""10"", ""Spades"")])}",24
25,12,['Madi'],['Callie Calls'],"2H, 2C, 9D, 8C, AS","{'Madi': Hand([Card(""2"", ""Hearts""), Card(""2"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""A"", ""Spades"")])}",25
26,12,['Madi'],['Callie Calls'],"7C, 8H, 4S, 6S, 5C","{'Madi': Hand([Card(""7"", ""Clubs""), Card(""8"", ""Hearts""), Card(""4"", ""Spades""), Card(""6"", ""Spades""), Card(""5"", ""Clubs"")])}",26
27,12,['Madi'],['Callie Calls'],"9C, 9S, 7H, KS, QD","{'Madi': Hand([Card(""9"", ""Clubs""), Card(""9"", ""Spades""), Card(""7"", ""Hearts""), Card(""K"", ""Spades""), Card(""Q"", ""Diamonds"")])}",27
28,12,['Madi'],['Callie Calls'],"QD, 8H, 6S, JD, QS","{'Madi': Hand([Card(""Q"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""6"", ""Spades""), Card(""J"", ""Diamonds""), Card(""Q"", ""Spades"")])}",28
29,12,['Madi'],['Callie Calls'],"KD, 8C, 9H, 10D, 8D","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""9"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""8"", ""Diamonds"")])}",29
