,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,479,['Madi'],['Callie Calls'],"9C, JH, 10C, JS, KH","{'Madi': Hand([Card(""9"", ""Clubs""), Card(""J"", ""Hearts""), Card(""10"", ""Clubs""), Card(""J"", ""Spades""), Card(""K"", ""Hearts"")]), 'Sophia': Hand([Card(""2"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""2"", ""Spades""), Card(""J"", ""Spades""), Card(""K"", ""Hearts"")])}",0
1,286,['Madi'],['Callie Calls'],"6C, 7C, 9C, 10H, 8D","{'Madi': Hand([Card(""6"", ""Clubs""), Card(""7"", ""Clubs""), Card(""9"", ""Clubs""), Card(""10"", ""Hearts""), Card(""8"", ""Diamonds"")])}",1
2,57,['Madi'],['Callie Calls'],"AH, 3D, 5H, 3S, 5C","{'Madi': Hand([Card(""A"", ""Hearts""), Card(""3"", ""Diamonds""), Card(""5"", ""Hearts""), Card(""3"", ""Spades""), Card(""5"", ""Clubs"")])}",2
3,3,['Madi'],['Callie Calls'],"AC, 7S, AD, JH, QS","{'Madi': Hand([Card(""A"", ""Clubs""), Card(""7"", ""Spades""), Card(""A"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""Q"", ""Spades"")])}",3
4,3,['Madi'],['Callie Calls'],"KC, QC, 9D, QS, 9S","{'Madi': Hand([Card(""K"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""9"", ""Spades"")])}",4
5,3,['Madi'],['Callie Calls'],"9C, 9H, 9S, 4H, 4C","{'Madi': Hand([Card(""9"", ""Clubs""), Card(""9"", ""Hearts""), Card(""9"", ""Spades""), Card(""4"", ""Hearts""), Card(""4"", ""Clubs"")])}",5
6,3,['Madi'],['Callie Calls'],"7C, AC, 5D, 9H, 5H","{'Madi': Hand([Card(""7"", ""Clubs""), Card(""A"", ""Clubs""), Card(""5"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""5"", ""Hearts"")])}",6
7,3,['Madi'],['Callie Calls'],"JD, JC, 4D, 4C, QH","{'Madi': Hand([Card(""J"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""4"", ""Diamonds""), Card(""4"", ""Clubs""), Card(""Q"", ""Hearts"")])}",7
8,3,['Madi'],['Callie Calls'],"KD, JC, 8D, QC, 7S","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""7"", ""Spades"")])}",8
9,3,['Madi'],['Callie Calls'],"10D, 8C, 8H, AC, KH","{'Madi': Hand([Card(""10"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""8"", ""Hearts""), Card(""A"", ""Clubs""), Card(""K"", ""Hearts"")])}",9
10,3,['Madi'],['Callie Calls'],"AH, 5H, 6S, 5S, 6D","{'Madi': Hand([Card(""A"", ""Hearts""), Card(""5"", ""Hearts""), Card(""6"", ""Spades""), Card(""5"", ""Spades""), Card(""6"", ""Diamonds"")])}",10
11,6,['Madi'],['Callie Calls'],"JH, 7S, 10D, 9C, AC","{'Madi': Hand([Card(""J"", ""Hearts""), Card(""7"", ""Spades""), Card(""10"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""A"", ""Clubs"")])}",11
