,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,516,['Sophia'],['Callie Calls'],"JD, 9D, 8D, 7D, 4D","{'Madi': Hand([Card(""A"", ""Clubs""), Card(""7"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""7"", ""Diamonds"")]), 'Michelle': Hand([Card(""8"", ""Clubs""), Card(""K"", ""Spades""), Card(""9"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""7"", ""Diamonds"")]), 'Sophia': Hand([Card(""J"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""4"", ""Diamonds"")])}",0
1,211,['Madi'],['Callie Calls'],"AC, AH, AD, 10C, 2H","{'Madi': Hand([Card(""A"", ""Clubs""), Card(""A"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""10"", ""Clubs""), Card(""2"", ""Hearts"")]), 'Steve': Hand([Card(""5"", ""Clubs""), Card(""5"", ""Spades""), Card(""A"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""10"", ""Clubs"")]), 'Sophia': Hand([Card(""4"", ""Spades""), Card(""10"", ""Hearts""), Card(""A"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""4"", ""Diamonds"")])}",1
2,56,['Madi'],['Callie Calls'],"JH, 8S, JS, AC, JD","{'Cody': Hand([Card(""9"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""J"", ""Spades""), Card(""A"", ""Clubs""), Card(""J"", ""Diamonds"")]), 'Madi': Hand([Card(""J"", ""Hearts""), Card(""8"", ""Spades""), Card(""J"", ""Spades""), Card(""A"", ""Clubs""), Card(""J"", ""Diamonds"")]), 'Sophia': Hand([Card(""10"", ""Spades""), Card(""10"", ""Clubs""), Card(""J"", ""Spades""), Card(""A"", ""Clubs""), Card(""J"", ""Diamonds"")])}",2
3,25,['Sophia'],['Callie Calls'],"JD, JH, 7D, 7C, AH","{'Madi': Hand([Card(""9"", ""Spades""), Card(""9"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""A"", ""Hearts"")]), 'Sophia': Hand([Card(""J"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""A"", ""Hearts"")])}",3
4,24,['Steve'],['Robbie Random'],"7H, KD, 7C, KH, KS","{'Madi': Hand([Card(""J"", ""Clubs""), Card(""7"", ""Spades""), Card(""7"", ""Clubs""), Card(""K"", ""Hearts""), Card(""K"", ""Spades"")]), 'Steve': Hand([Card(""7"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""K"", ""Hearts""), Card(""K"", ""Spades"")]), 'Sophia': Hand([Card(""6"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""6"", ""Spades""), Card(""K"", ""Hearts""), Card(""K"", ""Spades"")])}",4
5,73,['Madi'],['Callie Calls'],"KD, 7S, 10C, 7C, 10S","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""7"", ""Spades""), Card(""10"", ""Clubs""), Card(""7"", ""Clubs""), Card(""10"", ""Spades"")]), 'Sophia': Hand([Card(""J"", ""Hearts""), Card(""7"", ""Spades""), Card(""10"", ""Clubs""), Card(""7"", ""Clubs""), Card(""10"", ""Spades"")])}",5
6,4,['Sophia'],['Callie Calls'],"9D, 2S, 2H, 2D, 9H","{'Madi': Hand([Card(""A"", ""Spades""), Card(""2"", ""Spades""), Card(""2"", ""Hearts""), Card(""2"", ""Diamonds""), Card(""9"", ""Hearts"")]), 'Sophia': Hand([Card(""9"", ""Diamonds""), Card(""2"", ""Spades""), Card(""2"", ""Hearts""), Card(""2"", ""Diamonds""), Card(""9"", ""Hearts"")])}",6
7,6,['Sophia'],['Callie Calls'],"8H, AH, 4H, 2H, KH","{'Madi': Hand([Card(""10"", ""Clubs""), Card(""K"", ""Spades""), Card(""4"", ""Hearts""), Card(""4"", ""Spades""), Card(""K"", ""Hearts"")]), 'Sophia': Hand([Card(""8"", ""Hearts""), Card(""A"", ""Hearts""), Card(""4"", ""Hearts""), Card(""2"", ""Hearts""), Card(""K"", ""Hearts"")])}",7
8,5,['Sophia'],['Callie Calls'],"7H, 6D, 6S, 7C, QC","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""7"", ""Clubs""), Card(""Q"", ""Clubs"")]), 'Sophia': Hand([Card(""7"", ""Hearts""), Card(""6"", ""Diamonds""), Card(""6"", ""Spades""), Card(""7"", ""Clubs""), Card(""Q"", ""Clubs"")])}",8
9,4,['Madi'],['Callie Calls'],"8C, 7D, AD, 10H, AC","{'Madi': Hand([Card(""8"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""A"", ""Clubs"")]), 'Sophia': Hand([Card(""8"", ""Diamonds""), Card(""5"", ""Spades""), Card(""A"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""A"", ""Clubs"")])}",9
10,6,['Madi'],['Callie Calls'],"7S, QH, 9D, AS, 10C","{'Madi': Hand([Card(""7"", ""Spades""), Card(""Q"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""A"", ""Spades""), Card(""10"", ""Clubs"")]), 'Sophia': Hand([Card(""4"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""A"", ""Spades""), Card(""6"", ""Spades""), Card(""10"", ""Clubs"")])}",10
11,10,['Madi'],['Callie Calls'],"KS, KD, JC, 2C, 2S","{'Madi': Hand([Card(""K"", ""Spades""), Card(""K"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""2"", ""Clubs""), Card(""2"", ""Spades"")]), 'Sophia': Hand([Card(""Q"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""2"", ""Clubs""), Card(""2"", ""Spades"")])}",11
12,8,['Sophia'],['Callie Calls'],"3D, AS, 3H, 5D, 5C","{'Madi': Hand([Card(""8"", ""Hearts""), Card(""A"", ""Spades""), Card(""9"", ""Hearts""), Card(""5"", ""Diamonds""), Card(""5"", ""Clubs"")]), 'Sophia': Hand([Card(""3"", ""Diamonds""), Card(""A"", ""Spades""), Card(""3"", ""Hearts""), Card(""5"", ""Diamonds""), Card(""5"", ""Clubs"")])}",12
13,12,['Madi'],['Callie Calls'],"KC, QS, JH, JC, AS","{'Madi': Hand([Card(""K"", ""Clubs""), Card(""Q"", ""Spades""), Card(""J"", ""Hearts""), Card(""J"", ""Clubs""), Card(""A"", ""Spades"")]), 'Sophia': Hand([Card(""J"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""J"", ""Clubs""), Card(""A"", ""Spades"")])}",13
14,10,['Madi'],['Callie Calls'],"KS, 4S, QS, 5C, KH","{'Madi': Hand([Card(""K"", ""Spades""), Card(""4"", ""Spades""), Card(""Q"", ""Spades""), Card(""5"", ""Clubs""), Card(""K"", ""Hearts"")]), 'Sophia': Hand([Card(""4"", ""Diamonds""), Card(""5"", ""Hearts""), Card(""Q"", ""Spades""), Card(""5"", ""Clubs""), Card(""K"", ""Hearts"")])}",14
15,8,['Sophia'],['Callie Calls'],"QD, AC, 9S, 6H, 6C","{'Madi': Hand([Card(""8"", ""Hearts""), Card(""A"", ""Clubs""), Card(""9"", ""Spades""), Card(""6"", ""Hearts""), Card(""6"", ""Clubs"")]), 'Sophia': Hand([Card(""Q"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""9"", ""Spades""), Card(""6"", ""Hearts""), Card(""6"", ""Clubs"")])}",15
16,12,['Madi'],['Callie Calls'],"JS, KH, 9D, 9C, 10D","{'Madi': Hand([Card(""J"", ""Spades""), Card(""K"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""10"", ""Diamonds"")]), 'Sophia': Hand([Card(""8"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""6"", ""Spades""), Card(""9"", ""Clubs""), Card(""10"", ""Diamonds"")])}",16
17,10,['Sophia'],['Callie Calls'],"9C, KS, 8S, AH, 8D","{'Madi': Hand([Card(""6"", ""Hearts""), Card(""K"", ""Spades""), Card(""8"", ""Spades""), Card(""A"", ""Hearts""), Card(""8"", ""Diamonds"")]), 'Sophia': Hand([Card(""9"", ""Clubs""), Card(""K"", ""Spades""), Card(""8"", ""Spades""), Card(""A"", ""Hearts""), Card(""8"", ""Diamonds"")])}",17
18,8,['Sophia'],['Callie Calls'],"AS, AD, 6S, KD, 6C","{'Madi': Hand([Card(""A"", ""Clubs""), Card(""6"", ""Spades""), Card(""K"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""8"", ""Hearts"")]), 'Sophia': Hand([Card(""A"", ""Spades""), Card(""A"", ""Diamonds""), Card(""6"", ""Spades""), Card(""K"", ""Diamonds""), Card(""6"", ""Clubs"")])}",18
19,12,['Madi'],['Callie Calls'],"10H, 9H, 9S, AD, 10S","{'Madi': Hand([Card(""10"", ""Hearts""), Card(""9"", ""Hearts""), Card(""9"", ""Spades""), Card(""A"", ""Diamonds""), Card(""10"", ""Spades"")]), 'Sophia': Hand([Card(""K"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""9"", ""Spades""), Card(""A"", ""Diamonds""), Card(""10"", ""Spades"")])}",19
20,10,['Sophia'],['Callie Calls'],"10S, AC, JS, KD, QH","{'Madi': Hand([Card(""A"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""A"", ""Clubs""), Card(""9"", ""Hearts""), Card(""K"", ""Diamonds"")]), 'Sophia': Hand([Card(""10"", ""Spades""), Card(""A"", ""Clubs""), Card(""J"", ""Spades""), Card(""K"", ""Diamonds""), Card(""Q"", ""Hearts"")])}",20
21,16,['Madi'],['Callie Calls'],"KD, AC, AH, QC, 6D","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""A"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""6"", ""Diamonds"")]), 'Sophia': Hand([Card(""7"", ""Spades""), Card(""A"", ""Clubs""), Card(""A"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""6"", ""Diamonds"")])}",21
22,24,['Sophia'],['Callie Calls'],"JH, 10H, AD, 10S, JS","{'Madi': Hand([Card(""4"", ""Hearts""), Card(""4"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""10"", ""Spades""), Card(""J"", ""Spades"")]), 'Sophia': Hand([Card(""J"", ""Hearts""), Card(""10"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""10"", ""Spades""), Card(""J"", ""Spades"")])}",22
23,20,['Sophia'],['Callie Calls'],"8C, KD, 8D, KC, 10D","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""5"", ""Spades""), Card(""10"", ""Diamonds"")]), 'Sophia': Hand([Card(""8"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""10"", ""Diamonds"")])}",23
24,16,['Madi'],['Callie Calls'],"5D, 5S, 9D, QC, AS","{'Madi': Hand([Card(""5"", ""Diamonds""), Card(""5"", ""Spades""), Card(""9"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""A"", ""Spades"")]), 'Sophia': Hand([Card(""K"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""Q"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""A"", ""Spades"")])}",24
25,24,['Madi'],['Callie Calls'],"JH, KC, 10H, QS, JD","{'Madi': Hand([Card(""J"", ""Hearts""), Card(""K"", ""Clubs""), Card(""10"", ""Hearts""), Card(""Q"", ""Spades""), Card(""J"", ""Diamonds"")]), 'Sophia': Hand([Card(""7"", ""Clubs""), Card(""K"", ""Clubs""), Card(""10"", ""Hearts""), Card(""Q"", ""Spades""), Card(""J"", ""Diamonds"")])}",25
26,20,['Madi'],['Callie Calls'],"KS, AC, 6H, 5D, KD","{'Madi': Hand([Card(""K"", ""Spades""), Card(""A"", ""Clubs""), Card(""6"", ""Hearts""), Card(""5"", ""Diamonds""), Card(""K"", ""Diamonds"")]), 'Sophia': Hand([Card(""10"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""5"", ""Diamonds""), Card(""K"", ""Diamonds"")])}",26
27,16,['Madi'],['Callie Calls'],"KC, 10D, 10H, 8H, JD","{'Madi': Hand([Card(""K"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""8"", ""Hearts""), Card(""J"", ""Diamonds"")]), 'Sophia': Hand([Card(""7"", ""Spades""), Card(""10"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""8"", ""Hearts""), Card(""J"", ""Diamonds"")])}",27
28,24,['Sophia'],['Callie Calls'],"5C, 9H, 9S, 5S, QH","{'Madi': Hand([Card(""K"", ""Hearts""), Card(""A"", ""Clubs""), Card(""9"", ""Hearts""), Card(""9"", ""Spades""), Card(""Q"", ""Hearts"")]), 'Sophia': Hand([Card(""5"", ""Clubs""), Card(""9"", ""Hearts""), Card(""9"", ""Spades""), Card(""5"", ""Spades""), Card(""Q"", ""Hearts"")])}",28
29,20,['Sophia'],['Callie Calls'],"9D, 10D, 8D, JC, 5C","{'Madi': Hand([Card(""7"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""5"", ""Clubs"")]), 'Sophia': Hand([Card(""9"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""5"", ""Clubs"")])}",29
30,16,['Sophia'],['Callie Calls'],"9H, QC, JC, JS, 9S","{'Madi': Hand([Card(""A"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""J"", ""Spades""), Card(""9"", ""Spades"")]), 'Sophia': Hand([Card(""9"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""J"", ""Clubs""), Card(""J"", ""Spades""), Card(""9"", ""Spades"")])}",30
