,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,456,"['Madi', 'Sophia']","['Callie Calls', 'Callie Calls']","3D, 6H, 2D, 4D, 5H","{'Madi': Hand([Card(""3"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""2"", ""Diamonds""), Card(""4"", ""Diamonds""), Card(""5"", ""Hearts"")]), 'Sophia': Hand([Card(""5"", ""Clubs""), Card(""3"", ""Clubs""), Card(""6"", ""Hearts""), Card(""2"", ""Diamonds""), Card(""4"", ""Diamonds"")])}",0
1,134,['Steve'],['Robbie Random'],"10C, 6C, AD, 6S, AH","{'Madi': Hand([Card(""8"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""6"", ""Spades""), Card(""A"", ""Hearts"")]), 'Steve': Hand([Card(""10"", ""Clubs""), Card(""6"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""6"", ""Spades""), Card(""A"", ""Hearts"")]), 'Sophia': Hand([Card(""K"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""6"", ""Spades""), Card(""A"", ""Hearts"")])}",1
2,57,['Madi'],['Callie Calls'],"AC, QC, JH, 10H, KC","{'Madi': Hand([Card(""A"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""J"", ""Hearts""), Card(""10"", ""Hearts""), Card(""K"", ""Clubs"")]), 'Sophia': Hand([Card(""8"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""J"", ""Hearts""), Card(""10"", ""Hearts""), Card(""K"", ""Clubs"")])}",2
3,124,['Sophia'],['Callie Calls'],"AS, 8H, JH, KD, 9S","{'Madi': Hand([Card(""6"", ""Hearts""), Card(""8"", ""Hearts""), Card(""J"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""9"", ""Spades"")]), 'Sophia': Hand([Card(""A"", ""Spades""), Card(""8"", ""Hearts""), Card(""J"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""9"", ""Spades"")])}",3
4,265,['Sophia'],['Callie Calls'],"AD, 8H, 6H, 6C, 8S","{'Cody': Hand([Card(""7"", ""Clubs""), Card(""6"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""6"", ""Clubs""), Card(""8"", ""Spades"")]), 'Madi': Hand([Card(""J"", ""Spades""), Card(""6"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""6"", ""Clubs""), Card(""8"", ""Spades"")]), 'Sophia': Hand([Card(""A"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""6"", ""Hearts""), Card(""6"", ""Clubs""), Card(""8"", ""Spades"")])}",4
5,8,['Madi'],['Callie Calls'],"KD, JH, 7D, 9D, KS","{'Madi': Hand([Card(""K"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""7"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""K"", ""Spades"")]), 'Sophia': Hand([Card(""J"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""K"", ""Spades""), Card(""6"", ""Diamonds"")])}",5
6,225,['Madi'],['Callie Calls'],"KS, 6S, 2S, 9S, 8S","{'Madi': Hand([Card(""K"", ""Spades""), Card(""6"", ""Spades""), Card(""2"", ""Spades""), Card(""9"", ""Spades""), Card(""8"", ""Spades"")]), 'Sophia': Hand([Card(""9"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""9"", ""Spades""), Card(""5"", ""Clubs""), Card(""8"", ""Spades"")])}",6
7,64,['Madi'],['Callie Calls'],"5S, AC, 5H, 6S, 5C","{'Madi': Hand([Card(""5"", ""Spades""), Card(""A"", ""Clubs""), Card(""5"", ""Hearts""), Card(""6"", ""Spades""), Card(""5"", ""Clubs"")]), 'Sophia': Hand([Card(""9"", ""Hearts""), Card(""K"", ""Spades""), Card(""5"", ""Hearts""), Card(""6"", ""Spades""), Card(""5"", ""Clubs"")])}",7
8,6,['Sophia'],['Callie Calls'],"3C, 8D, JH, 3H, 8H","{'Madi': Hand([Card(""K"", ""Clubs""), Card(""7"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""8"", ""Hearts"")]), 'Sophia': Hand([Card(""3"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""3"", ""Hearts""), Card(""8"", ""Hearts"")])}",8
9,5,['Sophia'],['Callie Calls'],"9H, 4C, QS, 4H, KH","{'Madi': Hand([Card(""7"", ""Hearts""), Card(""4"", ""Clubs""), Card(""Q"", ""Spades""), Card(""4"", ""Hearts""), Card(""K"", ""Hearts"")]), 'Sophia': Hand([Card(""9"", ""Hearts""), Card(""4"", ""Clubs""), Card(""Q"", ""Spades""), Card(""4"", ""Hearts""), Card(""K"", ""Hearts"")])}",9
