,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,311,['Madi'],['Callie Calls'],"9S, 8C, 10S, KD, QS","{'Madi': Hand([Card(""9"", ""Spades""), Card(""8"", ""Clubs""), Card(""10"", ""Spades""), Card(""K"", ""Diamonds""), Card(""Q"", ""Spades"")]), 'Sophia': Hand([Card(""6"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""10"", ""Spades""), Card(""K"", ""Diamonds""), Card(""Q"", ""Spades"")])}",0
1,294,['Madi'],['Callie Calls'],"JD, JS, KS, 7H, KC","{'Cody': Hand([Card(""10"", ""Diamonds""), Card(""K"", ""Spades""), Card(""7"", ""Hearts""), Card(""K"", ""Clubs""), Card(""7"", ""Diamonds"")]), 'Madi': Hand([Card(""J"", ""Diamonds""), Card(""J"", ""Spades""), Card(""K"", ""Spades""), Card(""7"", ""Hearts""), Card(""K"", ""Clubs"")]), 'Sophia': Hand([Card(""K"", ""Spades""), Card(""7"", ""Hearts""), Card(""5"", ""Spades""), Card(""K"", ""Clubs""), Card(""7"", ""Diamonds"")])}",1
2,229,['Madi'],['Callie Calls'],"7S, 9D, 6C, 10H, 7C","{'Madi': Hand([Card(""7"", ""Spades""), Card(""9"", ""Diamonds""), Card(""6"", ""Clubs""), Card(""10"", ""Hearts""), Card(""7"", ""Clubs"")])}",2
3,49,['Madi'],['Callie Calls'],"JC, 10H, JH, 9C, 8D","{'Madi': Hand([Card(""J"", ""Clubs""), Card(""10"", ""Hearts""), Card(""J"", ""Hearts""), Card(""9"", ""Clubs""), Card(""8"", ""Diamonds"")])}",3
4,21,['Madi'],['Callie Calls'],"JC, 10H, QC, KC, 9H","{'Madi': Hand([Card(""J"", ""Clubs""), Card(""10"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""K"", ""Clubs""), Card(""9"", ""Hearts"")])}",4
5,3,['Madi'],['Callie Calls'],"6S, QC, QS, 7H, AD","{'Madi': Hand([Card(""6"", ""Spades""), Card(""Q"", ""Clubs""), Card(""Q"", ""Spades""), Card(""7"", ""Hearts""), Card(""A"", ""Diamonds"")])}",5
6,3,['Madi'],['Callie Calls'],"5D, 5H, 9C, AD, 9S","{'Madi': Hand([Card(""5"", ""Diamonds""), Card(""5"", ""Hearts""), Card(""9"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""9"", ""Spades"")])}",6
7,3,['Madi'],['Callie Calls'],"AH, QD, QS, 8S, 8H","{'Madi': Hand([Card(""A"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""8"", ""Spades""), Card(""8"", ""Hearts"")])}",7
8,3,['Madi'],['Callie Calls'],"KC, 6H, 8C, 6C, 8D","{'Madi': Hand([Card(""K"", ""Clubs""), Card(""6"", ""Hearts""), Card(""8"", ""Clubs""), Card(""6"", ""Clubs""), Card(""8"", ""Diamonds"")])}",8
9,3,['Madi'],['Callie Calls'],"AC, JC, 6D, 6H, JH","{'Madi': Hand([Card(""A"", ""Clubs""), Card(""J"", ""Clubs""), Card(""6"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""J"", ""Hearts"")])}",9
10,3,['Madi'],['Callie Calls'],"5H, 10C, 7D, 7H, 5D","{'Madi': Hand([Card(""5"", ""Hearts""), Card(""10"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""7"", ""Hearts""), Card(""5"", ""Diamonds"")])}",10
11,6,['Madi'],['Callie Calls'],"JD, JS, 9S, QD, 8S","{'Madi': Hand([Card(""J"", ""Diamonds""), Card(""J"", ""Spades""), Card(""9"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""8"", ""Spades"")])}",11
12,6,['Madi'],['Callie Calls'],"KS, QC, KC, 2C, KD","{'Madi': Hand([Card(""K"", ""Spades""), Card(""Q"", ""Clubs""), Card(""K"", ""Clubs""), Card(""2"", ""Clubs""), Card(""K"", ""Diamonds"")])}",12
13,6,['Madi'],['Callie Calls'],"10S, 4C, 4D, AS, JS","{'Madi': Hand([Card(""10"", ""Spades""), Card(""4"", ""Clubs""), Card(""4"", ""Diamonds""), Card(""A"", ""Spades""), Card(""J"", ""Spades"")])}",13
14,6,['Madi'],['Callie Calls'],"6D, JH, 6S, JS, KH","{'Madi': Hand([Card(""6"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""6"", ""Spades""), Card(""J"", ""Spades""), Card(""K"", ""Hearts"")])}",14
15,6,['Madi'],['Callie Calls'],"QD, 10H, 9H, KD, AC","{'Madi': Hand([Card(""Q"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""9"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""A"", ""Clubs"")])}",15
16,6,['Madi'],['Callie Calls'],"QS, 4S, 8S, 9S, 9D","{'Madi': Hand([Card(""Q"", ""Spades""), Card(""4"", ""Spades""), Card(""8"", ""Spades""), Card(""9"", ""Spades""), Card(""9"", ""Diamonds"")])}",16
17,6,['Madi'],['Callie Calls'],"JD, JC, KC, 9C, 9D","{'Madi': Hand([Card(""J"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""K"", ""Clubs""), Card(""9"", ""Clubs""), Card(""9"", ""Diamonds"")])}",17
18,6,['Madi'],['Callie Calls'],"4C, 5H, KC, KD, QD","{'Madi': Hand([Card(""4"", ""Clubs""), Card(""5"", ""Hearts""), Card(""K"", ""Clubs""), Card(""K"", ""Diamonds""), Card(""Q"", ""Diamonds"")])}",18
19,6,['Madi'],['Callie Calls'],"5C, 6C, 8D, 8S, 5D","{'Madi': Hand([Card(""5"", ""Clubs""), Card(""6"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""8"", ""Spades""), Card(""5"", ""Diamonds"")])}",19
