,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,617,['Sophia'],['Callie Calls'],"7C, AH, JC, AS, 7S","{'Madi': Hand([Card(""10"", ""Clubs""), Card(""A"", ""Hearts""), Card(""J"", ""Clubs""), Card(""A"", ""Spades""), Card(""7"", ""Spades"")]), 'Sophia': Hand([Card(""7"", ""Clubs""), Card(""A"", ""Hearts""), Card(""J"", ""Clubs""), Card(""A"", ""Spades""), Card(""7"", ""Spades"")])}",0
1,39,['Madi'],['Callie Calls'],"6C, 9H, 6S, QC, JS","{'Madi': Hand([Card(""6"", ""Clubs""), Card(""9"", ""Hearts""), Card(""6"", ""Spades""), Card(""Q"", ""Clubs""), Card(""J"", ""Spades"")]), 'Sophia': Hand([Card(""A"", ""Hearts""), Card(""K"", ""Clubs""), Card(""9"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""J"", ""Spades"")])}",1
2,14,['Madi'],['Callie Calls'],"2D, 8H, 8D, 2H, KC","{'Madi': Hand([Card(""2"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""8"", ""Diamonds""), Card(""2"", ""Hearts""), Card(""K"", ""Clubs"")]), 'Steve': Hand([Card(""5"", ""Spades""), Card(""8"", ""Diamonds""), Card(""9"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""5"", ""Hearts"")]), 'Sophia': Hand([Card(""J"", ""Hearts""), Card(""5"", ""Clubs""), Card(""9"", ""Diamonds""), Card(""K"", ""Clubs""), Card(""5"", ""Hearts"")])}",2
3,25,['Sophia'],['Callie Calls'],"7D, 9H, JD, KS, 7C","{'Madi': Hand([Card(""8"", ""Hearts""), Card(""Q"", ""Hearts""), Card(""9"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""K"", ""Spades"")]), 'Sophia': Hand([Card(""7"", ""Diamonds""), Card(""9"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""K"", ""Spades""), Card(""7"", ""Clubs"")])}",3
4,53,['Madi'],['Callie Calls'],"4H, 4D, 6H, AS, 6S","{'Madi': Hand([Card(""4"", ""Hearts""), Card(""4"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""A"", ""Spades""), Card(""6"", ""Spades"")]), 'Sophia': Hand([Card(""10"", ""Spades""), Card(""6"", ""Hearts""), Card(""K"", ""Spades""), Card(""A"", ""Spades""), Card(""6"", ""Spades"")])}",4
5,14,['Cody'],['Robbie Random'],"4D, 6S, 3S, 2C, 5D","{'Cody': Hand([Card(""4"", ""Diamonds""), Card(""6"", ""Spades""), Card(""3"", ""Spades""), Card(""2"", ""Clubs""), Card(""5"", ""Diamonds"")]), 'Madi': Hand([Card(""7"", ""Diamonds""), Card(""9"", ""Spades""), Card(""A"", ""Clubs""), Card(""5"", ""Diamonds""), Card(""Q"", ""Diamonds"")]), 'Sophia': Hand([Card(""Q"", ""Clubs""), Card(""6"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""5"", ""Diamonds""), Card(""Q"", ""Diamonds"")])}",5
6,34,['Sophia'],['Callie Calls'],"2S, 6D, KS, 2C, 6H","{'Cody': Hand([Card(""8"", ""Clubs""), Card(""A"", ""Spades""), Card(""K"", ""Spades""), Card(""4"", ""Spades""), Card(""6"", ""Hearts"")]), 'Madi': Hand([Card(""Q"", ""Diamonds""), Card(""10"", ""Spades""), Card(""K"", ""Spades""), Card(""4"", ""Spades""), Card(""6"", ""Hearts"")]), 'Sophia': Hand([Card(""2"", ""Spades""), Card(""6"", ""Diamonds""), Card(""K"", ""Spades""), Card(""2"", ""Clubs""), Card(""6"", ""Hearts"")])}",6
7,7,['Madi'],['Callie Calls'],"8H, KS, AD, 10D, 8C","{'Madi': Hand([Card(""8"", ""Hearts""), Card(""K"", ""Spades""), Card(""A"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""8"", ""Clubs"")]), 'Sophia': Hand([Card(""K"", ""Spades""), Card(""A"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""8"", ""Clubs"")])}",7
8,15,['Michelle'],['Robbie Random'],"10H, JS, 9H, 8C, QS","{'Madi': Hand([Card(""4"", ""Spades""), Card(""9"", ""Hearts""), Card(""8"", ""Clubs""), Card(""8"", ""Spades""), Card(""Q"", ""Spades"")]), 'Michelle': Hand([Card(""10"", ""Hearts""), Card(""J"", ""Spades""), Card(""9"", ""Hearts""), Card(""8"", ""Clubs""), Card(""Q"", ""Spades"")]), 'Sophia': Hand([Card(""Q"", ""Clubs""), Card(""9"", ""Hearts""), Card(""8"", ""Clubs""), Card(""8"", ""Spades""), Card(""Q"", ""Spades"")])}",8
9,18,['Sophia'],['Callie Calls'],"KH, 6D, 10D, JH, 8S","{'Madi': Hand([Card(""Q"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""8"", ""Spades""), Card(""5"", ""Diamonds"")]), 'Sophia': Hand([Card(""K"", ""Hearts""), Card(""6"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""8"", ""Spades"")])}",9
