,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,492,['Steve'],['Robbie Random'],"9D, 6H, 10D, 8S, 7D","{'Madi': Hand([Card(""4"", ""Spades""), Card(""10"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""8"", ""Spades""), Card(""7"", ""Diamonds"")]), 'Steve': Hand([Card(""9"", ""Diamonds""), Card(""6"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""8"", ""Spades""), Card(""7"", ""Diamonds"")]), 'Sophia': Hand([Card(""2"", ""Hearts""), Card(""2"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""8"", ""Spades"")])}",0
1,546,['Michelle'],['Robbie Random'],"AD, AS, KC, AC, 7S","{'Michelle': Hand([Card(""A"", ""Diamonds""), Card(""A"", ""Spades""), Card(""K"", ""Clubs""), Card(""A"", ""Clubs""), Card(""7"", ""Spades"")])}",1
2,20,['Michelle'],['Robbie Random'],"5D, 10S, QH, 5S, 7D","{'Michelle': Hand([Card(""5"", ""Diamonds""), Card(""10"", ""Spades""), Card(""Q"", ""Hearts""), Card(""5"", ""Spades""), Card(""7"", ""Diamonds"")])}",2
3,314,['Michelle'],['Robbie Random'],"8H, 8S, 4C, 4S, 4H","{'Michelle': Hand([Card(""8"", ""Hearts""), Card(""8"", ""Spades""), Card(""4"", ""Clubs""), Card(""4"", ""Spades""), Card(""4"", ""Hearts"")])}",3
4,3,['Steve'],['Robbie Random'],"KC, 8S, KD, 10H, 9S","{'Steve': Hand([Card(""K"", ""Clubs""), Card(""8"", ""Spades""), Card(""K"", ""Diamonds""), Card(""10"", ""Hearts""), Card(""9"", ""Spades"")])}",4
5,362,['Michelle'],['Robbie Random'],"2S, JC, AC, 2D, AS","{'Michelle': Hand([Card(""2"", ""Spades""), Card(""J"", ""Clubs""), Card(""A"", ""Clubs""), Card(""2"", ""Diamonds""), Card(""A"", ""Spades"")])}",5
6,6,['Steve'],['Robbie Random'],"AD, QH, QD, AS, KC","{'Steve': Hand([Card(""A"", ""Diamonds""), Card(""Q"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""A"", ""Spades""), Card(""K"", ""Clubs"")])}",6
7,3,['Steve'],['Robbie Random'],"KH, 9H, QD, JC, KC","{'Steve': Hand([Card(""K"", ""Hearts""), Card(""9"", ""Hearts""), Card(""Q"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""K"", ""Clubs"")])}",7
8,107,['Michelle'],['Robbie Random'],"3D, 9C, 8D, 3H, JS","{'Michelle': Hand([Card(""3"", ""Diamonds""), Card(""9"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""3"", ""Hearts""), Card(""J"", ""Spades"")])}",8
9,3,['Michelle'],['Robbie Random'],"JH, AC, KC, QC, 8C","{'Michelle': Hand([Card(""J"", ""Hearts""), Card(""A"", ""Clubs""), Card(""K"", ""Clubs""), Card(""Q"", ""Clubs""), Card(""8"", ""Clubs"")])}",9
