,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,585,['Madi'],['Callie Calls'],"10D, 8H, 9S, QD, 8D","{'Madi': Hand([Card(""10"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""9"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""8"", ""Diamonds"")]), 'Sophia': Hand([Card(""2"", ""Diamonds""), Card(""9"", ""Spades""), Card(""Q"", ""Diamonds""), Card(""8"", ""Diamonds""), Card(""2"", ""Clubs"")])}",0
1,129,['Madi'],['Callie Calls'],"5C, AH, 5D, 5H, JC","{'Madi': Hand([Card(""5"", ""Clubs""), Card(""A"", ""Hearts""), Card(""5"", ""Diamonds""), Card(""5"", ""Hearts""), Card(""J"", ""Clubs"")])}",1
2,62,['Madi'],['Callie Calls'],"8D, JD, JH, KS, QH","{'Madi': Hand([Card(""8"", ""Diamonds""), Card(""J"", ""Diamonds""), Card(""J"", ""Hearts""), Card(""K"", ""Spades""), Card(""Q"", ""Hearts"")])}",2
3,17,['Madi'],['Callie Calls'],"7D, KS, 10S, 5C, AD","{'Madi': Hand([Card(""7"", ""Diamonds""), Card(""K"", ""Spades""), Card(""10"", ""Spades""), Card(""5"", ""Clubs""), Card(""A"", ""Diamonds"")])}",3
4,13,['Madi'],['Callie Calls'],"QD, 4S, AS, 4C, KD","{'Madi': Hand([Card(""Q"", ""Diamonds""), Card(""4"", ""Spades""), Card(""A"", ""Spades""), Card(""4"", ""Clubs""), Card(""K"", ""Diamonds"")])}",4
5,3,['Madi'],['Callie Calls'],"5D, 8C, 9S, 5H, KC","{'Madi': Hand([Card(""5"", ""Diamonds""), Card(""8"", ""Clubs""), Card(""9"", ""Spades""), Card(""5"", ""Hearts""), Card(""K"", ""Clubs"")])}",5
6,3,['Madi'],['Callie Calls'],"6D, 7D, AD, 9S, JH","{'Madi': Hand([Card(""6"", ""Diamonds""), Card(""7"", ""Diamonds""), Card(""A"", ""Diamonds""), Card(""9"", ""Spades""), Card(""J"", ""Hearts"")])}",6
7,3,['Madi'],['Callie Calls'],"9C, 9S, 5H, 9H, 5C","{'Madi': Hand([Card(""9"", ""Clubs""), Card(""9"", ""Spades""), Card(""5"", ""Hearts""), Card(""9"", ""Hearts""), Card(""5"", ""Clubs"")])}",7
8,3,['Madi'],['Callie Calls'],"7H, KC, 8C, QD, JH","{'Madi': Hand([Card(""7"", ""Hearts""), Card(""K"", ""Clubs""), Card(""8"", ""Clubs""), Card(""Q"", ""Diamonds""), Card(""J"", ""Hearts"")])}",8
9,3,['Madi'],['Callie Calls'],"8D, 6S, KC, 9S, 10C","{'Madi': Hand([Card(""8"", ""Diamonds""), Card(""6"", ""Spades""), Card(""K"", ""Clubs""), Card(""9"", ""Spades""), Card(""10"", ""Clubs"")])}",9
10,3,['Madi'],['Callie Calls'],"10S, KS, 9H, 10D, KC","{'Madi': Hand([Card(""10"", ""Spades""), Card(""K"", ""Spades""), Card(""9"", ""Hearts""), Card(""10"", ""Diamonds""), Card(""K"", ""Clubs"")])}",10
11,6,['Madi'],['Callie Calls'],"10D, 8S, AH, 3S, 3D","{'Madi': Hand([Card(""10"", ""Diamonds""), Card(""8"", ""Spades""), Card(""A"", ""Hearts""), Card(""3"", ""Spades""), Card(""3"", ""Diamonds"")])}",11
12,6,['Madi'],['Callie Calls'],"AH, 4D, 4S, 8D, AD","{'Madi': Hand([Card(""A"", ""Hearts""), Card(""4"", ""Diamonds""), Card(""4"", ""Spades""), Card(""8"", ""Diamonds""), Card(""A"", ""Diamonds"")])}",12
13,6,['Madi'],['Callie Calls'],"QD, 10D, AC, 10S, JD","{'Madi': Hand([Card(""Q"", ""Diamonds""), Card(""10"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""10"", ""Spades""), Card(""J"", ""Diamonds"")])}",13
14,6,['Madi'],['Callie Calls'],"QH, 9C, 10S, KC, 6C","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""9"", ""Clubs""), Card(""10"", ""Spades""), Card(""K"", ""Clubs""), Card(""6"", ""Clubs"")])}",14
15,6,['Madi'],['Callie Calls'],"6D, JC, 10D, 5D, QC","{'Madi': Hand([Card(""6"", ""Diamonds""), Card(""J"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""5"", ""Diamonds""), Card(""Q"", ""Clubs"")])}",15
16,6,['Madi'],['Callie Calls'],"10H, 4S, 6C, 7C, AC","{'Madi': Hand([Card(""10"", ""Hearts""), Card(""4"", ""Spades""), Card(""6"", ""Clubs""), Card(""7"", ""Clubs""), Card(""A"", ""Clubs"")])}",16
17,6,['Madi'],['Callie Calls'],"KH, 10H, AC, 10D, KC","{'Madi': Hand([Card(""K"", ""Hearts""), Card(""10"", ""Hearts""), Card(""A"", ""Clubs""), Card(""10"", ""Diamonds""), Card(""K"", ""Clubs"")])}",17
18,6,['Madi'],['Callie Calls'],"KH, AD, QD, QS, JD","{'Madi': Hand([Card(""K"", ""Hearts""), Card(""A"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""Q"", ""Spades""), Card(""J"", ""Diamonds"")])}",18
19,6,['Madi'],['Callie Calls'],"QH, AC, 10C, JH, 5S","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""A"", ""Clubs""), Card(""10"", ""Clubs""), Card(""J"", ""Hearts""), Card(""5"", ""Spades"")])}",19
20,6,['Madi'],['Callie Calls'],"KC, KH, KD, 2S, 2H","{'Madi': Hand([Card(""K"", ""Clubs""), Card(""K"", ""Hearts""), Card(""K"", ""Diamonds""), Card(""2"", ""Spades""), Card(""2"", ""Hearts"")])}",20
21,12,['Madi'],['Callie Calls'],"10C, QH, 9C, KS, AD","{'Madi': Hand([Card(""10"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""9"", ""Clubs""), Card(""K"", ""Spades""), Card(""A"", ""Diamonds"")])}",21
22,12,['Madi'],['Callie Calls'],"10S, 7H, 4H, 4C, AH","{'Madi': Hand([Card(""10"", ""Spades""), Card(""7"", ""Hearts""), Card(""4"", ""Hearts""), Card(""4"", ""Clubs""), Card(""A"", ""Hearts"")])}",22
23,12,['Madi'],['Callie Calls'],"9S, KD, JS, 10H, QD","{'Madi': Hand([Card(""9"", ""Spades""), Card(""K"", ""Diamonds""), Card(""J"", ""Spades""), Card(""10"", ""Hearts""), Card(""Q"", ""Diamonds"")])}",23
24,12,['Madi'],['Callie Calls'],"QH, 6D, 5H, 9D, 10H","{'Madi': Hand([Card(""Q"", ""Hearts""), Card(""6"", ""Diamonds""), Card(""5"", ""Hearts""), Card(""9"", ""Diamonds""), Card(""10"", ""Hearts"")])}",24
25,12,['Madi'],['Callie Calls'],"9S, 6H, 9C, 8C, 5D","{'Madi': Hand([Card(""9"", ""Spades""), Card(""6"", ""Hearts""), Card(""9"", ""Clubs""), Card(""8"", ""Clubs""), Card(""5"", ""Diamonds"")])}",25
26,12,['Madi'],['Callie Calls'],"10H, JC, 10S, 7H, JH","{'Madi': Hand([Card(""10"", ""Hearts""), Card(""J"", ""Clubs""), Card(""10"", ""Spades""), Card(""7"", ""Hearts""), Card(""J"", ""Hearts"")])}",26
27,12,['Madi'],['Callie Calls'],"AC, 3S, 7D, 7S, 3H","{'Madi': Hand([Card(""A"", ""Clubs""), Card(""3"", ""Spades""), Card(""7"", ""Diamonds""), Card(""7"", ""Spades""), Card(""3"", ""Hearts"")])}",27
28,12,['Madi'],['Callie Calls'],"8H, KH, 9C, 7H, 9D","{'Madi': Hand([Card(""8"", ""Hearts""), Card(""K"", ""Hearts""), Card(""9"", ""Clubs""), Card(""7"", ""Hearts""), Card(""9"", ""Diamonds"")])}",28
29,12,['Madi'],['Callie Calls'],"AC, 10S, KH, KS, 5C","{'Madi': Hand([Card(""A"", ""Clubs""), Card(""10"", ""Spades""), Card(""K"", ""Hearts""), Card(""K"", ""Spades""), Card(""5"", ""Clubs"")])}",29
