,pot_size,winners,winner_personas,winning_hand,all_hands,round_number
0,481,['Sophia'],['Callie Calls'],"7C, 7S, 7H, 8C, 8D","{'Madi': Hand([Card(""J"", ""Spades""), Card(""8"", ""Clubs""), Card(""A"", ""Clubs""), Card(""8"", ""Diamonds""), Card(""10"", ""Diamonds"")]), 'Sophia': Hand([Card(""7"", ""Clubs""), Card(""7"", ""Spades""), Card(""7"", ""Hearts""), Card(""8"", ""Clubs""), Card(""8"", ""Diamonds"")])}",0
1,134,['Michelle'],['Robbie Random'],"5S, 3H, 5H, 3D, 9H","{'Madi': Hand([Card(""Q"", ""Diamonds""), Card(""4"", ""Diamonds""), Card(""4"", ""Spades""), Card(""8"", ""Hearts""), Card(""9"", ""Hearts"")]), 'Michelle': Hand([Card(""5"", ""Spades""), Card(""3"", ""Hearts""), Card(""5"", ""Hearts""), Card(""3"", ""Diamonds""), Card(""9"", ""Hearts"")]), 'Sophia': Hand([Card(""K"", ""Clubs""), Card(""5"", ""Diamonds""), Card(""8"", ""Hearts""), Card(""5"", ""Hearts""), Card(""9"", ""Hearts"")])}",1
2,21,['Sophia'],['Callie Calls'],"KH, JD, QD, AC, AH","{'Sophia': Hand([Card(""K"", ""Hearts""), Card(""J"", ""Diamonds""), Card(""Q"", ""Diamonds""), Card(""A"", ""Clubs""), Card(""A"", ""Hearts"")])}",2
3,279,['Sophia'],['Callie Calls'],"AD, AH, 6H, 6S, KD","{'Sophia': Hand([Card(""A"", ""Diamonds""), Card(""A"", ""Hearts""), Card(""6"", ""Hearts""), Card(""6"", ""Spades""), Card(""K"", ""Diamonds"")])}",3
4,14,['Sophia'],['Callie Calls'],"JC, AD, 2S, 2H, JD","{'Sophia': Hand([Card(""J"", ""Clubs""), Card(""A"", ""Diamonds""), Card(""2"", ""Spades""), Card(""2"", ""Hearts""), Card(""J"", ""Diamonds"")])}",4
5,85,['Sophia'],['Callie Calls'],"10C, 6H, 9C, 8C, 7H","{'Sophia': Hand([Card(""10"", ""Clubs""), Card(""6"", ""Hearts""), Card(""9"", ""Clubs""), Card(""8"", ""Clubs""), Card(""7"", ""Hearts"")])}",5
6,3,['Sophia'],['Callie Calls'],"5H, JC, 10C, 7D, 10D","{'Sophia': Hand([Card(""5"", ""Hearts""), Card(""J"", ""Clubs""), Card(""10"", ""Clubs""), Card(""7"", ""Diamonds""), Card(""10"", ""Diamonds"")])}",6
7,3,['Sophia'],['Callie Calls'],"5C, QH, 9H, QC, 9C","{'Sophia': Hand([Card(""5"", ""Clubs""), Card(""Q"", ""Hearts""), Card(""9"", ""Hearts""), Card(""Q"", ""Clubs""), Card(""9"", ""Clubs"")])}",7
8,3,['Sophia'],['Callie Calls'],"7C, 5S, 10C, 6D, AC","{'Sophia': Hand([Card(""7"", ""Clubs""), Card(""5"", ""Spades""), Card(""10"", ""Clubs""), Card(""6"", ""Diamonds""), Card(""A"", ""Clubs"")])}",8
9,3,['Sophia'],['Callie Calls'],"6C, AC, AH, 8S, 10D","{'Sophia': Hand([Card(""6"", ""Clubs""), Card(""A"", ""Clubs""), Card(""A"", ""Hearts""), Card(""8"", ""Spades""), Card(""10"", ""Diamonds"")])}",9
